"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"American Heart Journal","Physiology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/american-heart-journal","3156","2.039","Q1 (Cardiology and Cardiovascular Medicine)","211","No","1097-6744","0002-8703"
"American Journal of Physiology - Cell Physiology","Physiology","American Physiological Society","Non-profit","Hybrid","American Physiological Society","Society/Association","USA","https://journals.physiology.org/journal/ajpcell","2999","1.791","Q1 (Cell Biology; Physiology)","207","No","1522-1563","0363-6143"
"American Journal of Physiology - Endocrinology and Metabolism","Physiology","American Physiological Society","Non-profit","Hybrid","American Physiological Society","Society/Association","USA","https://journals.physiology.org/journal/ajpendo","3542","1.392","Q1 (Endocrinology, Diabetes and Metabolism; Physiology)","231","No","1522-1555","0193-1849"
"American Journal of Physiology - Gastrointestinal and Liver Physiology","Physiology","American Physiological Society","Non-profit","Hybrid","American Physiological Society","Society/Association","USA","https://journals.physiology.org/journal/ajpgi","3694","1.39","Q1 (Gastroenterology; Hepatology; Physiology)","198","No","1522-1547","0193-1857"
"American Journal of Physiology - Heart and Circulatory Physiology","Physiology","American Physiological Society","Non-profit","Hybrid","American Physiological Society","Society/Association","USA","https://journals.physiology.org/journal/ajpheart","3064","1.464","Q1 (Cardiology and Cardiovascular Medicine; Physiology)","231","No","1522-1539","0363-6135"
"American Journal of Physiology - Lung Cellular and Molecular Physiology","Physiology","American Physiological Society","Non-profit","Hybrid","American Physiological Society","Society/Association","USA","https://journals.physiology.org/journal/ajplung","1549","1.24","Q1 (Physiology; Pulmonary and Respiratory Medicine)","186","No","1522-1504","1040-0605"
"American Journal of Physiology - Regulatory, Integrative and Comparative Physiology","Physiology","American Physiological Society","Non-profit","Hybrid","American Physiological Society","Society/Association","USA","https://journals.physiology.org/journal/ajpregu","3189","0.945","Q2 (Physiology)","198","No","1522-1490","0363-6119"
"American Journal of Physiology - Renal Physiology","Physiology","American Physiological Society","Non-profit","","American Physiological Society","Society/Association","USA","https://journals.physiology.org/journal/ajprenal","","","","","No","",""
"Anatomical Science International","Anatomy","Springer Nature","For-profit associated with a society","Hybrid","Japanese Association of Anatomists","Society/Association","Germany / UK","https://link.springer.com/journal/12565","2662","0.448","Q2 (Anatomy)","46","No","1447-073X","1447-6959"
"Anatomical Sciences Education","Anatomy","John Wiley & Sons","For-profit associated with a society","Hybrid","American Association for Anatomy","Society/Association","USA","https://anatomypubs.onlinelibrary.wiley.com/journal/19359780?journalRedirectCheck=true","2718","1.216","Q1 (Anatomy; Embryology; Histology; Medicine)","76","No","1935-9780","1935-9772"
"Andrologia","Endocrinology","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/and","2500","0.693","Q2 (Medicine; Urology)","79","No","1439-0272","0303-4569"
"Andrology","Endocrinology","John Wiley & Sons","For-profit associated with a society","Hybrid","American Society of Andrology; European Academy of Andrology","Society/Association","USA","https://onlinelibrary.wiley.com/journal/20472927","3147","1.079","Q1 (Reproductive Medicine; Urology)","76","No","2047-2927","2047-2919"
"Annales d'Endocrinologie","Endocrinology","Elsevier","For-profit associated with a society","Hybrid","French Society of Endocrinology (SFE)","Society/Association","Netherlands","https://www.sciencedirect.com/journal/annales-dendocrinologie","1834","0.761","Q2 (Endocrinology; Endocrinology, Diabetes and Metabolism; Medicine)","49","No","2213-3941","0003-4266"
"Annals of Anatomy","Anatomy","Elsevier","For-profit associated with a society","Hybrid","Anatomische Gesellschaft","Society/Association","Netherlands","https://www.sciencedirect.com/journal/annals-of-anatomy-anatomischer-anzeiger","2548","0.571","Q2 (Anatomy; Medicine)","67","No","1618-0402","0940-9602"
"Annals of Nutrition and Metabolism","Nutrition","Karger Publishers","For-profit","Hybrid","","","Switzerland","https://karger.com/ANM","2408","0.829","Q2 (Medicine; Nutrition and Dietetics)","106","No","1421-9697","0250-6807"
"Annual Review of Nutrition","Nutrition","Annual Reviews","Non-profit","","Annual Reviews","Non-profit","USA","https://www.annualreviews.org/content/journals/nutr","","4.435","Q1 (Medicine; Nutrition and Dietetics)","184","No","1545-4312","0199-9885"
"Annual Review of Physiology","Physiology","Annual Reviews","Non-profit","","Annual Reviews","Non-profit","USA","https://www.annualreviews.org/content/journals/physiol","","7.82","Q1 (Physiology)","246","No","1545-1585","0066-4278"
"Appetite","Nutrition","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/appetite","3489","1.184","Q1 (Nutrition and Dietetics; Psychology)","190","No","1095-8304","0195-6663"
"Applied Physiology, Nutrition, and Metabolism","Physiology","Canadian Science Publishing","Non-profit","Hybrid","","","Canada","https://cdnsciencepub.com/journal/apnm","1308","0.774","Q2 (Endocrinology, Diabetes and Metabolism; Medicine; Nutrition and Dietetics; Physiology; Sports Science)","114","No","","1715-5312"
"Archives of Endocrinology and Metabolism","Endocrinology","Brazilian Society of Endocrinology and Metabolism","Non-profit","OA diamond","","Society/Association","Brazil","https://www.aem-sbem.com/","0","0.613","Q3 (Endocrinology, Diabetes and Metabolism)","64","No","2359-4292","2359-3997"
"Archives of Physiology and Biochemistry","Physiology","Taylor & Francis Group","For-profit","","","","UK","https://www.tandfonline.com/journals/iarp20","","0.687","Q2 (Medicine; Physiology)","62","No","1744-4160","1381-3455"
"Asian Journal of Andrology","Endocrinology","Shanghai Materia Medica, Chinese Academy of Sciences; Shanghai Jiao Tong University","University Press","OA","Shanghai Institute of Materia Medica, Chinese Academy of Sciences and Shanghai Jiao Tong University","University/Government","China","https://www.asiaandro.com/","1468","0.827","Q1 (Urology)","94","No","1745-7262","1008-682X"
"Australasian Journal on Ageing","Aging","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/17416612","2606","0.706","Q1 (Community and Home Care)","50","No","1741-6612","1440-6381"
"BMC Endocrine Disorders","Endocrinology","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://bmcendocrdisord.biomedcentral.com/","2351","0.925","Q1 (Medicine)","63","No","1472-6823",""
"BMC sports science, medicine and rehabilitation","Sport Science","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://bmcsportsscimedrehabil.biomedcentral.com/","2310","0.875","Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Rehabilitation)","39","No","2052-1847",""
"BMJ Open Sport and Exercise Medicine","Sport Science","BMJ Group","Non-profit","OA","British Association of Sport & Exercise Medicine","Society/Association","UK","https://bmjopensem.bmj.com/","2519","1.33","Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation)","51","No","2055-7647",""
"BMJ Open respiratory research","Physiology","BMJ Group","Non-profit","OA","British Thoracic Society","Society/Association","UK","https://bmjopenrespres.bmj.com/","2520","1.106","Q1 (Pulmonary and Respiratory Medicine)","45","No","2052-4439",""
"Biogerontology","Aging","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/10522","4119","1.152","Q1 (Gerontology)","95","No","1573-6768","1389-5729"
"Breathe","Physiology","European Respiratory Society (ERS)","Non-profit","OA","European Respiratory Society (ERS)","Society/Association","UK","https://publications.ersnet.org/content/breathe","","0.751","Q2 (Pulmonary and Respiratory Medicine)","44","No","2073-4735","1810-6838"
"British Journal of Nutrition","Nutrition","Cambridge University Press (CUP)","University Press","Hybrid","","","UK","https://www.cambridge.org/core/journals/british-journal-of-nutrition","2797","0.896","Q2 (Medicine; Nutrition and Dietetics)","230","No","1475-2662","0007-1145"
"British Journal of Sports Medicine","Sport Science","BMJ Group","Non-profit","Hybrid","","","UK","https://bjsm.bmj.com/","4740","4.724","Q1 (Medicine; Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Sports Science)","241","No","1473-0480","0306-3674"
"CPT: Pharmacometrics and Systems pharmacology","Physiology","John Wiley & Sons","For-profit associated with a society","OA","American Society for Clinical Pharmacology and Therapeutics (ASCPT)","Society/Association","USA","https://ascpt.onlinelibrary.wiley.com/journal/21638306","3707","1.249","Q1 (Cardiology and Cardiovascular Medicine; Modeling and Simulation; Pharmacology)","60","No","2163-8306","2163-8306"
"Cahiers de Nutrition et de Diététique","Nutrition","Elsevier","For-profit associated with a society","Hybrid","Société Française de Nutrition","Society/Association","Netherlands","https://www.sciencedirect.com/journal/cahiers-de-nutrition-et-de-dietetique","1125","0.144","Q4 (Medicine; Nutrition and Dietetics)","16","No","","0007-9960"
"Canadian Journal of Physiology and Pharmacology","Physiology","Canadian Science Publishing","Non-profit","","","","Canada","https://cdnsciencepub.com/journal/cjpp","","0.45","Q3 (Medicine; Pharmacology; Physiology)","99","No","1205-7541","0008-4212"
"Clinical Anatomy","Anatomy","John Wiley & Sons","For-profit associated with a society","Hybrid","American Association of Clinical Anatomists; British Association of Clinical Anatomists","Society/Association","USA","https://onlinelibrary.wiley.com/journal/10982353","3060","0.788","Q1 (Anatomy)","93","No","1098-2353","0897-3806"
"Clinical Gerontologist","Aging","Taylor & Francis Group","For-profit","","","","UK","https://www.tandfonline.com/journals/wcli20","","1.046","Q1 (Clinical Psychology; Gerontology; Health)","46","No","1545-2301","0731-7115"
"Clinical Journal of Sport Medicine","Sport Science","Wolters Kluwer (Lippincott)","For-profit","","","","Netherlands / USA","https://journals.lww.com/cjsportsmed/pages/currenttoc.aspx","","0.72","Q2 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation)","121","No","1536-3724","1050-642X"
"Clinical Physiology and Functional Imaging","Physiology","John Wiley & Sons","For-profit associated with a society","Hybrid","Scandinavian Society of Clinical Physiology and Nuclear Medicine","Society/Association","USA","https://onlinelibrary.wiley.com/journal/1475097X","3685","0.451","Q3 (Medicine; Physiology)","78","No","1475-097X","1475-0961"
"Communications in Kinesiology (CiK)","Sport Science","Society for Transparency, Openness, and Replication in Kinesiology (STORK)","Non-profit","OA","Society for Transparency, Openness, and Replication in Kinesiology (STORK)","Non-profit","Canada","https://storkjournals.org/index.php/cik","","","","","No","2767-0732",""
"Comprehensive Physiology","Physiology","John Wiley & Sons","For-profit associated with a society","","American Physiological Society (APS)","Society/Association","USA","https://onlinelibrary.wiley.com/journal/20404603","","1.759","Q1 (Medicine; Physiology)","130","No","2040-4603",""
"Cryobiology","Physiology","Elsevier","For-profit associated with a society","Hybrid","Society for Cryobiology","Society/Association","Netherlands","https://www.sciencedirect.com/journal/cryobiology","1867","0.519","Q2 (Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology)","98","No","1090-2392","0011-2240"
"Current Opinion in Endocrinology Diabetes and Obesity","Endocrinology","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/co-endocrinology/pages/default.aspx","3390","0.825","Q2 (Endocrinology; Endocrinology, Diabetes and Metabolism; Internal Medicine; Medicine; Nutrition and Dietetics)","87","No","1752-2978","1752-296X"
"Current Opinion in Gastroenterology","Physiology","Wolters Kluwer (Lippincott)","For-profit","","","","Netherlands / USA","https://journals.lww.com/co-gastroenterology/Pages/currenttoc.aspx","","1.068","Q1 (Gastroenterology)","98","No","1531-7056","0267-1379"
"Digestion","Physiology","Karger Publishers","For-profit","","","","Switzerland","https://karger.com/dig","","1.111","Q1 (Gastroenterology)","92","No","1421-9867","0012-2823"
"ERJ Open Research","Physiology","European Respiratory Society (ERS)","Non-profit","OA","European Respiratory Society (ERS)","Society/Association","UK","https://publications.ersnet.org/content/erjor","638","1.367","Q1 (Pulmonary and Respiratory Medicine)","52","No","2312-0541",""
"Endocrine","Endocrinology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/12020","3138","0.971","Q2 (Endocrinology; Endocrinology, Diabetes and Metabolism)","107","No","1559-0100","1355-008X"
"Endocrine Connections","Endocrinology","Bioscientifica Ltd","Non-profit","OA","Society for Endocrinology","Society/Association","UK","https://ec.bioscientifica.com/","2472","0.905","Q2 (Endocrinology; Endocrinology, Diabetes and Metabolism; Internal Medicine)","50","No","2049-3614",""
"Endocrine Journal","Endocrinology","The Japan Endocrine Society","Non-profit","OA","The Japan Endocrine Society","Society/Association","Japan","https://endocrine-j.jp/","","0.747","Q2 (Endocrinology, Diabetes and Metabolism)","87","No","1348-4540","0918-8959"
"Endocrine Pathology","Endocrinology","Springer Nature","For-profit associated with a society","Hybrid","Endocrine Pathology Society","Society/Association","Germany / UK","https://link.springer.com/journal/12022","3138","3.832","Q1 (Endocrinology; Endocrinology, Diabetes and Metabolism; Medicine; Pathology and Forensic Medicine)","61","No","1559-0097","1046-3976"
"Endocrine Related Cancer","Endocrinology","Bioscientifica Ltd","Non-profit","Hybrid","Society for Endocrinology","Society/Association","UK","https://erc.bioscientifica.com/","3715","1.674","Q1 (Endocrinology; Endocrinology, Diabetes and Metabolism; Oncology)","149","No","1479-6821","1351-0088"
"Endocrine Research","Endocrinology","Taylor & Francis Group","For-profit","","","","UK","https://www.tandfonline.com/journals/ierc20","","0.487","Q3 (Endocrinology; Medicine)","49","No","1532-4206","0743-5800"
"Endocrine Reviews","Endocrinology","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/edrv/?login=false","3113","9.175","Q1 (Endocrinology; Endocrinology, Diabetes and Metabolism)","317","No","1945-7189","0163-769X"
"Endocrinology","Endocrinology","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/endo?login=false","2981","1.308","Q1 (Endocrinology)","289","No","1945-7170","0013-7227"
"Endocrinology and Metabolism","Endocrinology","American Physiological Society","Non-profit","OA diamond","American Physiological Society","Society/Association","USA","https://journals.physiology.org/ajpendo/collections","0","1.487","Q1 (Endocrinology; Endocrinology, Diabetes and Metabolism)","53","No","2093-5978","2093-596X"
"Endocrinology and Metabolism Clinics of North America","Endocrinology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/endocrinology-and-metabolism-clinics-of-north-america","2803","1.739","Q1 (Endocrinology; Endocrinology, Diabetes and Metabolism)","126","No","1558-4410","0889-8529"
"European Journal of Anatomy","Anatomy","Loki & Dimas","For-profit associated with a society","","Spanish Society of Anatomy","Society/Association","Spain","https://eurjanat.com/","","0.154","Q4 (Anatomy)","22","No","","1136-4890"
"European Journal of Applied Physiology","Physiology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/421","2636","1.06","Q1 (Medicine; Orthopedics and Sports Medicine; Public Health, Environmental and Occupational Health)","167","No","1439-6327","1439-6319"
"European Journal of Endocrinology","Endocrinology","Oxford University Press (OUP)","University Press associated with a society","Hybrid","European Society of Endocrinology (ESE)","Society/Association","UK","https://academic.oup.com/ejendo/?login=false","2206","1.81","Q1 (Endocrinology; Endocrinology, Diabetes and Metabolism; Medicine)","179","No","1479-683X","0804-4643"
"European Journal of Nutrition","Nutrition","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/394","3741","1.346","Q1 (Medicine; Nutrition and Dietetics)","125","No","1436-6215","1436-6207"
"European Journal of Sport Science","Sport Science","John Wiley & Sons","For-profit associated with a society","Hybrid","European College of Sport Science","","USA","https://onlinelibrary.wiley.com/journal/15367290","2413","1.161","Q1 (Medicine; Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation)","87","No","1536-7290","1746-1391"
"European Respiratory Journal","Physiology","European Respiratory Society (ERS)","Non-profit","Hybrid","European Respiratory Society (ERS)","Society/Association","UK","https://publications.ersnet.org/content/erj","2766","4.502","Q1 (Medicine; Pulmonary and Respiratory Medicine)","299","No","1399-3003","0903-1936"
"European Respiratory Review","Physiology","European Respiratory Society (ERS)","Non-profit","OA","European Respiratory Society (ERS)","Society/Association","UK","https://publications.ersnet.org/content/errev","1143","3.005","Q1 (Pulmonary and Respiratory Medicine)","103","No","1600-0617","0905-9180"
"Evolution, Medicine, and Public Health","Physiology","Oxford University Press (OUP)","University Press associated with a society","OA","International Society for Evolution, Medicine & Public Health","Society/Association","UK","https://academic.oup.com/emph?login=true","3419","0.835","Q1 (Ecology, Evolution, Behavior and Systematics)","36","No","2050-6201",""
"Exercise and Sport Sciences Reviews","Sport Science","Wolters Kluwer (Lippincott)","For-profit associated with a society","Hybrid","American College of Sports Medicine (ACSM)","","Netherlands / USA","https://journals.lww.com/acsm-essr/pages/default.aspx","3958","1.346","Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Sports Science)","122","No","1538-3008","0091-6331"
"Experimental Aging Research","Aging","Taylor & Francis Group","For-profit","","","","UK","https://www.tandfonline.com/journals/uear20","","0.576","Q1 (Arts and Humanities)","59","No","1096-4657","0361-073X"
"Experimental Physiology","Physiology","John Wiley & Sons","For-profit associated with a society","OA","The Physiology Society","Society/Association","USA","https://physoc.onlinelibrary.wiley.com/journal/1469445x","2350","0.842","Q2 (Nutrition and Dietetics; Physiology)","119","No","1469-445X","0958-0670"
"Frontiers in Aging","Aging","Frontiers Media SA","For-profit","OA","","","Switzerland","https://www.frontiersin.org/journals/aging","1813","1.455","Q1 (Genetics; Molecular Biology; Physiology)","20","No","2673-6217",""
"Frontiers in Physiology","Physiology","Frontiers Media SA","For-profit","OA","","","Switzerland","https://www.frontiersin.org/journals/physiology","2054","1.023","Q2 (Physiology)","175","No","1664-042X",""
"Frontiers of Hormone Research","Endocrinology","Karger Publishers","For-profit","OA","","","Switzerland","https://karger.com/collection/30216/Frontiers-of-Hormone-Research","","0.54","Q3 (Endocrinology; Endocrinology, Diabetes and Metabolism)","47","No","","0301-3073"
"Function","Physiology","American Physiological Society","Non-profit","OA","American Physiological Society","Society/Association","USA","https://journals.physiology.org/journal/function","3699","0.877","Q2 (Molecular Medicine; Physiology)","19","No","2633-8823",""
"General and Comparative Endocrinology","Endocrinology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/general-and-comparative-endocrinology","3011","0.569","Q1 (Animal Science and Zoology)","138","No","1095-6840","0016-6480"
"Geriatrics and Gerontology International","Aging","John Wiley & Sons","For-profit associated with a society","Hybrid","Japan Geriatrics Society","Society/Association","USA","https://onlinelibrary.wiley.com/journal/14470594","2052","0.763","Q2 (Geriatrics and Gerontology; Gerontology; Health; Medicine)","83","No","1447-0594","1444-1586"
"GeroScience","Aging","Springer Nature","For-profit associated with a society","Hybrid","American Aging Association (AGE)","Society/Association","Germany / UK","https://link.springer.com/journal/11357","2967","1.564","Q1 (Aging; Cardiology and Cardiovascular Medicine; Complementary and Alternative Medicine; Geriatrics and Gerontology; Veterinary)","95","No","2509-2723","2509-2715"
"Gerontology","Aging","Karger Publishers","For-profit","Hybrid","","","Switzerland","https://karger.com/ger","4284","0.98","Q2 (Geriatrics and Gerontology)","120","No","1423-0003","0304-324X"
"Growth Factors","Endocrinology","Taylor & Francis Group","For-profit","","","","UK","https://www.tandfonline.com/journals/igrf20","","0.459","Q3 (Clinical Biochemistry)","66","No","1029-2292","0897-7194"
"Growth Hormone & IGF Research","Endocrinology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/growth-hormone-and-igf-research","2193","0.551","Q3 (Endocrinology; Endocrinology, Diabetes and Metabolism)","70","No","1532-2238","1096-6374"
"Gut","Physiology","BMJ Group","Non-profit","Hybrid","","","UK","https://gut.bmj.com/","4375","8.874","Q1 (Gastroenterology)","364","No","1468-3288","0017-5749"
"Gut and Liver","Physiology","Korean Society of Gastroenterology; the Korean Society of Gastrointestinal Endoscopy; the Korean Society of Neurogastroenterology and Motility; the Korean College of Helicobacter and Upper Gastrointestinal Research; the Korean Association for the Study of Intestinal Diseases; the Korean Association for the Study of the Liver; the Korean Pancreatobiliary Association; the Korean Society of Gastrointestinal Cancer Researh","Non-profit","OA","Korean Society of Gastroenterology; the Korean Society of Gastrointestinal Endoscopy; the Korean Society of Neurogastroenterology and Motility; the Korean College of Helicobacter and Upper Gastrointestinal Research; the Korean Association for the Study of Intestinal Diseases; the Korean Association for the Study of the Liver; the Korean Pancreatobiliary Association; the Korean Society of Gastrointestinal Cancer Researh","Society/Association","Republic of Korea (South Korea)","https://www.gutnliver.org/main.html","","1.344","Q1 (Gastroenterology; Hepatology)","67","No","2005-1212","1976-2283"
"Gynecological Endocrinology","Endocrinology","International Society of Gynecological Endocrinology","Non-profit","OA","International Society of Gynecological Endocrinology","Society/Association","UK","https://www.isgesociety.com/publications/gynecological-endocrinology/","2946","0.67","Q2 (Obstetrics and Gynecology)","79","No","1473-0766","0951-3590"
"Gériatrie et Psychologie Neuropsychiatrie du Vieillissement","Aging","John Libbery Eurotext","For-profit associated with a society","Hybrid","Société française de gériatrie et de gérontologie (SFGG); Société francophone de psychogériatrie et de psychiatrie de la personne âgée (SF3PA); Association des jeunes gériatres (AJG)","Society/Association","France","https://www.jle.com/fr/revues/gpn/revue.phtml","424","0.19","Q4 (Biological Psychiatry; Geriatrics and Gerontology; Medicine; Neurology; Neuropsychology and Physiological Psychology)","22","No","2115-7863","2115-8789"
"High Altitude Medicine & Biology","Physiology","Sage Publishing (Mary Ann Liebert)","For-profit","Hybrid","","","USA","https://liebertpub.com/loi/HAM","3446","0.57","Q2 (Medicine; Public Health, Environmental and Occupational Health)","66","No","1557-8682","1527-0297"
"Hormone Research in Paediatrics","Endocrinology","Karger Publishers","For-profit associated with a society","Hybrid","European Society for Paediatric Endocrinology; Pediatric Endocrine Society; Sociedade Latino-Americana de Endocrinologia Pediátrica","Society/Association","Switzerland","https://karger.com/HRP","2649","0.884","Q1 (Pediatrics, Perinatology and Child Health)","103","No","1663-2826","1663-2818"
"Hormone and Metabolic Research","Endocrinology","Thieme Group","For-profit","Hybrid","","","Germany","https://lp.thieme.de/journals/hormone-and-metabolic-research/0018-5043","3233","0.538","Q2 (Biochemistry; Medicine)","104","No","1439-4286","0018-5043"
"Hormones","Endocrinology","Springer Nature","For-profit associated with a society","Hybrid","Hellenic Endocrine Society","Society/Association","Germany / UK","https://link.springer.com/journal/42000","2444","0.78","Q2 (Endocrinology, Diabetes and Metabolism; Medicine)","59","No","2520-8721","1109-3099"
"Hormones and Behavior","Endocrinology","Elsevier","For-profit associated with a society","Hybrid","Society for Behavioral Neuroendocrinology","Society/Association","Netherlands","https://www.sciencedirect.com/journal/hormones-and-behavior","2654","0.822","Q2 (Endocrinology)","166","No","1095-6867","0018-506X"
"Human Movement Science","Sport Science","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/human-movement-science","1910","0.614","Q2 (Biophysics; Medicine; Orthopedics and Sports Medicine)","109","No","1872-7646","0167-9457"
"International Journal of Endocrinology","Endocrinology","John Wiley & Sons","For-profit","OA","","","UK","https://onlinelibrary.wiley.com/journal/1573","1751","0.667","Q3 (Endocrine and Autonomic Systems; Endocrinology; Endocrinology, Diabetes and Metabolism)","84","No","1687-8345","1687-8337"
"International Journal of Sports Physiology and Performance","Physiology","Human Kinetics","For-profit","Hybrid","","","USA","https://journals.humankinetics.com/view/journals/ijspp/ijspp-overview.xml","1926","1.61","Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Sports Science)","102","No","1555-0273","1555-0265"
"Journal of Aging Research","Aging","John Wiley & Sons","For-profit","OA","","","UK","https://onlinelibrary.wiley.com/journal/9025","673","0.633","Q3 (Geriatrics and Gerontology)","61","No","2090-2212","2090-2204"
"Journal of Aging Studies","Aging","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/journal-of-aging-studies","2907","0.765","Q1 (Issues, Ethics and Legal Aspects)","86","No","1879-193X","0890-4065"
"Journal of Aging and Health","Aging","Sage Publishing","For-profit","Hybrid","","","USA","https://journals.sagepub.com/home/jah","269","1.143","Q1 (Community and Home Care; Gerontology; Health; Life-span and Life-course Studies; Sociology and Political Science)","93","No","1552-6887","0898-2643"
"Journal of Anatomy","Anatomy","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/14697580","2164","0.655","Q2 (Anatomy; Ecology, Evolution, Behavior and Systematics; Histology)","140","No","1469-7580","0021-8782"
"Journal of Applied Physiology","Physiology","American Physiological Society","Non-profit","Hybrid","American Physiological Society","Society/Association","USA","https://journals.physiology.org/journal/jappl","888","1.078","Q1 (Medicine)","268","No","1522-1601","8750-7587"
"Journal of Biological Rhythms","Physiology","Sage Publishing","For-profit associated with a society","Hybrid","Society for Research on Biological Rhythms","Society/Association","USA","https://journals.sagepub.com/home/jbr","1603","1.2","Q1 (Physiology)","118","No","1552-4531","0748-7304"
"Journal of Breath Research","Physiology","Institute of Physics (IOP) Publishing","Non-profit","Hybrid","International Association for Breath Research (IABR)","Society/Association","UK","https://iopscience.iop.org/journal/1752-7163","1808","0.863","Q2 (Pulmonary and Respiratory Medicine)","70","No","1752-7163","1752-7155"
