Journal,Publisher,Business model,APC 2019 (€),APC 2020 (€),APC 2021 (€),APC 2022 (€),APC 2023 (€),APC (€)
"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",Wiley,OA,,1800,1800,1800,1890,1890
Alzheimer's & Dementia: Translational Research & Clinical Interventions,Wiley,OA,,1800,1800,1800,1890,1890
American Anthropologist,Wiley,Hybrid,2500,2500,2500,2500,2580,2580
American Business Law Journal,Wiley,Hybrid,2100,2100,2100,2150,2220,2220
American Ethnologist,Wiley,Hybrid,2500,2500,2500,2500,2580,2580
American Journal of Agricultural Economics,Wiley,Hybrid,,2500,2750,2750,2830,2830
American Journal of Biological Anthropology,Wiley,Hybrid,,,,3900,4020,4020
American Journal of Botany,Wiley,Hybrid,1376,1376,1500,1800,1800,1800
American Journal of Community Psychology,Wiley,Hybrid,2100,2100,2300,2800,2880,2880
American Journal of Hematology,Wiley,Hybrid,3500,3750,3750,4000,4120,4120
American Journal of Human Biology,Wiley,Hybrid,3000,3000,3000,3350,3450,3450
American Journal of Industrial Medicine,Wiley,Hybrid,3167,3167,3167,3250,3350,3350
American Journal of Medical Genetics Part A,Wiley,Hybrid,3000,3000,3000,3500,3500,3500
American Journal of Medical Genetics Part B:Neuropsychiatric Genetics,Wiley,Hybrid,2500,2500,2500,2900,3610,3610
American Journal of Medical Genetics Part C:Seminars in Medical Genetics,Wiley,Hybrid,2500,2500,2500,2550,2630,2630
American Journal of Physical Anthropology,Wiley,Hybrid,3500,3500,3500,,,3500
American Journal of Political Science,Wiley,Hybrid,2750,2750,3050,3150,3240,3240
American Journal of Primatology,Wiley,Hybrid,3083,3083,3083,3500,3610,3610
American Journal of Reproductive Immunology,Wiley,Hybrid,3000,3000,3000,3400,3500,3500
American Journal of Transplantation,Wiley,Hybrid,3655,3655,3655,3655,,3655
Anaesthesia,Wiley,Hybrid,2500,3000,3300,3450,3740,3740
Anaesthesia Reports,Wiley,Hybrid,,1250,950,1000,1030,1030
Anaesthesia Reports,Wiley,OA,1250,,,,,1250
Analyses of Social Issues and Public Policy,Wiley,Hybrid,2500,2500,2500,2550,2630,2630
Analysis & Sensing,Wiley,Hybrid,,2900,2900,2950,3040,3040
Analytic Philosophy,Wiley,Hybrid,2083,2083,2083,2100,2170,2170
Analytical Cellular Pathology,Wiley,OA,,,,,1848,1848
Analytical Science Advances,Wiley,OA,,2200,2200,2200,2420,2420
"Anatomia, Histologia, Embryologia",Wiley,Hybrid,2417,2417,2417,2900,2990,2990
Anatomical Sciences Education,Wiley,Hybrid,2500,2500,2500,3000,3090,3090
Andrologia,Wiley,Hybrid,2750,2750,2750,2900,,2900
Andrologia,Wiley,OA,,,,,2310,2310
Andrology,Wiley,Hybrid,2500,2500,2500,2500,2580,2580
Anemia,Wiley,OA,,,,,854,854
Anesthesiology Research and Practice,Wiley,OA,,,,,854,854
Angewandte Chemie,Wiley,Hybrid,4000,4000,4000,4100,4220,4220
Angewandte Chemie International Edition,Wiley,Hybrid,4000,4000,4000,4100,4220,4220
Animal Conservation,Wiley,Hybrid,3000,3000,3100,3250,3350,3350
Animal Genetics,Wiley,Hybrid,2500,2500,2500,2750,2830,2830
Animal Models and Experimental Medicine,Wiley,OA,,1835,1835,1835,1835,1835
Animal Science Journal,Wiley,Hybrid,3350,3350,3350,3350,3350,3350
Annalen der Physik,Wiley,Hybrid,3150,3150,3150,3250,3350,3350
Annals of Anthropological Practice,Wiley,Hybrid,2500,2500,2500,2500,2580,2580
Annals of Applied Biology,Wiley,Hybrid,2500,2500,2500,2650,2730,2730
Annals of Clinical and Translational Neurology,Wiley,OA,2190,2190,2400,2550,2810,2810
Annals of Gastroenterological Surgery,Wiley,OA,1669,1669,1669,1850,1850,1850
Annals of Human Genetics,Wiley,Hybrid,2417,2417,2417,2450,2520,2520
Annals of Neurology,Wiley,Hybrid,2500,2500,2750,2900,2990,2990
Annals of Noninvasive Electrocardiology,Wiley,OA,,1950,2150,2600,2860,2860
Annals of Noninvasive Electrocardiology,Wiley,Hybrid,2600,,,,,2600
Annals of Public and Cooperative Economics,Wiley,Hybrid,2100,2100,2100,2400,2480,2480
Annals of the Child Neurology Society,Wiley,OA,,,,,2550,2550
Annals of the New York Academy of Sciences,Wiley,Hybrid,3350,3350,3350,4050,4170,4170
Anthropology & Education Quarterly,Wiley,Hybrid,2500,2500,2500,2500,2580,2580
Anthropology Today,Wiley,Hybrid,2500,2500,2500,2550,2630,2630
Anthropology and Humanism,Wiley,Hybrid,2500,2500,2500,2500,2580,2580
Anthropology of Consciousness,Wiley,Hybrid,2500,2500,2500,2500,2580,2580
Anthropology of Work Review,Wiley,Hybrid,2500,2500,2500,2500,2580,2580
Antipode,Wiley,Hybrid,2500,2500,2500,2600,2680,2680
Applications in Plant Sciences,Wiley,OA,1285,1285,1350,1600,1680,1680
Applied AI Letters,Wiley,OA,,1820,1820,1800,1800,1800
Applied Bionics and Biomechanics,Wiley,OA,,,,,1571,1571
Applied Cognitive Psychology,Wiley,Hybrid,2083,2083,2083,2100,2170,2170
Applied Computational Intelligence and Soft Computing,Wiley,OA,,,,,854,854
Applied Economic Perspectives and Policy,Wiley,Hybrid,,2500,2750,2750,2830,2830
Applied Organometallic Chemistry,Wiley,Hybrid,2083,2500,2750,3250,3350,3350
Applied Psychology,Wiley,Hybrid,2500,2500,2500,2950,3040,3040
Applied Psychology: Health and Well-Being,Wiley,Hybrid,2500,2500,2500,2900,2980,2980
Applied Research,Wiley,Hybrid,,,,3150,3150,3150
Applied Stochastic Models in Business and Industry,Wiley,Hybrid,2500,2500,2500,2800,2880,2880
Applied Vegetation Science,Wiley,Hybrid,3167,3167,3167,3167,3260,3260
Applied and Environmental Soil Science,Wiley,OA,,,,,854,854
Aquaculture Nutrition,Wiley,Hybrid,2917,2917,2917,,,2917
Aquaculture Nutrition,Wiley,OA,,,,,2010,2010
Aquaculture Research,Wiley,Hybrid,3150,3150,3150,3300,,3300
Aquaculture Research,Wiley,OA,,,,,2310,2310
"Aquaculture, Fish and Fisheries",Wiley,OA,,,1800,1800,1800,1800
Aquatic Conservation: Marine and Freshwater Ecosystems,Wiley,Hybrid,3083,3083,3350,3900,4020,4020
Arabian Archaeology and Epigraphy,Wiley,Hybrid,2083,2083,2083,2100,2170,2170
Archaea,Wiley,OA,,,,,1386,1386
Archaeological Prospection,Wiley,Hybrid,2250,2250,2400,2900,2990,2990
Archaeology in Oceania,Wiley,Hybrid,2083,2083,2083,2350,2420,2420
Archaeometry,Wiley,Hybrid,2150,2150,2150,2550,2620,2620
Archeological Papers of the American Anthropological Association,Wiley,Hybrid,2500,2500,2500,2500,2580,2580
Archiv der Pharmazie,Wiley,Hybrid,2500,2500,2500,2550,2630,2630
Archives of Insect Biochemistry and Physiology,Wiley,Hybrid,2083,2500,2750,2900,2980,2980
Area,Wiley,Hybrid,2500,2500,2500,3050,3140,3140
Art History,Wiley,Hybrid,3000,3000,3000,3100,3190,3190
Arthritis & Rheumatology,Wiley,Hybrid,3938,3938,4100,4200,4320,4320
Arthritis Care & Research,Wiley,Hybrid,3667,3667,3667,3750,3870,3870
Artificial Organs,Wiley,Hybrid,2833,3150,3150,3150,3150,3150
Asia & The Pacific Policy Studies,Wiley,OA,,,,,1400,1400
Asia Pacific Journal of Human Resources,Wiley,Hybrid,2083,2083,2083,2100,2170,2170
Asia Pacific Viewpoint,Wiley,Hybrid,2083,2083,2300,2650,2730,2730
Asia-Pacific Economic History Review,Wiley,Hybrid,,,,,2170,2170
Asia-Pacific Journal of Chemical Engineering,Wiley,Hybrid,2100,2100,2100,2500,2580,2580
Asia-Pacific Journal of Clinical Oncology,Wiley,Hybrid,2667,2667,2667,2700,2780,2780
Asia-Pacific Journal of Financial Studies,Wiley,Hybrid,2083,2083,2083,2100,2100,2100
Asia-Pacific Psychiatry,Wiley,Hybrid,2250,2250,2250,2650,2730,2730
Asian Economic Journal,Wiley,Hybrid,2100,2100,2100,2150,2150,2150
Asian Economic Policy Review,Wiley,Hybrid,2100,2100,2100,2100,2170,2170
Asian Journal of Control,Wiley,Hybrid,2083,2083,2083,2083,2150,2150
Asian Journal of Endoscopic Surgery,Wiley,Hybrid,2083,2083,2083,2350,2420,2420
Asian Journal of Organic Chemistry,Wiley,Hybrid,2900,2900,2900,2950,3040,3040
Asian Journal of Social Psychology,Wiley,Hybrid,2083,2083,2083,2300,2370,2370
Asian Politics & Policy,Wiley,Hybrid,,,,2150,2220,2220
Asian Politics and Policy,Wiley,Hybrid,2100,2100,2100,,,2100
Asian Social Work and Policy Review,Wiley,Hybrid,2083,2083,2083,2100,2170,2170
Asian-Pacific Economic Literature,Wiley,Hybrid,2083,2083,2083,2100,2170,2170
Astronomische Nachrichten,Wiley,Hybrid,2500,2500,2500,2550,2630,2630
Atmospheric Science Letters,Wiley,OA,1200,1450,1500,1650,1820,1820
Austral Ecology,Wiley,Hybrid,2583,2583,2583,2650,2650,2650
Austral Entomology,Wiley,Hybrid,2083,2083,2083,2500,2580,2580
Australasian Journal of Dermatology,Wiley,Hybrid,2417,2600,2600,3100,3190,3190
Australasian Journal of Ultrasound in Medicine,Wiley,Hybrid,2083,2850,2850,2900,2980,2980
Australasian Journal on Ageing,Wiley,Hybrid,2250,2400,2500,2900,2980,2980
Australian & New Zealand Journal of Statistics,Wiley,Hybrid,2250,2250,2250,2300,2370,2370
Australian Accounting Review,Wiley,Hybrid,2083,2083,2083,2200,2200,2200
Australian Dental Journal,Wiley,Hybrid,2083,2083,2083,2083,2150,2150
Australian Economic History Review,Wiley,Hybrid,2083,2083,2083,2100,,2100
Australian Economic Papers,Wiley,Hybrid,2083,2083,2083,2100,2170,2170
Australian Endodontic Journal,Wiley,Hybrid,2083,2083,2083,2300,2370,2370
Australian Journal of Grape and Wine Research,Wiley,Hybrid,3100,3100,3100,3150,3150,3150
Australian Journal of Politics and History,Wiley,Hybrid,,1870,1870,2150,2220,2220
Australian Journal of Psychology,Wiley,Hybrid,2083,2083,,,,2083
Australian Journal of Public Administration,Wiley,Hybrid,2083,2083,2083,2300,2370,2370
Australian Journal of Rural Health,Wiley,Hybrid,2417,2417,2417,2650,2730,2730
Australian Journal of Social Issues,Wiley,Hybrid,2500,2500,2500,2550,2630,2630
Australian Occupational Therapy Journal,Wiley,Hybrid,2500,2500,2500,2550,2630,2630
Australian Psychologist,Wiley,Hybrid,2083,2083,,,,2083
Australian Veterinary Journal,Wiley,Hybrid,2583,2583,2583,2650,2730,2730
Australian and New Zealand Journal of Family Therapy,Wiley,Hybrid,2083,2083,2083,2100,2170,2170
Australian and New Zealand Journal of Obstetrics and Gynaecology,Wiley,Hybrid,2750,2750,2750,2900,2980,2980
Autism Research,Wiley,Hybrid,3167,3167,3167,3800,3920,3920
Autism Research and Treatment,Wiley,OA,,,,,739,739
Autoimmune Diseases,Wiley,OA,,,,,854,854
BJOG: An International Journal of Obstetrics and Gynaecology,Wiley,Hybrid,3250,3250,3500,3500,4120,4120
BJS Open,Wiley,OA,1984,1984,1984,,,1984
BJU International,Wiley,Hybrid,2500,3000,3300,3300,3400,3400
BJUI Compass,Wiley,OA,,2100,2100,2100,2100,2100
Basic & Clinical Pharmacology & Toxicology,Wiley,Hybrid,2500,3000,3150,3400,3500,3500
Basin Research,Wiley,Hybrid,3000,3000,3000,3250,3250,3250
Batteries & Supercaps,Wiley,Hybrid,2900,2900,2900,2950,3040,3040
Battery Energy,Wiley,OA,,,,3150,3150,3150
Behavioral Interventions,Wiley,Hybrid,2083,2083,2083,2100,2170,2170
Behavioral Sciences & the Law,Wiley,Hybrid,2083,2083,2083,2500,2580,2580
Behavioural Neurology,Wiley,OA,,,,,1386,1386
Berichte zur Wissenschaftsgeschichte,Wiley,Hybrid,2500,2500,2500,2550,2630,2630
BioEssays,Wiley,Hybrid,3150,3150,3500,3900,4020,4020
BioFactors,Wiley,Hybrid,2500,2850,3000,3050,3140,3140
BioMed Research International,Wiley,OA,,,,,2356,2356
Biochemistry Research International,Wiley,OA,,,,,854,854
Biochemistry and Molecular Biology Education,Wiley,Hybrid,2500,2500,2500,2700,2780,2780
Bioelectromagnetics,Wiley,Hybrid,2500,2500,2500,2600,2680,2680
Bioengineering & Translational Medicine,Wiley,OA,1444,1444,1650,1950,2150,2150
Bioethics,Wiley,Hybrid,3083,3083,3083,3350,3450,3450
"Biofuels, Bioproducts and Biorefining",Wiley,Hybrid,3960,3960,3960,3960,4080,4080
Bioinorganic Chemistry and Applications,Wiley,OA,,,,,1386,1386
Biological Reviews,Wiley,Hybrid,2500,3000,3300,3950,4070,4070
Biologie in unserer Zeit,Wiley,Hybrid,,2500,,,,2500
Biology of the Cell,Wiley,Hybrid,2500,2500,2750,2800,2880,2880
Biomedical Chromatography,Wiley,Hybrid,2750,2750,2750,2900,2980,2980
Biometrical Journal,Wiley,Hybrid,3000,3000,3250,3350,3450,3450
Biometrics,Wiley,Hybrid,2500,2500,2500,3000,3090,3090
Biopharmaceutics & Drug Disposition,Wiley,Hybrid,2750,2750,2750,2800,2880,2880
Biopolymers,Wiley,Hybrid,2850,2850,2850,3050,3140,3140
Biosurface and Biotribology,Wiley,OA,,,2000,2000,2000,2000
Biotechnology Journal,Wiley,Hybrid,3150,3150,3400,3450,3560,3560
Biotechnology Progress,Wiley,Hybrid,2917,3100,3250,3350,3450,3450
Biotechnology and Applied Biochemistry,Wiley,Hybrid,2500,2500,2500,2550,2630,2630
Biotechnology and Bioengineering,Wiley,Hybrid,3500,3750,3850,3950,4070,4070
Biotropica,Wiley,Hybrid,2500,2500,2000,2000,2000,2000
Bipolar Disorders,Wiley,Hybrid,3083,3500,3500,3550,3660,3660
Birth,Wiley,Hybrid,2500,3000,3150,3650,3760,3760
Birth Defects Research,Wiley,Hybrid,2650,2650,2650,2700,2780,2780
Boreas,Wiley,OA,,,,2500,2570,2570
Boreas,Wiley,Hybrid,2500,2900,2950,,,2950
Brain Pathology,Wiley,OA,,,3200,3350,3520,3520
Brain Pathology,Wiley,Hybrid,2500,2500,,,,2500
Brain and Behavior,Wiley,OA,2052,2052,2200,2250,2480,2480
British Educational Research Journal,Wiley,Hybrid,2500,2500,2750,3350,3450,3450
British Journal of Clinical Pharmacology,Wiley,Hybrid,3429,3429,3429,3600,3710,3710
British Journal of Clinical Psychology,Wiley,Hybrid,2083,2500,2500,3050,3140,3140
British Journal of Dermatology,Wiley,Hybrid,3250,3400,3550,3900,,3900
British Journal of Developmental Psychology,Wiley,Hybrid,2083,2083,2083,2500,2580,2580
British Journal of Education Psychology,Wiley,Hybrid,2083,2500,2500,3050,3140,3140
British Journal of Educational Technology,Wiley,Hybrid,2500,2500,2750,3150,3240,3240
British Journal of Haematology,Wiley,Hybrid,3000,3600,3950,4100,4220,4220
British Journal of Health Psychology,Wiley,Hybrid,2083,2500,2750,3050,3450,3450
British Journal of Industrial Relations,Wiley,Hybrid,2600,2600,2600,3000,3090,3090
British Journal of Learning Disabilities,Wiley,Hybrid,2083,2083,2083,2300,2370,2370
British Journal of Management,Wiley,Hybrid,2500,2500,2500,3000,3090,3090
British Journal of Mathematical and Statistical Psychology,Wiley,Hybrid,2083,2083,2083,2500,2580,2580
British Journal of Pharmacology,Wiley,Hybrid,3429,3429,3429,3600,3710,3710
British Journal of Psychology,Wiley,Hybrid,2083,2500,2600,3050,3140,3140
British Journal of Psychotherapy,Wiley,Hybrid,2500,2500,2500,2550,2630,2630
British Journal of Radiology,Wiley,Hybrid,,,2315,2315,2390,2390
British Journal of Social Psychology,Wiley,Hybrid,2083,2400,2650,3200,3300,3300
British Journal of Special Education,Wiley,Hybrid,2100,2100,2100,2150,2220,2220
British Journal of Surgery,Wiley,Hybrid,3600,3600,,,,3600
Bulletin of Economic Research,Wiley,Hybrid,2083,2083,2083,2100,2170,2170
Bulletin of Latin American Research,Wiley,Hybrid,2083,2500,2500,2550,2630,2630
Bulletin of the Institute of Classical Studies,Wiley,Hybrid,2100,2100,,,,2100
Bulletin of the Korean Chemical Society,Wiley,Hybrid,2500,2500,2500,2550,2630,2630
Bulletin of the London Mathematical Society,Wiley,Hybrid,2500,2500,2500,3000,3090,3090
Business Ethics: A European Review,Wiley,Hybrid,2500,2500,2500,2800,2880,2880
Business Strategy and Development,Wiley,Hybrid,2524,2524,2524,2600,2680,2680
Business Strategy and the Environment,Wiley,Hybrid,2750,2750,2750,3300,3400,3400
Business and Society Review,Wiley,Hybrid,2100,2100,2100,2150,2220,2220
CA: A Cancer Journal for Clinicians,Wiley,Hybrid,3000,2500,,,,2500
CAAI Transactions on Intelligence Technology,Wiley,OA,,,,2000,2360,2360
CHEMNANOMAT,Wiley,Hybrid,2900,2900,3000,3050,3050,3050
"CLEAN � Soil, Air, Water",Wiley,Hybrid,3150,3150,3150,3150,3350,3350
CNS Neuroscience & Therapeutics,Wiley,OA,1950,1950,2150,2650,2920,2920
CPT:�Pharmacometrics & Systems Pharmacology,Wiley,OA,2500,2500,2500,2500,4300,4300
CSA News,Wiley,Hybrid,,,900,900,1040,1040
Canadian Journal of Administrative SciencesRevue Canadienne des Sciences de l'Administration,Wiley,Hybrid,2100,2100,2100,2150,2220,2220
Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,Wiley,Hybrid,2100,2100,2100,2150,2220,2220
Canadian Journal of Economics/Revue canadienne d'�conomique,Wiley,Hybrid,2100,2100,2100,2300,2370,2370
Canadian Journal of Gastroenterology and Hepatology,Wiley,OA,,,,,2195,2195
Canadian Journal of Infectious Diseases and Medical Microbiology,Wiley,OA,,,,,1848,1848
Canadian Public Administration/AdministrationPublique du Canada,Wiley,Hybrid,2100,2100,2100,2150,2220,2220
Canadian Respiratory Journal,Wiley,OA,,,,,1848,1848
Canadian Review of Sociology/Revue canadienne de sociologie,Wiley,Hybrid,2100,2100,2100,2250,2320,2320
Cancer,Wiley,Hybrid,3600,3600,3600,3950,4070,4070
Cancer Communications,Wiley,OA,,2125,2125,2400,2400,2400
Cancer Cytopathology,Wiley,Hybrid,2100,2100,2100,2300,2370,2370
Cancer Medicine,Wiley,OA,2076,2076,2300,2800,3080,3080
Cancer Reports,Wiley,OA,,,2100,2450,2700,2700
Cancer Reports,Wiley,Hybrid,2500,2500,,,,2500
Cancer Science,Wiley,OA,1650,1650,2350,2350,2350,2350
Carbon Energy,Wiley,OA,,3041,3041,2550,2550,2550
Cardiology Research and Practice,Wiley,OA,,,,,2195,2195
Cardiovascular Therapeutics,Wiley,Hybrid,2750,,,,,2750
Cardiovascular Therapeutics,Wiley,OA,,,,,1848,1848
Case Reports in Anesthesiology,Wiley,OA,,,,,670,670
Case Reports in Cardiology,Wiley,OA,,,,,670,670
Case Reports in Critical Care,Wiley,OA,,,,,670,670
Case Reports in Dentistry,Wiley,OA,,,,,670,670
Case Reports in Dermatological Medicine,Wiley,OA,,,,,670,670
Case Reports in Emergency Medicine,Wiley,OA,,,,,670,670
Case Reports in Endocrinology,Wiley,OA,,,,,670,670
Case Reports in Gastrointestinal Medicine,Wiley,OA,,,,,670,670
Case Reports in Genetics,Wiley,OA,,,,,670,670
Case Reports in Hematology,Wiley,OA,,,,,670,670
Case Reports in Hepatology,Wiley,OA,,,,,670,670
Case Reports in Immunology,Wiley,OA,,,,,670,670
Case Reports in Infectious Diseases,Wiley,OA,,,,,670,670
Case Reports in Medicine,Wiley,OA,,,,,670,670
Case Reports in Nephrology,Wiley,OA,,,,,670,670
Case Reports in Neurological Medicine,Wiley,OA,,,,,670,670
Case Reports in Obstetrics and Gynecology,Wiley,OA,,,,,670,670
Case Reports in Oncological Medicine,Wiley,OA,,,,,670,670
Case Reports in Ophthalmological Medicine,Wiley,OA,,,,,670,670
Case Reports in Orthopedics,Wiley,OA,,,,,670,670
Case Reports in Otolaryngology,Wiley,OA,,,,,670,670
Case Reports in Pathology,Wiley,OA,,,,,670,670
Case Reports in Pediatrics,Wiley,OA,,,,,670,670
