"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"Breast Cancer: Basic and Clinical Research","Breast Cancer","Sage Publishing","For-profit","OA","","","USA","https://journals.sagepub.com/home/bcba","1355","0.816","Q2 (Oncology)","40","No","1178-2234",""
"Breast Disease","Breast Cancer","Sage Publishing (IOS Press)","For-profit","","","","Germany / UK","https://journals.sagepub.com/home/brd","","0.389","Q3 (Medicine; Oncology)","38","No","1558-1551","0888-6008"
"British Journal of Cancer","Generalist","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://www.nature.com/bjc","4245","2.803","Q1 (Cancer Research; Oncology)","290","No","1532-1827","0007-0920"
"Bulletin du Cancer","Generalist","Elsevier","For-profit associated with a society","Hybrid","Société Française du Cancer","Society/Association","Netherlands","https://www.sciencedirect.com/journal/bulletin-du-cancer","1519","0.28","Q3 (Medicine; Radiology, Nuclear Medicine and Imaging)","46","No","1769-6917","0007-4551"
"Cancer","Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","American Cancer Society","Society/Association","USA","https://acsjournals.onlinelibrary.wiley.com/journal/10970142","4924","2.427","Q1 (Cancer Research; Oncology)","359","No","1097-0142","0008-543X"
"Cancer & Metastasis Reviews","Generalist","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://www.springer.com/journal/10555","2351","3.223","Q1 (Cancer Research; Oncology)","182","No","1573-7233","0167-7659"
"Cancer Biology & Medicine","Generalist","Cancer Biology and Medicine","Non-profit","OA","China Anticancer Association; Tianjin Medical University Cancer Institute and Hospital","Society/Association","China","https://www.cancerbiomed.org/","","1.888","Q1 (Cancer Research; Oncology)","78","No","","2095-3941"
"Cancer Biotherapy and Radiopharmaceuticals","Treatment","Sage Publishing (Mary Ann Liebert)","For-profit","Hybrid","","","USA","https://journals.sagepub.com/home/cbtd","2849","0.498","Q2 (Radiology, Nuclear Medicine and Imaging)","74","No","1557-8852","1084-9785"
"Cancer Cell","Molecular and Cellular Oncology","Elsevier (Cell Press)","For-profit","Hybrid","","","USA","https://www.cell.com/cancer-cell","9472","26.632","Q1 (Cancer Research; Cell Biology; Oncology)","436","No","1878-3686","1535-6108"
"Cancer Cell International","Generalist","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://cancerci.biomedcentral.com/","2490","1.75","Q1 (Genetics; Oncology)","100","No","1475-2867",""
"Cancer Chemotherapy and Pharmacology","Treatment","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/280","3092","0.851","Q2 (Oncology; Pharmacology; Toxicology)","132","No","1432-0843","0344-5704"
"Cancer Communications","Generalist","John Wiley & Sons","For-profit associated with a society","OA","Chinese Anti-Cancer Association; US Chinese Anti-Cancer Association","Society/Association","USA","https://onlinelibrary.wiley.com/journal/25233548","1523","7.986","Q1 (Cancer Research; Oncology)","108","No","2523-3548","2523-3548"
"Cancer Cytopathology","Molecular and Cellular Oncology","John Wiley & Sons","For-profit associated with a society","Hybrid","American Cancer Society","Society/Association","USA","https://acsjournals.onlinelibrary.wiley.com/journal/19346638","2194","0.983","Q2 (Cancer Research; Oncology)","78","No","1934-6638","1934-662X"
"Cancer Discovery","Generalist","American Association for Cancer Research (AACR)","Non-profit","Hybrid","American Association for Cancer Research (AACR)","Society/Association","USA","https://aacrjournals.org/cancerdiscovery","8285","7.389","Q1 (Oncology)","265","No","2159-8290","2159-8274"
"Cancer Drug Resistance","Treatment","OAE Publishing Inc.","For-profit","OA","","","USA","https://www.oaepublish.com/cdr","2007","1.775","Q1 (Cancer Research; Pharmacology)","36","No","2578-532X",""
"Cancer Epidemiology","Generalist","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/cancer-epidemiology","3702","1.036","Q2 (Cancer Research; Epidemiology; Oncology)","94","No","1877-783X","1877-7821"
"Cancer Epidemiology, Biomarkers and Prevention","Generalist","American Association for Cancer Research (AACR)","Non-profit","Hybrid","","","USA","https://aacrjournals.org/cebp","3429","1.426","Q1 (Epidemiology; Medicine; Oncology)","223","No","1538-7755","1055-9965"
"Cancer Genetics","Genetics","Elsevier","For-profit associated with a society","Hybrid","Cancer Genomics Consortium","","Netherlands","https://www.sciencedirect.com/journal/cancer-genetics","2657","1.251","Q1 (Genetics)","59","No","2210-7770","2210-7762"
"Cancer Imaging","Diagnostics/Biomarkers","Springer Nature (BioMed Central)","For-profit associated with a society","OA","The International Cancer Imaging Society","Society/Association","UK","https://cancerimagingjournal.biomedcentral.com/","2290","1.16","Q1 (Medicine; Radiological and Ultrasound Technology; Radiology, Nuclear Medicine and Imaging)","73","No","1470-7330","1740-5025"
"Cancer Immunology, Immunotherapy","Treatment","Springer Nature","For-profit","OA","","","Germany / UK","https://link.springer.com/journal/262","3082","1.805","Q1 (Cancer Research; Immunology; Immunology and Allergy; Medicine; Oncology)","148","No","1432-0851","0340-7004"
"Cancer Informatics","Generalist","Sage Publishing","For-profit","OA","","","USA","https://journals.sagepub.com/home/cixa","1209","0.539","Q3 (Oncology)","42","No","1176-9351",""
"Cancer Letters","Generalist","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.journals.elsevier.com/cancer-letters","4199","3.066","Q1 (Cancer Research; Oncology)","240","No","1872-7980","0304-3835"
"Cancer Medicine","Generalist","John Wiley & Sons","For-profit","OA","","","USA","https://onlinelibrary.wiley.com/journal/20457634","3156","1.156","Q1 (Radiology, Nuclear Medicine and Imaging)","105","No","2045-7634","2045-7634"
"Cancer Pathogenesis and Therapy","Generalist","Elsevier","For-profit associated with a society","OA","Chinese Medical Association (CMA)","Society/Association","Netherlands","https://www.sciencedirect.com/journal/cancer-pathogenesis-and-therapy","1000","0.889","Q1 (Pathology and Forensic Medicine)","13","No","2949-7132","2097-2563"
"Cancer Prevention Research","Generalist","American Association for Cancer Research (AACR)","Non-profit","Hybrid","","","USA","https://aacrjournals.directfrompublisher.com/catalog/journal/cancer-prevention-research","4486","1.129","Q1 (Medicine)","120","No","1940-6215","1940-6207"
"Cancer Reports","Generalist","John Wiley & Sons","For-profit","OA","","","USA","https://onlinelibrary.wiley.com/journal/25738348","1892","0.707","Q3 (Cancer Research; Oncology)","30","No","2573-8348",""
"Cancer Research","Generalist","American Association for Cancer Research (AACR)","Non-profit","Hybrid","American Association for Cancer Research","Society/Association","USA","https://aacrjournals.org/cancerres","6668","4.347","Q1 (Cancer Research; Oncology)","522","No","1538-7445","0008-5472"
"Cancer Research Communications","Generalist","American Association for Cancer Research (AACR)","Non-profit","OA","","","USA","https://aacrjournals.org/cancerrescommun/","2191","1.773","Q1 (Cancer Research; Oncology)","22","No","2767-9764",""
"Cancer Science","Generalist","John Wiley & Sons","For-profit associated with a society","OA","Japanese Cancer Association","Society/Association","USA","https://onlinelibrary.wiley.com/journal/13497006","2843","1.509","Q1 (Medicine; Oncology)","178","No","1349-7006","1347-9032"
"Cancer Treatment Reviews","Treatment","Elsevier","For-profit associated with a society","Hybrid","European Society for Medical Oncology (ESMO)","Society/Association","Netherlands","https://www.sciencedirect.com/journal/cancer-treatment-reviews","4819","3.745","Q1 (Medicine; Oncology; Radiology, Nuclear Medicine and Imaging)","180","No","1532-1967","0305-7372"
"Cancer/Radiothérapie","Treatment","Elsevier","For-profit associated with a society","Hybrid","Société française de radiothérapie oncologique (SFRO)","Society/Association","Netherlands","https://www.sciencedirect.com/journal/cancer-radiotherapie","2000","0.481","Q2 (Radiology, Nuclear Medicine and Imaging)","40","No","1769-6658","1278-3218"
"Carcinogenesis","Generalist","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/carcin","2612","1.02","Q1 (Medicine)","230","No","1460-2180","0143-3334"
"Cardio-Oncology","Hematopoietic and Cardiovascular Cancer","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://cardiooncologyjournal.biomedcentral.com/","2825","0.85","Q2 (Cardiology and Cardiovascular Medicine; Oncology)","29","No","2057-3804",""
"Cell Death & Disease","Molecular and Cellular Oncology","Springer Nature","For-profit associated with a society","OA","Associazione Differenziamento e Morte Cellulare","Society/Association","Germany / UK","https://www.nature.com/cddis/","4580","3.291","Q1 (Cancer Research; Cell Biology; Cellular and Molecular Neuroscience; Immunology; Medicine)","202","No","2041-4889",""
"Clinical Cancer Research","Generalist","American Association for Cancer Research (AACR)","Non-profit","Hybrid","American Association for Cancer Research","Society/Association","USA","https://aacrjournals.org/clincancerres","6622","4.751","Q1 (Cancer Research; Oncology)","405","No","1557-3265","1078-0432"
"Clinical Colorectal Cancer","Gastrointestinal cancer","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/clinical-colorectal-cancer","2380","0.976","Q2 (Gastroenterology; Oncology)","71","No","1938-0674","1533-0028"
"Clinical Lung Cancer","Thoracic and Respiratory Cancer","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.journals.elsevier.com/clinical-lung-cancer","3379","1.362","Q1 (Oncology; Pulmonary and Respiratory Medicine)","83","No","1938-0690","1525-7304"
"Clinical Lymphoma, Myeloma & Leukemia","Hematopoietic and Cardiovascular Cancer","Elsevier","For-profit associated with a society","Hybrid","Society of Hematologic Oncology; European Society for Medical Oncology (ESMO); International Myeloma Society","Society/Association","Netherlands","https://www.clinical-lymphoma-myeloma-leukemia.com/","2390","0.615","Q2 (Hematology)","71","No","2152-2669","2152-2650"
"Clinical and Translational Oncology","Generalist","Springer Nature","For-profit associated with a society","Hybrid","Federation of Spanish Oncology Societies (FESEO)","Society/Association","Germany / UK","https://link.springer.com/journal/12094","3138","0.833","Q2 (Medicine; Oncology)","69","No","1699-3055","1699-048X"
"Clinical and Translational Radiation Oncology","Treatment","Elsevier","For-profit associated with a society","OA","The European Society for Radiotherapy and Oncology","Society/Association","Netherlands","https://www.sciencedirect.com/journal/clinical-and-translational-radiation-oncology","1660","1.248","Q1 (Oncology; Radiology, Nuclear Medicine and Imaging)","43","No","2405-6308","2405-6308"
"Critical Reviews in Oncology/Hematology","Generalist","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.journals.elsevier.com/critical-reviews-in-oncology-hematology","4077","1.977","Q1 (Geriatrics and Gerontology; Hematology; Oncology)","160","No","1879-0461","1040-8428"
"Current Breast Cancer Reports","Breast Cancer","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/12609","2584","0.402","Q3 (Oncology)","28","No","1943-4596","1943-4588"
"Discover Oncology","Generalist","Springer Nature","For-profit","OA","","","Switzerland","https://link.springer.com/journal/12672","1391","0.731","Q2 (Oncology)","50","No","2730-6011",""
"Drug Resistance Updates","Treatment","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.journals.elsevier.com/drug-resistance-updates","3755","5.279","Q1 (Cancer Research; Infectious Diseases; Oncology; Pharmacology)","148","No","1532-2084","1368-7646"
"ESMO Open","Generalist","Elsevier","For-profit associated with a society","OA","European Society for Medical Oncology","Society/Association","Netherlands","https://esmoopen.bmj.com/","2440","3.455","Q1 (Cancer Research; Oncology)","81","No","2059-7029","2059-7029"
"Endocrine Related Cancer","Endocrine System Cancer","Bioscientifica Ltd","Non-profit","Hybrid","Society for Endocrinology","Society/Association","UK","https://erc.bioscientifica.com/","2090","1.544","Q1 (Endocrinology; Endocrinology, Diabetes and Metabolism; Oncology)","154","No","1479-6821","1351-0088"
"European Journal of Cancer","Generalist","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.ejcancer.com/","3470","2.692","Q1 (Cancer Research; Oncology)","263","No","1879-0852","0959-8049"
"Experimental Hematology and Oncology","Hematopoietic and Cardiovascular Cancer","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://ehoonline.biomedcentral.com/","2955","4.126","Q1 (Cancer Research; Hematology; Oncology)","58","No","2162-3619",""
"FEBS Letters","Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","Federation of European Biochemical Societies (FEBS)","Society/Association","USA","https://febs.onlinelibrary.wiley.com/journal/18733468","3199","1.181","Q1 (Biochemistry; Biophysics)","295","No","1873-3468","0014-5793"
"Familial Cancer","Genetics","Springer Nature","For-profit associated with a society","Hybrid","International Society for Gastrointestinal Hereditary Tumours (InSIGHT); Breast Cancer Linkage Consortium (BCLC)","Society/Association","Germany / UK","https://link.springer.com/journal/10689","2121","0.849","Q2 (Genetics; Oncology)","72","No","1573-7292","1389-9600"
"Gastric Cancer","Gastrointestinal cancer","Springer Nature","For-profit associated with a society","Hybrid","Japanese Gastric Cancer Association; International Gastric Cancer Association","Society/Association","Germany / UK","https://link.springer.com/journal/10120","3745","2.489","Q1 (Cancer Research; Gastroenterology; Medicine; Oncology)","114","No","1436-3305","1436-3291"
"Genes and Cancer","Genetics","Rapamycin Press LLC (Impact Journals)","For-profit","","","","USA","https://www.genesandcancer.com/","","1.517","Q1 (Genetics)","88","No","1947-6027","1947-6019"
"Genes, Chromosomes and Cancer","Genetics","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/10982264","2453","1.31","Q1 (Genetics)","137","No","1098-2264","1045-2257"
"Gut Microbes","Gastrointestinal cancer","Taylor & Francis Group","For-profit","OA","","","USA","https://www.tandfonline.com/journals/kgmi20","3760","4.109","Q1 (Gastroenterology; Infectious Diseases; Microbiology)","147","No","1949-0984","1949-0976"
"Gut Microbes Reports","Gastrointestinal cancer","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/kgmr20","1615","","","","No","2993-3935",""
"Gynecologic Oncology","Generalist","Elsevier","For-profit associated with a society","Hybrid","Society of Gynecologic Oncology (SGO)","Society/Association","Netherlands","https://www.sciencedirect.com/journal/gynecologic-oncology","3239","1.81","Q1 (Obstetrics and Gynecology; Oncology)","198","No","1095-6859","0090-8258"
"HemaSphere","Hematopoietic and Cardiovascular Cancer","John Wiley & Sons","For-profit associated with a society","OA","European Hematology Association (EHA)","Society/Association","USA","https://onlinelibrary.wiley.com/journal/25729241","1943","2.001","Q1 (Hematology)","42","No","2572-9241","2572-9241"
"Hematological Oncology","Hematopoietic and Cardiovascular Cancer","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/10991069","2959","1.073","Q1 (Hematology; Medicine)","59","No","1099-1069","0278-0232"
"Hépato-Gastro et Oncologie Digestive","Gastrointestinal cancer","John Libbey Eurotext","For-profit","","","","France","https://www.jle.com/fr/revues/hpg/revue.phtml","","0.107","Q4 (Gastroenterology; Hepatology; Oncology)","7","No","2115-5631","2115-3310"
"Integrative Cancer Therapies","Treatment","Sage Publishing","For-profit","OA","","","USA","https://journals.sagepub.com/home/icta","1868","0.727","Q1 (Complementary and Alternative Medicine)","79","No","1552-695X","1534-7354"
"International Angiology","Generalist","Edizioni Minerva Medica","For-profit","Hybrid","International Union of Angiology; International Union of Phlebology","","Italy","https://www.minervamedica.it/en/journals/international-angiology/","1744","0.455","Q3 (Cardiology and Cardiovascular Medicine)","67","No","1827-1839","0392-9590"
"International Journal of Antimicrobial Agents","Treatment","Elsevier","For-profit associated with a society","Hybrid","International Society of Antimicrobial Chemotherapy","Society/Association","Netherlands","https://www.sciencedirect.com/journal/international-journal-of-antimicrobial-agents","3617","1.301","Q1 (Infectious Diseases; Medicine; Microbiology; Pharmacology)","167","No","1872-7913","0924-8579"
"International Journal of Cancer","Generalist","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/10970215","4552","1.901","Q1 (Cancer Research; Oncology)","275","No","1097-0215","0020-7136"
"International Journal of Gynecological Cancer","Generalist","Elsevier","For-profit associated with a society","Hybrid","European Society of Gynaecological Oncology (ESGO); International Gynecologic Cancer Society (IGCS)","Society/Association","Netherlands","https://www.sciencedirect.com/journal/international-journal-of-gynecological-cancer","3292","1.401","Q1 (Obstetrics and Gynecology; Oncology)","112","No","1525-1438","1048-891X"
"International Journal of Hyperthermia","Treatment","Taylor & Francis Group","For-profit associated with a society","OA","Society for Thermal Medicine; European Society for Hyperthermic Oncology; Japanese Society for Thermal Medicine","Society/Association","UK","https://www.tandfonline.com/journals/ihyt20","2486","0.902","Q1 (Radiological and Ultrasound Technology)","108","No","1464-5157","0265-6736"
"International Journal of Radiation Oncology Biology Physics","Treatment","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.redjournal.org/","3992","2.173","Q1 (Cancer Research; Oncology; Radiation; Radiology, Nuclear Medicine and Imaging)","295","No","1879-355X","0360-3016"
"JACC CardioOncology","Hematopoietic and Cardiovascular Cancer","American College of Cardiology (JACC)","Non-profit","OA","American College of Cardiology","","USA","https://www.jacc.org/journal/cardio-oncology","2631","3.836","Q1 (Cardiology and Cardiovascular Medicine; Oncology)","56","No","2666-0873",""
"JAMA Oncology","Generalist","American Medical Association (AMA)","Non-profit","Hybrid","American Medical Association (AMA)","Society/Association","USA","https://jamanetwork.com/journals/jamaoncology","5136","7.399","Q1 (Cancer Research; Oncology)","208","No","2374-2445","2374-2437"
"JCO Precision Oncology","Generalist","American Society of Clinical Oncology (ASCO) Publications","Non-profit","Hybrid","","","USA","https://ascopubs.org/journal/po","2731","2.082","Q1 (Cancer Research; Oncology)","65","No","2473-4284",""
"JNCI Cancer Spectrum","Generalist","Oxford University Press (OUP)","University Press","OA","","","UK","https://academic.oup.com/jncics","2134","1.72","Q1 (Oncology)","46","No","2515-5091",""
"Journal for ImmunoTherapy of Cancer","Treatment","BMJ Group","Non-profit","OA","Society for Immunotherapy of Cancer (SITC); British Medical Association (BMA)","Society/Association","UK","https://jitc.bmj.com/","3181","4.114","Q1 (Cancer Research; Immunology; Immunology and Allergy; Molecular Medicine; Oncology; Pharmacology)","155","No","2051-1426",""
"Journal of Bone Oncology","Bone and muscle sarcoma","Elsevier","For-profit associated with a society","OA","Cancer and Bone Society","Society/Association","Netherlands","https://www.sciencedirect.com/journal/journal-of-bone-oncology","1902","1.087","Q2 (Oncology)","46","No","2212-1374","2212-1374"
"Journal of Cancer Research & Therapeutics","Generalist","Wolters Kluwer","For-profit associated with a society","OA","the Association of Radiation Oncologists of India","Society/Association","Netherlands","https://journals.lww.com/cancerjournal/","","0.425","Q3 (Medicine; Oncology; Radiology, Nuclear Medicine and Imaging)","58","No","1998-4138","0973-1482"
"Journal of Carcinogenesis","Generalist","Wolters Kluwer","For-profit","OA","","","Netherlands","https://carcinogenesis.com","","0.445","Q3 (Health, Toxicology and Mutagenesis; Oncology)","45","No","1477-3163","0974-6773"
"Journal of Cardio-Oncology","Hematopoietic and Cardiovascular Cancer","Wolters Kluwer (Lippincott)","For-profit associated with a society","OA","Chinese Medical Association","Society/Association","Netherlands / USA","https://journals.lww.com/jcardiooncol/pages/default.aspx","","","","","No","3066-8735","2097-4728"
"Journal of Clinical Oncology","Generalist","American Society of Clinical Oncology","Non-profit","Hybrid","American Society of Clinical Oncology","Society/Association","USA","https://ascopubs.org/journal/jco","4341","4.648","Q1 (Cancer Research; Medicine; Oncology)","666","No","1527-7755","0732-183X"
"Journal of Environmental Science and Health, Part C: Toxicology and Carcinogenesis","Generalist","Taylor & Francis Group","For-profit","Hybrid","","","USA","https://www.tandfonline.com/journals/lesc20","","0.745","Q2 (Health, Toxicology and Mutagenesis)","64","No","2689-6591",""
"Journal of Experimental & Clinical Cancer Research","Generalist","Springer Nature (BioMed Central)","For-profit","OA","Regina Elena National Cancer Institute","University/Government","UK","https://jeccr.biomedcentral.com/","3631","3.731","Q1 (Cancer Research; Oncology)","152","No","1756-9966","0392-9078"
"Journal of Gastric Cancer","Gastrointestinal cancer","Korean Gastric Cancer Association","Non-profit","OA","Korean Gastric Cancer Association","Society/Association","Republic of Korea (South Korea)","https://www.jgc-online.org/","","1.485","Q1 (Gastroenterology; Oncology)","44","No","2093-5641","2093-582X"
"Journal of Gastrointestinal Oncology","Gastrointestinal cancer","Wolters Kluwer","For-profit associated with a society","OA","Society for Gastrointestinal Oncology (SGO)","Society/Association","Netherlands","https://journals.lww.com/jgo/pages/default.aspx","1442","0.659","Q2 (Gastroenterology)","65","No","2219-679X","2078-6891"
"Journal of Geriatric Oncology","Development and Oncology","Elsevier","For-profit associated with a society","Hybrid","International Society of Geriatric Oncology (SIOG)","Society/Association","Netherlands","https://www.sciencedirect.com/journal/journal-of-geriatric-oncology","3100","0.943","Q2 (Geriatrics and Gerontology; Oncology)","63","No","1879-4076","1879-4068"
"Journal of Hematology & Oncology","Hematopoietic and Cardiovascular Cancer","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://jhoonline.biomedcentral.com/","2693","11.824","Q1 (Cancer Research; Hematology; Molecular Biology; Oncology)","194","No","1756-8722",""
"Journal of Immunotherapy","Treatment","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/immunotherapy-journal/pages/default.aspx","3473","1.088","Q1 (Pharmacology)","111","No","1537-4513","1524-9557"
"Journal of Infection and Chemotherapy","Treatment","Elsevier","For-profit associated with a society","Hybrid","The Japanese Society of Chemotherapy; The Japanese Association for Infectious Diseases; The Japanese Society for Infection Prevention and Control","Society/Association","Netherlands","https://www.sciencedirect.com/journal/journal-of-infection-and-chemotherapy","2270","0.503","Q3 (Infectious Diseases; Microbiology; Pharmacology)","79","No","1437-7780","1341-321X"
"Journal of Neuro-Oncology","Neuro-Oncology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/11060","3445","1.03","Q2 (Cancer Research; Neurology; Oncology)","147","No","1573-7373","0167-594X"
"Journal of Pediatric Hematology & Oncology","Development and Oncology","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/jpho-online/pages/default.aspx","3421","0.35","Q3 (Hematology; Oncology; Pediatrics, Perinatology and Child Health)","90","No","1536-3678","1077-4114"
"Journal of Thoracic Oncology","Thoracic and Respiratory Cancer","Elsevier","For-profit associated with a society","Hybrid","International Association for the Study of Lung Cancer (IASLC)","Society/Association","Netherlands","https://www.jto.org/","2374","7.497","Q1 (Medicine; Oncology; Pulmonary and Respiratory Medicine)","204","No","1556-1380","1556-0864"
"Journal of the National Cancer Institute","Generalist","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/jnci","4737","3.786","Q1 (Cancer Research; Oncology)","403","No","1460-2105","0027-8874"
"Journal of the National Comprehensive Cancer Network","Generalist","National Comprehensive Cancer Network","Non-profit","Subscription","National Comprehensive Cancer Network","Non-profit","USA","https://jnccn.org/view/journals/jnccn/jnccn-overview.xml","","5.992","Q1 (Medicine; Oncology)","173","No","1540-1413","1540-1405"
"Leukemia","Hematopoietic and Cardiovascular Cancer","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://www.nature.com/leu/","2552","3.675","Q1 (Anesthesiology and Pain Medicine; Cancer Research; Hematology; Oncology)","235","No","1476-5551","0887-6924"
"Leukemia Research","Hematopoietic and Cardiovascular Cancer","Elsevier","For-profit associated with a society","Hybrid","Myelodysplastic Syndromes Foundation","Non-profit","Netherlands","https://www.sciencedirect.com/journal/leukemia-research","2203","0.876","Q2 (Hematology; Oncology)","100","No","1873-5835","0145-2126"
"Leukemia and Lymphoma","Hematopoietic and Cardiovascular Cancer","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/ilal20","3393","0.861","Q2 (Hematology; Oncology)","109","No","1029-2403","1042-8194"
"Liver Cancer","Gastrointestinal cancer","Karger Publishers","For-profit associated with a society","OA","Eastern & Western Association Liver Tumors","Society/Association","Switzerland","https://karger.com/LIC","2750","3.334","Q1 (Hepatology; Oncology)","69","No","1664-5553","2235-1795"
"Lung Cancer","Thoracic and Respiratory Cancer","Elsevier","For-profit associated with a society","Hybrid","European Society for Medical Oncology; ETOP IBCSG Partners Foundation; British Thoracic Oncology Group","Society/Association","Netherlands","https://www.sciencedirect.com/journal/lung-cancer","2820","1.928","Q1 (Cancer Research; Oncology; Pulmonary and Respiratory Medicine)","160","No","1872-8332","0169-5002"
