Journal,Publisher,Business model,APC 2019 (€),APC 2020 (€),APC 2021 (€),APC 2022 (€),APC 2023 (€),APC (€)
Frontiers in Future Transportation,Frontiers,OA,,832,1606,1807,1963,1963
Frontiers in Gastroenterology,Frontiers,OA,,,,1807,1963,1963
Frontiers in Genetics,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Genome Editing,Frontiers,OA,,1665,1606,1807,1963,1963
Frontiers in Geochemistry,Frontiers,OA,,,,,1963,1963
Frontiers in Global Women's Health,Frontiers,OA,,1665,1606,1807,1963,1963
Frontiers in Health Services,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Hematology,Frontiers,OA,,,,1807,1963,1963
Frontiers in High Performance Computing,Frontiers,OA,,,,1807,1963,1963
Frontiers in Horticulture,Frontiers,OA,,,,1807,1963,1963
Frontiers in Human Dynamics,Frontiers,OA,,832,803,903,1187,1187
Frontiers in Human Neuroscience,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Imaging,Frontiers,OA,,,,1807,1963,1963
Frontiers in Immunology,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Industrial Engineering,Frontiers,OA,,,,,1963,1963
Frontiers in Industrial Microbiology,Frontiers,OA,,,,,1963,1963
Frontiers in Insect Science,Frontiers,OA,,,972,1093,1963,1963
Frontiers in Integrative Neuroscience,Frontiers,OA,2223,2586,2494,2805,3045,3045
Frontiers in Lab on a Chip Technologies,Frontiers,OA,,,,,1963,1963
Frontiers in Language Sciences,Frontiers,OA,,,,,1963,1963
Frontiers in Lupus,Frontiers,OA,,,,,1963,1963
Frontiers in Malaria,Frontiers,OA,,,,,1963,1963
Frontiers in Mammal Science,Frontiers,OA,,,,,1963,1963
Frontiers in Manufacturing Technology,Frontiers,OA,,,,903,1963,1963
Frontiers in Marine Science,Frontiers,OA,2223,2586,2494,2805,3045,3045
Frontiers in Materials,Frontiers,OA,2223,2586,2494,2805,3045,3045
Frontiers in Mechanical Engineering,Frontiers,OA,1026,1008,972,1093,1187,1187
Frontiers in Medical Engineering,Frontiers,OA,,,,,1963,1963
Frontiers in Medical Technology,Frontiers,OA,,1665,1606,1807,1963,1963
Frontiers in Medicine,Frontiers,OA,2223,2183,2494,2805,3045,3045
Frontiers in Membrane Science and Technology,Frontiers,OA,,,,1807,1963,1963
Frontiers in Metals and Alloys,Frontiers,OA,,,,1807,1963,1963
Frontiers in Microbiology,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Microbiomes,Frontiers,OA,,,,1807,1963,1963
Frontiers in Molecular Biosciences,Frontiers,OA,2223,2183,2494,2805,3045,3045
Frontiers in Molecular Medicine,Frontiers,OA,,,,1807,1963,1963
Frontiers in Molecular Neuroscience,Frontiers,OA,,2586,2494,2805,3045,3045
Frontiers in Nanotechnology,Frontiers,OA,,1008,972,1807,1963,1963
Frontiers in Natural Products,Frontiers,OA,,,,1807,1963,1963
Frontiers in Nephrology,Frontiers,OA,,,,1807,1963,1963
Frontiers in Network Physiology,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Neural Circuits,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Neuroanatomy,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Neuroergonomics,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Neuroimaging,Frontiers,OA,,,,,1963,1963
Frontiers in Neuroinformatics,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Neurology,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Neurorobotics,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Neuroscience,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Nuclear Engineering,Frontiers,OA,,,,1807,1963,1963
Frontiers in Nuclear Medicine,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Nutrition,Frontiers,OA,1696,2183,2105,2368,3045,3045
Frontiers in Ocean Sustainability,Frontiers,OA,,,,,1963,1963
Frontiers in Oncology,Frontiers,OA,2223,2586,2494,2805,3045,3045
Frontiers in Ophthalmology,Frontiers,OA,,,,1807,1963,1963
Frontiers in Oral Health,Frontiers,OA,,1665,1606,1807,1963,1963
Frontiers in Organizational Psychology,Frontiers,OA,,,,,1963,1963
Frontiers in Pain Research,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Parasitology,Frontiers,OA,,,,1807,1963,1963
Frontiers in Pediatrics,Frontiers,OA,2223,2586,2494,2805,3045,3045
Frontiers in Pharmacology,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Photobiology,Frontiers,OA,,,,,1963,1963
Frontiers in Photonics,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Physics,Frontiers,OA,1696,2183,2105,2368,2583,2583
Frontiers in Physiology,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Plant Physiology,Frontiers,OA,,,,,1963,1963
Frontiers in Plant Science,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Political Science,Frontiers,OA,,832,803,903,1187,1187
Frontiers in Protistology,Frontiers,OA,,,,,1963,1963
Frontiers in Psychiatry,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Psychology,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Public Health,Frontiers,OA,2223,2183,2494,2805,3045,3045
Frontiers in Quantum Science and Technology,Frontiers,OA,,,,1807,1963,1963
Frontiers in RNA Research,Frontiers,OA,,,,,1963,1963
Frontiers in Radiology,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Rehabilitation Sciences,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Remote Sensing,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Reproductive Health,Frontiers,OA,,1665,1606,1807,1963,1963
Frontiers in Research Metrics and Analytics,Frontiers,OA,848,832,803,1807,1187,1187
Frontiers in Robotics and AI,Frontiers,OA,1696,1665,1606,1807,1963,1963
Frontiers in Sensors,Frontiers,OA,,,972,1807,1963,1963
Frontiers in Signal Processing,Frontiers,OA,,,803,1807,1963,1963
Frontiers in Sleep,Frontiers,OA,,,,1807,1963,1963
Frontiers in Smart Grids,Frontiers,OA,,,,,1963,1963
Frontiers in Social Psychology,Frontiers,OA,,,,,1963,1963
Frontiers in Sociology,Frontiers,OA,848,832,803,903,1187,1187
Frontiers in Soft Matter,Frontiers,OA,,,,1807,1963,1963
Frontiers in Soil Science,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Space Technologies,Frontiers,OA,,,803,1807,1963,1963
Frontiers in Sports and Active Living,Frontiers,OA,1696,1665,1606,1807,1963,1963
Frontiers in Stroke,Frontiers,OA,,,,1807,1963,1963
Frontiers in Surgery,Frontiers,OA,1696,2183,2105,2368,3045,3045
Frontiers in Sustainability,Frontiers,OA,,1008,972,1093,1187,1187
Frontiers in Sustainable Cities,Frontiers,OA,848,832,803,903,1187,1187
Frontiers in Sustainable Energy Policy,Frontiers,OA,,,,,1963,1963
Frontiers in Sustainable Food Systems,Frontiers,OA,848,832,803,903,1963,1963
Frontiers in Sustainable Resource Management,Frontiers,OA,,,,1807,1963,1963
Frontiers in Sustainable Tourism,Frontiers,OA,,,,1093,1187,1187
Frontiers in Synaptic Neuroscience,Frontiers,OA,1696,1665,2105,2368,3045,3045
Frontiers in Synthetic Biology,Frontiers,OA,,,,,1963,1963
Frontiers in Systems Biology,Frontiers,OA,,,,1807,1963,1963
Frontiers in Systems Neuroscience,Frontiers,OA,2223,2586,2494,2805,3045,3045
Frontiers in The Internet of Things,Frontiers,OA,,,,1807,,1807
Frontiers in Thermal Engineering,Frontiers,OA,,,,903,1187,1187
Frontiers in Toxicology,Frontiers,OA,,1665,1606,1807,1963,1963
Frontiers in Transplantation,Frontiers,OA,,,,1807,1963,1963
Frontiers in Tropical Diseases,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Tuberculosis,Frontiers,OA,,,,,1963,1963
Frontiers in Urology,Frontiers,OA,,,,1807,1963,1963
Frontiers in Veterinary Science,Frontiers,OA,2223,2586,2494,2805,3045,3045
Frontiers in Virology,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Virtual Reality,Frontiers,OA,,832,1606,1807,1963,1963
Frontiers in Water,Frontiers,OA,1026,1008,972,1093,1187,1187
Frontiers in the Internet of Things,Frontiers,OA,,,,,1963,1963
Frontiers in�Adolescent Medicine,Frontiers,OA,,,,,1963,1963
