Journal,Publisher,Business model,APC (€)
Acta Anaesthesiologica Scandinavica,Wiley,Hybrid,3350
Acta Analytica,Springer Nature,Hybrid,2290
Acta Applicandae Mathematicae,Springer Nature,Hybrid,2390
Acta Archaeologica,Wiley,Hybrid,2100
Acta Astronautica,Elsevier,Hybrid,2690
Acta Biomaterialia,Elsevier,Hybrid,2930
Acta Biotheoretica,Springer Nature,Hybrid,2290
Acta Colombiana de Cuidado Intensivo,Elsevier,Hybrid,1740
Acta Colombiana de Cuidado Intensivo,Elsevier,"",1820
Acta Crystallographica Section A: Foundations and Advances,Wiley,Hybrid,3810
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",Wiley,Hybrid,3810
Acta Crystallographica Section C: Structural Chemistry,Wiley,Hybrid,3190
Acta Crystallographica Section D: Structural Biology,Wiley,Hybrid,4220
Acta Crystallographica Section F: Structural Biology Communications,Wiley,Hybrid,2800
Acta Diabetologica,Springer Nature,Hybrid,3190
Acta Ecologica Sinica,Elsevier,Hybrid,2280
Acta Geochimica,Springer Nature,Hybrid,2490
Acta Geodaetica et Geophysica,Springer Nature,Hybrid,2490
Acta Geologica Sinica (English Edition),Wiley,Hybrid,2630
Acta Geophysica,Springer Nature,Hybrid,2390
Acta Geotechnica,Springer Nature,Hybrid,2790
Acta Histochemica,Elsevier,Hybrid,2690
Acta Informatica,Springer Nature,Hybrid,2390
Acta Materialia,Elsevier,Hybrid,2930
Acta Mathematica Scientia,Springer Nature,Hybrid,2190
Acta Mathematica Scientia,Elsevier,Hybrid,2630
Acta Mathematica Vietnamica,Springer Nature,Hybrid,2290
"Acta Mathematicae Applicatae Sinica, English Series",Springer Nature,Hybrid,2590
Acta Mechanica,Springer Nature,Hybrid,2690
Acta Mechanica Sinica,Springer Nature,Hybrid,2890
Acta Mechanica Solida Sinica,Springer Nature,Hybrid,2390
Acta Metallurgica Sinica (English Letters),Springer Nature,Hybrid,2790
Acta Neurochirurgica,Springer Nature,Hybrid,3190
Acta Neurologica Belgica,Springer Nature,Hybrid,2890
Acta Neurologica Scandinavica,Wiley,Hybrid,3700
Acta Neurologica Scandinavica,Wiley,OA,2125
Acta Neuropathologica,Springer Nature,Hybrid,3690
Acta Neuropathologica Communications,Springer Nature,OA,2990
Acta Obstetricia et Gynecologica Scandinavica,Wiley,Hybrid,3333
Acta Obstetricia et Gynecologica Scandinavica,Wiley,OA,2400
Acta Oceanologica Sinica,Springer Nature,Hybrid,2290
Acta Oecologica,Elsevier,Hybrid,2650
Acta Ophthalmologica,Wiley,Hybrid,4070
Acta Otorrinolaringologica (English Edition),Elsevier,Hybrid,2010
Acta Otorrinolaringologica Espa�ola,Elsevier,Hybrid,2100
Acta Paediatrica: Nurturing the Child,Wiley,Hybrid,3400
Acta Parasitologica,Springer Nature,Hybrid,2390
Acta Pharmacologica Sinica,Springer Nature,Hybrid,3290
Acta Physiologiae Plantarum,Springer Nature,Hybrid,2390
Acta Physiologica,Wiley,Hybrid,3890
Acta Politica,Springer Nature,Hybrid,2390
Acta Psychiatrica Scandinavica,Wiley,Hybrid,3660
Acta Psychologica,Elsevier,Hybrid,1709
Acta Psychologica,Elsevier,OA,1500
Acta Scientiarum Mathematicarum,Springer Nature,Hybrid,2290
Acta Tropica,Elsevier,Hybrid,2770
Acta Veterinaria Scandinavica,Springer Nature,OA,2290
Acta Zoologica,Wiley,Hybrid,2580
Actas Dermo-Sifiliogr�ficas (English Edition),Elsevier,Hybrid,2630
Actas Urologicas Espanolas,Elsevier,Hybrid,2650
Actas Urologicas Espanolas (English Edition),Elsevier,Hybrid,2630
Actas dermosifiliograficas,Elsevier,Hybrid,2630
Active and Passive Electronic Components,Wiley,OA,854
Activitas Nervosa Superior,Springer Nature,Hybrid,2190
Actualit�s pharmaceutiques,Elsevier,Hybrid,2630
Actuators,MDPI,OA,1852
Acute Medicine & Surgery,Wiley,OA,2029
Ad Hoc Networks,Elsevier,Hybrid,2380
Adaptive Human Behavior and Physiology,Springer Nature,Hybrid,2190
Addiction,Wiley,Hybrid,3550
Addiction Biology,Wiley,Hybrid,3500
Addiction Neuroscience,Elsevier,OA,2280
Addiction Science & Clinical Practice,Springer Nature,OA,2290
Addictive Behaviors,Elsevier,Hybrid,3700
Addictive Behaviors Reports,Elsevier,OA,2680
Additive Manufacturing,Elsevier,Hybrid,3060
Additive Manufacturing Letters,Elsevier,OA,1140
Administration and Policy in Mental Health and Mental Health Services Research,Springer Nature,Hybrid,2690
Administrative Sciences,MDPI,OA,1440
Adolescent Research Review,Springer Nature,Hybrid,2290
Adolescents,MDPI,OA,1028
Adsorption,Springer Nature,Hybrid,2790
Adultspan Journal,Wiley,Hybrid,2100
Advanced Biology,Wiley,Hybrid,3350
Advanced Biosystems,Wiley,Hybrid,3150
Advanced Composites and Hybrid Materials,Springer Nature,Hybrid,2590
Advanced Control for Applications,Wiley,Hybrid,2220
Advanced Drug Delivery Reviews,Elsevier,Hybrid,4700
Advanced Electronic Materials,Wiley,Hybrid,3550
Advanced Electronic Materials,Wiley,OA,2600
Advanced Energy Materials,Wiley,Hybrid,4380
Advanced Energy and Sustainability Research,Wiley,OA,2680
Advanced Engineering Informatics,Elsevier,Hybrid,3260
Advanced Engineering Materials,Wiley,Hybrid,3560
Advanced Fiber Materials,Springer Nature,Hybrid,2390
Advanced Functional Materials,Wiley,Hybrid,4580
Advanced Genetics,Wiley,OA,4400
Advanced Healthcare Materials,Wiley,Hybrid,3660
Advanced Intelligent Systems,Wiley,OA,2700
Advanced Materials,Wiley,Hybrid,4580
Advanced Materials Interfaces,Wiley,Hybrid,3550
Advanced Materials Interfaces,Wiley,OA,2600
Advanced Materials Technologies,Wiley,Hybrid,3660
Advanced Modeling and Simulation in Engineering Sciences,Springer Nature,OA,1490
Advanced NanoBioMed Research,Wiley,OA,2990
Advanced Optical Materials,Wiley,Hybrid,3660
Advanced Optical Technologies,Frontiers,OA,1963
Advanced Photonics Research,Wiley,OA,2500
Advanced Physics Research,Wiley,OA,2050
Advanced Powder Technology,Elsevier,Hybrid,2550
Advanced Quantum Technologies,Wiley,Hybrid,3350
Advanced Science,Wiley,OA,4790
Advanced Sensor Research,Wiley,OA,2100
Advanced Sensor and Energy Materials,Elsevier,OA,1460
Advanced Structural and Chemical Imaging,Springer Nature,OA,1060
Advanced Sustainable Systems,Wiley,Hybrid,3350
Advanced Synthesis & Catalysis,Wiley,Hybrid,3550
Advanced Theory and Simulations,Wiley,Hybrid,3350
Advanced Therapeutics,Wiley,Hybrid,3350
Advances in Accounting,Elsevier,Hybrid,2750
Advances in Aerodynamics,Springer Nature,OA,1000
Advances in Agriculture,Wiley,OA,739
Advances in Anesthesia,Elsevier,Hybrid,2150
Advances in Applied Clifford Algebras,Springer Nature,Hybrid,2390
Advances in Applied Energy,Elsevier,OA,3280
Advances in Applied Mathematics,Elsevier,Hybrid,2440
Advances in Astronautics Science and Technology,Springer Nature,Hybrid,2290
Advances in Astronomy,Wiley,OA,970
Advances in Atmospheric Sciences,Springer Nature,Hybrid,2590
Advances in Bamboo Science,Elsevier,OA,1090
Advances in Biological Regulation,Elsevier,Hybrid,3540
Advances in Cancer Biology - Metastasis,Elsevier,OA,2550
Advances in Cell and Gene Therapy,Wiley,OA,716
Advances in Cell and Gene Therapy,Wiley,Hybrid,2478
Advances in Chronic Kidney Disease,Elsevier,Hybrid,2540
Advances in Civil Engineering,Wiley,OA,2356
Advances in Climate Change Research,Elsevier,OA,1315
Advances in Clinical Radiology,Elsevier,Hybrid,2590
Advances in Colloid and Interface Science,Elsevier,Hybrid,4420
Advances in Computational Intelligence,Springer Nature,Hybrid,2190
Advances in Computational Mathematics,Springer Nature,Hybrid,2390
Advances in Condensed Matter Physics,Wiley,OA,1386
Advances in Continuous and Discrete Models,Springer Nature,OA,1490
Advances in Cosmetic Surgery,Elsevier,Hybrid,2590
Advances in Data Analysis and Classification,Springer Nature,Hybrid,2390
Advances in Difference Equations,Springer Nature,OA,1490
Advances in Digestive Medicine,Wiley,Hybrid,1800
Advances in Engineering Software,Elsevier,Hybrid,3820
Advances in Family Practice Nursing,Elsevier,Hybrid,2590
Advances in Fuzzy Systems,Wiley,OA,854
Advances in Health Sciences Education,Springer Nature,Hybrid,2290
Advances in Hematology,Wiley,OA,739
Advances in High Energy Physics,Wiley,OA,1386
Advances in Human-Computer Interaction,Wiley,OA,854
Advances in Industrial and Manufacturing Engineering,Elsevier,OA,1600
Advances in Integrative Medicine,Elsevier,Hybrid,1810
Advances in Kidney Disease and Health,Elsevier,Hybrid,2920
Advances in Life Course Research,Elsevier,Hybrid,3230
Advances in Manufacturing,Springer Nature,Hybrid,2790
Advances in Materials Science and Engineering,Wiley,OA,2356
Advances in Mathematical Physics,Wiley,OA,2195
Advances in Mathematics,Elsevier,Hybrid,3170
Advances in Medical Sciences,Elsevier,Hybrid,1550
Advances in Medicine,Wiley,OA,739
Advances in Meteorology,Wiley,OA,1386
Advances in Molecular Pathology,Elsevier,Hybrid,2590
Advances in Multimedia,Wiley,OA,854
Advances in Neurodevelopmental Disorders,Springer Nature,Hybrid,2290
Advances in Nutrition,Elsevier,OA,4560
Advances in Oncology,Elsevier,OA,2630
Advances in Operations Research,Wiley,OA,970
Advances in Operator Theory,Springer Nature,Hybrid,2290
Advances in Ophthalmology Practice and Research,Elsevier,OA,1460
Advances in Ophthalmology and Optometry,Elsevier,Hybrid,2440
Advances in Oral and Maxillofacial Surgery,Elsevier,OA,1500
Advances in Orthopedics,Wiley,OA,854
Advances in Pediatrics,Elsevier,Hybrid,3030
Advances in Pharmacological and Pharmaceutical Sciences,Wiley,OA,854
Advances in Polymer Technology,Wiley,Hybrid,2083
Advances in Polymer Technology,Wiley,OA,1848
Advances in Preventive Medicine,Wiley,OA,739
Advances in Public Health,Wiley,OA,854
Advances in Radiation Oncology,Elsevier,OA,1820
Advances in Redox Research,Elsevier,OA,1370
Advances in Respiratory Medicine,MDPI,OA,1337
Advances in Sample Preparation,Elsevier,OA,1140
Advances in Simulation,Springer Nature,OA,2090
Advances in Small Animal Care,Elsevier,OA,2630
Advances in Small Animal Medicine and Surgery,Elsevier,Hybrid,2630
Advances in Space Research,Elsevier,Hybrid,2370
Advances in Surgery,Elsevier,Hybrid,2540
Advances in Therapy,Springer Nature,Hybrid,3390
Advances in Traditional Medicine,Springer Nature,Hybrid,2790
Advances in Tribology,Wiley,OA,854
Advances in Urology,Wiley,OA,854
Advances in Virology,Wiley,OA,854
Advances in Water Resources,Elsevier,Hybrid,3400
Adversity and Resilience Science,Springer Nature,Hybrid,2290
Aeolian Research,Elsevier,Hybrid,2820
Aequationes mathematicae,Springer Nature,Hybrid,2190
Aerobiologia,Springer Nature,Hybrid,2590
Aerosol Science and Engineering,Springer Nature,Hybrid,2790
Aerospace,MDPI,OA,1852
Aerospace Science and Technology,Elsevier,Hybrid,3860
Aerospace Systems,Springer Nature,Hybrid,2490
Aerotecnica Missili & Spazio,Springer Nature,Hybrid,2390
Aesthetic Plastic Surgery,Springer Nature,Hybrid,3390
Affective Science,Springer Nature,Hybrid,2190
African Archaeological Review,Springer Nature,Hybrid,2490
African Development Review,Wiley,Hybrid,2880
African Journal of Ecology,Wiley,Hybrid,2780
African Journal of Emergency Medicine,Elsevier,OA,1230
Afrika Matematika,Springer Nature,Hybrid,2390
Ageing International,Springer Nature,Hybrid,2190
Ageing Research Reviews,Elsevier,Hybrid,4400
Aggregate,Wiley,OA,3500
Aggression and Violent Behavior,Elsevier,Hybrid,3300
Aggressive Behavior,Wiley,Hybrid,3400
Aging Brain,Elsevier,OA,1820
Aging Cell,Wiley,OA,2560
Aging Clinical and Experimental Research,Springer Nature,Hybrid,3290
Aging Medicine,Wiley,OA,1835
Aging and Cancer,Wiley,OA,2810
Aging and Health Research,Elsevier,OA,1820
Agri Gene,Elsevier,Hybrid,1394
AgriEngineering,MDPI,OA,1440
Agribusiness,Wiley,Hybrid,2940
Agricultural & Environmental Letters,Wiley,OA,1390
Agricultural Economics,Wiley,Hybrid,3040
Agricultural Research,Springer Nature,Hybrid,2290
Agricultural Systems,Elsevier,Hybrid,3480
Agricultural Water Management,Elsevier,Hybrid,3250
Agricultural Water Management,Elsevier,OA,2370
Agricultural and Applied Economics Association,Wiley,OA,2250
Agricultural and Food Economics,Springer Nature,OA,1090
Agricultural and Forest Entomology,Wiley,Hybrid,3500
Agricultural and Forest Meteorology,Elsevier,Hybrid,3420
Agriculture,MDPI,OA,2057
Agriculture & Food Security,Springer Nature,OA,1790
Agriculture Communications,Elsevier,OA,1460
Agriculture and Human Values,Springer Nature,Hybrid,2790
"Agriculture, Ecosystems & Environment",Elsevier,Hybrid,3370
"Agriculture, Ecosystems and Environment",Elsevier,Hybrid,3507
Agrochemicals,MDPI,OA,1028
Agroforestry Systems,Springer Nature,Hybrid,2190
Agronomy,MDPI,OA,2263
Agronomy Journal,Wiley,Hybrid,1230
Agronomy for Sustainable Development,Springer Nature,Hybrid,2265
"Agrosystems, Geosciences & Environment",Wiley,OA,1480
Ain Shams Engineering Journal,Elsevier,OA,780
Air,MDPI,OA,1028
Air Medical Journal,Elsevier,Hybrid,2330
"Air Quality, Atmosphere & Health",Springer Nature,Hybrid,2790
Alcohol,Elsevier,Hybrid,3060
Alcoholism: Clinical & Experimental Research,Wiley,Hybrid,3290
Alexandria Engineering Journal,Elsevier,OA,1090
Algal Research,Elsevier,Hybrid,3320
Algebra and Logic,Springer Nature,Hybrid,2390
Algebra universalis,Springer Nature,Hybrid,2290
Algebras and Representation Theory,Springer Nature,Hybrid,2490
Algorithmica,Springer Nature,Hybrid,2290
Algorithms,MDPI,OA,1646
Algorithms for Molecular Biology,Springer Nature,OA,1890
Alimentary Pharmacology & Therapeutics,Wiley,Hybrid,4230
Allergies,MDPI,OA,1028
Allergo Journal International,Springer Nature,Hybrid,2590
Allergologia et Immunopathologia,Elsevier,Hybrid,2630
Allergology International,Elsevier,OA,2080
Allergy,Wiley,Hybrid,4300
"Allergy, Asthma & Clinical Immunology",Springer Nature,OA,2290
Alloys,MDPI,OA,1028
Alpine Botany,Springer Nature,Hybrid,3060
Alter,Elsevier,Hybrid,880
"Alter - European Journal of Disability research, Revue europ�enne de recherche sur le handicap",Elsevier,Hybrid,2630
Alzheimer's & Dementia,Wiley,Hybrid,2500
"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",Wiley,OA,1890
"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",Elsevier,OA,1753
"Alzheimer's & Dementia: Diagnosis, Assessment & DiseaseMonitoring",Elsevier,OA,1785
Alzheimer's & Dementia: The Journal of the Alzheimer's Association,Elsevier,Hybrid,2761
Alzheimer's & Dementia: Translational Research & Clinical Interventions,Wiley,OA,1890
Alzheimer's & Dementia: Translational Research & Clinical Interventions,Elsevier,OA,1785
Alzheimer's Research & Therapy,Springer Nature,OA,2990
Ambio,Springer Nature,Hybrid,3190
American Anthropologist,Wiley,Hybrid,2580
American Business Law Journal,Wiley,Hybrid,2220
American Ethnologist,Wiley,Hybrid,2580
American Heart Journal,Elsevier,Hybrid,3470
American Heart Journal Plus: Cardiology Research and Practice,Elsevier,OA,2420
American Heart Journal: X,Elsevier,OA,2805
American Journal of Agricultural Economics,Wiley,Hybrid,2830
American Journal of Biological Anthropology,Wiley,Hybrid,4020
American Journal of Botany,Wiley,Hybrid,1800
American Journal of Cardiovascular Drugs,Springer Nature,Hybrid,3390
American Journal of Clinical Dermatology,Springer Nature,Hybrid,3790
American Journal of Community Psychology,Wiley,Hybrid,2880
American Journal of Criminal Justice,Springer Nature,Hybrid,2390
American Journal of Cultural Sociology,Springer Nature,Hybrid,2390
American Journal of Dance Therapy,Springer Nature,Hybrid,2290
American Journal of Emergency Medicine,Elsevier,Hybrid,2960
American Journal of Hematology,Wiley,Hybrid,4120
American Journal of Human Biology,Wiley,Hybrid,3450
American Journal of Industrial Medicine,Wiley,Hybrid,3350
American Journal of Infection Control,Elsevier,Hybrid,2520
American Journal of Kidney Diseases,Elsevier,Hybrid,3370
American Journal of Medical Genetics Part A,Wiley,Hybrid,3500
American Journal of Medical Genetics Part B:Neuropsychiatric Genetics,Wiley,Hybrid,3610
American Journal of Medical Genetics Part C:Seminars in Medical Genetics,Wiley,Hybrid,2630
American Journal of Medicine Open,Elsevier,OA,2190
American Journal of Obstetrics & Gynecology,Elsevier,Hybrid,4610
American Journal of Obstetrics & Gynecology MFM,Elsevier,Hybrid,2120
American Journal of Ophthalmology,Elsevier,Hybrid,4000
American Journal of Ophthalmology Case Reports,Elsevier,OA,1060
American Journal of Orthodontics & Dentofacial Orthopedics,Elsevier,Hybrid,2630
American Journal of Orthodontics and Dentofacial Orthopedics,Elsevier,Hybrid,3710
American Journal of Otolaryngology,Elsevier,Hybrid,3180
American Journal of Otolaryngology--Head and Neck Medicine and Surgery,Elsevier,Hybrid,1972
American Journal of Pharmaceutical Education,Elsevier,Hybrid,2190
American Journal of Physical Anthropology,Wiley,Hybrid,3500
American Journal of Political Science,Wiley,Hybrid,3240
American Journal of Potato Research,Springer Nature,Hybrid,2890
American Journal of Preventive Cardiology,Elsevier,OA,1460
American Journal of Preventive Medicine,Elsevier,Hybrid,2740
American Journal of Primatology,Wiley,Hybrid,3610
American Journal of Reproductive Immunology,Wiley,Hybrid,3500
American Journal of Transplantation,Elsevier,Hybrid,3920
American Journal of Transplantation,Wiley,Hybrid,3655
Amino Acids,Springer Nature,Hybrid,2790
Ampersand,Elsevier,OA,1190
Anaerobe,Elsevier,Hybrid,2890
Anaesthesia,Wiley,Hybrid,3740
Anaesthesia & Intensive Care Medicine,Elsevier,Hybrid,2440
Anaesthesia Critical Care & Pain Medicine,Elsevier,Hybrid,1840
Anaesthesia Reports,Wiley,Hybrid,1030
Anaesthesia Reports,Wiley,OA,1250
Anais Brasileiros de Dermatologia,Elsevier,OA,1550
Anales de Pediatria,Elsevier,OA,3000
Analog Integrated Circuits and Signal Processing,Springer Nature,Hybrid,2390
Analyses of Social Issues and Public Policy,Wiley,Hybrid,2630
Analysis & Sensing,Wiley,Hybrid,3040
Analysis and Mathematical Physics,Springer Nature,Hybrid,2290
Analytic Methods in Accident Research,Elsevier,Hybrid,4160
Analytic Philosophy,Wiley,Hybrid,2170
Analytica,MDPI,OA,1028
Analytica Chimica Acta,Elsevier,Hybrid,3570
Analytica Chimica Acta: X,Elsevier,OA,1650
Analytical Biochemistry,Elsevier,Hybrid,3030
Analytical Cellular Pathology,Wiley,OA,1848
Analytical Science Advances,Wiley,OA,2420
Analytical Sciences,Springer Nature,Hybrid,2790
Analytical and Bioanalytical Chemistry,Springer Nature,Hybrid,2790
Analytics,MDPI,OA,1028
Anatomia,MDPI,OA,1028
"Anatomia, Histologia, Embryologia",Wiley,Hybrid,2990
Anatomical Science International,Springer Nature,Hybrid,2590
Anatomical Sciences Education,Wiley,Hybrid,3090
Andrologia,Wiley,Hybrid,2900
Andrologia,Wiley,OA,2310
Andrology,Wiley,Hybrid,2580
Anemia,Wiley,OA,854
Anesthesia Research,MDPI,OA,1028
Anesthesiology Clinics,Elsevier,Hybrid,2890
Anesthesiology Research and Practice,Wiley,OA,854
Anesth�sie & R�animation,Elsevier,Hybrid,1910
Angewandte Chemie,Wiley,Hybrid,4220
Angewandte Chemie International Edition,Wiley,Hybrid,4220
Angiogenesis,Springer Nature,Hybrid,3890
Animal,Elsevier,OA,1400
Animal Behaviour,Elsevier,Hybrid,2500
Animal Biotelemetry,Springer Nature,OA,1790
Animal Cognition,Springer Nature,Hybrid,2690
Animal Conservation,Wiley,Hybrid,3350
Animal Feed Science and Technology,Elsevier,Hybrid,3190
Animal Gene,Elsevier,Hybrid,1590
Animal Genetics,Wiley,Hybrid,2830
Animal Microbiome,Springer Nature,OA,1590
Animal Models and Experimental Medicine,Wiley,OA,1835
Animal Reproduction Science,Elsevier,Hybrid,3340
Animal Science Journal,Wiley,Hybrid,3350
Animals,MDPI,OA,1852
Annalen der Physik,Wiley,Hybrid,3350
Annales Henri Poincar�,Springer Nature,Hybrid,2290
Annales M�dico-psychologiques,Elsevier,Hybrid,2140
Annales Pharmaceutiques Fran�aises,Elsevier,Hybrid,2630
Annales d'Endocrinologie,Elsevier,Hybrid,2650
Annales de Chirurgie Plastique Esth�tique,Elsevier,Hybrid,2650
Annales de Dermatologie et de V�n�r�ologie,Elsevier,Hybrid,2280
Annales de Pal�ontologie,Elsevier,Hybrid,2440
Annales de Pathologie,Elsevier,Hybrid,1740
Annales de cardiologie et d'ang�iologie,Elsevier,Hybrid,1500
Annales de chirurgie plastique esth�tique,Elsevier,Hybrid,2510
"Annales de l'Institut Henri Poincare C, Analyse Non Lineaire",Elsevier,Hybrid,610
Annales francaises d'oto-rhino-laryngologie et de pathologie cervico-faciale,Elsevier,Hybrid,1940
Annales math�matiques du Qu�bec,Springer Nature,Hybrid,2290
Annales m�dico-psychologiques,Elsevier,Hybrid,1500
Annali di Matematica Pura ed Applicata (1923 -),Springer Nature,Hybrid,2390
Annals of 3D Printed Medicine,Elsevier,OA,1550
"Annals of Allergy, Asthma & Immunology",Elsevier,Hybrid,2740
Annals of Anatomy,Elsevier,Hybrid,3510
Annals of Anthropological Practice,Wiley,Hybrid,2580
Annals of Applied Biology,Wiley,Hybrid,2730
Annals of Biomedical Engineering,Springer Nature,Hybrid,3290
Annals of Clinical Microbiology and Antimicrobials,Springer Nature,OA,2490
Annals of Clinical and Translational Neurology,Wiley,OA,2810
Annals of Combinatorics,Springer Nature,Hybrid,2290
Annals of Data Science,Springer Nature,Hybrid,2290
Annals of Diagnostic Pathology,Elsevier,Hybrid,2990
Annals of Dyslexia,Springer Nature,Hybrid,2290
Annals of Emergency Medicine,Elsevier,Hybrid,3510
Annals of Epidemiology,Elsevier,Hybrid,3340
Annals of Finance,Springer Nature,Hybrid,2290
Annals of Forest Science,Springer Nature,OA,1750
Annals of Forest Science,Springer Nature,Hybrid,2480
Annals of Functional Analysis,Springer Nature,Hybrid,2390
Annals of Gastroenterological Surgery,Wiley,OA,1850
Annals of General Psychiatry,Springer Nature,OA,2290
Annals of Global Analysis and Geometry,Springer Nature,Hybrid,2190
Annals of Global Health,Elsevier,Hybrid,1071
Annals of Hematology,Springer Nature,Hybrid,3390
Annals of Hepatology,Elsevier,OA,1370
Annals of Human Genetics,Wiley,Hybrid,2520
Annals of Intensive Care,Springer Nature,OA,2790
Annals of Mathematics and Artificial Intelligence,Springer Nature,Hybrid,2390
Annals of Medicine and Surgery,Elsevier,OA,1690
Annals of Microbiology,Springer Nature,OA,1790
Annals of Microbiology,Springer Nature,Hybrid,2480
Annals of Neurology,Wiley,Hybrid,2990
Annals of Noninvasive Electrocardiology,Wiley,OA,2860
Annals of Noninvasive Electrocardiology,Wiley,Hybrid,2600
Annals of Nuclear Energy,Elsevier,Hybrid,2580
Annals of Nuclear Medicine,Springer Nature,Hybrid,3290
Annals of Occupational and Environmental Medicine,Springer Nature,OA,1745
Annals of Oncology,Elsevier,Hybrid,3700
Annals of Operations Research,Springer Nature,Hybrid,2390
Annals of PDE,Springer Nature,Hybrid,2390
Annals of Physical and Rehabilitation Medicine,Elsevier,Hybrid,3420
Annals of Physics,Elsevier,Hybrid,2430
Annals of Public and Cooperative Economics,Wiley,Hybrid,2480
Annals of Pure and Applied Logic,Elsevier,Hybrid,3090
Annals of Solid and Structural Mechanics,Springer Nature,Hybrid,2570
Annals of Surgical Oncology,Springer Nature,Hybrid,3190
Annals of Telecommunications,Springer Nature,Hybrid,2190
Annals of Thoracic Surgery Short Reports,Elsevier,OA,890
Annals of Tourism Research,Elsevier,Hybrid,2960
Annals of Tourism Research Empirical Insights,Elsevier,OA,1550
Annals of Vascular Surgery,Elsevier,Hybrid,2900
Annals of Vascular Surgery - Brief Reports and Innovations,Elsevier,OA,1370
Annals of the Child Neurology Society,Wiley,OA,2550
Annals of the New York Academy of Sciences,Wiley,Hybrid,4170
Annual Reviews in Control,Elsevier,Hybrid,2910
Anthropocene,Elsevier,Hybrid,2850
Anthropocene Coasts,Springer Nature,OA,1190
Anthropocene Science,Springer Nature,Hybrid,2290
Anthropology & Education Quarterly,Wiley,Hybrid,2580
Anthropology Today,Wiley,Hybrid,2630
Anthropology and Humanism,Wiley,Hybrid,2580
Anthropology of Consciousness,Wiley,Hybrid,2580
Anthropology of Work Review,Wiley,Hybrid,2580
Antibiotics,MDPI,OA,2263
Antibodies,MDPI,OA,1646
Antimicrobial Resistance & Infection Control,Springer Nature,OA,2490
Antioxidants,MDPI,OA,2469
Antipode,Wiley,Hybrid,2680
Antiviral Research,Elsevier,Hybrid,3400
Antonie van Leeuwenhoek,Springer Nature,Hybrid,2690
An�sthesie Nachrichten,Springer Nature,Hybrid,2490
Apidologie,Springer Nature,Hybrid,2265
Apoptosis,Springer Nature,Hybrid,3390
Appetite,Elsevier,Hybrid,3490
"Applicable Algebra in Engineering, Communication and Computing",Springer Nature,Hybrid,2290
Applications in Energy and Combustion Science,Elsevier,OA,1820
