"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner"
"Aging Clinical and Experimental Research","Aging","Springer Nature","For-profit associated with a society","OA","European Society for Clinical and Economic Aspects of Osteoporosis, Osteoarthritis and Musculoskeletal Diseases","Society","Germany / UK","https://link.springer.com/journal/40520","3321","1.144","Q2 (Aging; Geriatrics and Gerontology)","95","No"
"Aging and Disease","Aging","International Society on Aging and Disease (ISOAD)","Non-profit","OA","International Society on Aging and Disease (ISOAD)","Society","USA","https://www.aginganddisease.org/EN/2152-5250/home.shtml","2397","2.143","Q1 (Cell Biology; Geriatrics and Gerontology; Neurology; Pathology and Forensic Medicine)","88","No"
"Aging and Mental Health","Aging","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/camh20","1690","1.356","Q1 (Geriatrics and Gerontology; Gerontology; Psychiatry and Mental Health)","119","No"
"Alcohol","Neurology and Psychiatry","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/alcohol","2941","0.704","Q2 (Biochemistry; Health; Medicine; Toxicology)","90","No"
"Alcohol and Alcoholism","Neurology and Psychiatry","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/alcalc/?login=false","2989","0.75","Q2 (Medicine; Psychiatry and Mental Health; Toxicology)","111","No"
"Alzheimer Disease and Associated Disorders","Neurology and Psychiatry","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/alzheimerjournal/pages/default.aspx","3122","0.685","Q2 (Clinical Psychology; Geriatrics and Gerontology; Gerontology; Psychiatry and Mental Health)","111","No"
"Alzheimer's Reseach and Therapy","Neurology and Psychiatry","Springer Nature (BioMed Central)","For-profit","","","","Germany / UK","https://alzres.biomedcentral.com/","","","","","No"
"Alzheimer's and Dementia","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","Hybrid","Alzheimer's Association","Society","USA","https://alz-journals.onlinelibrary.wiley.com/journal/15525279","2641","3.6","Q1 (Cellular and Molecular Neuroscience; Developmental Neuroscience; Epidemiology; Geriatrics and Gerontology; Health Policy; Neurology; Psychiatry and Mental Health)","178","No"
"American Heart Journal","Physiology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/american-heart-journal","3156","2.039","Q1 (Cardiology and Cardiovascular Medicine)","211","No"
"American Journal of Alzheimer's Disease and Other Dementias","Neurology and Psychiatry","Sage Publishing","For-profit","OA","","","USA","https://journals.sagepub.com/home/ajae","1302","0.826","Q2 (Clinical Psychology; Geriatrics and Gerontology; Neuroscience; Psychiatry and Mental Health)","76","No"
"American Journal of Physiology - Cell Physiology","Physiology","American Physiological Society","Non-profit","Hybrid","American Physiological Society","Society","","https://journals.physiology.org/journal/ajpcell","2674","1.791","Q1 (Cell Biology; Physiology)","207","No"
"American Journal of Physiology - Endocrinology and Metabolism","Physiology","American Physiological Society","Non-profit","","American Physiological Society","Society","USA","https://journals.physiology.org/journal/ajpendo","","1.392","Q1 (Endocrinology, Diabetes and Metabolism; Physiology)","231","No"
"American Journal of Physiology - Gastrointestinal and Liver Physiology","Physiology","American Physiological Society","Non-profit","Hybrid","American Physiological Society","Society","","https://journals.physiology.org/journal/ajpgi","3261","1.39","Q1 (Gastroenterology; Hepatology; Physiology)","198","No"
"American Journal of Physiology - Heart and Circulatory Physiology","Physiology","American Physiological Society","Non-profit","Hybrid","American Physiological Society","Society","","https://journals.physiology.org/journal/ajpheart","2467","1.464","Q1 (Cardiology and Cardiovascular Medicine; Physiology)","231","No"
"American Journal of Physiology - Lung Cellular and Molecular Physiology","Physiology","American Physiological Society","Non-profit","Hybrid","American Physiological Society","Society","","https://journals.physiology.org/journal/ajplung","1204","1.24","Q1 (Physiology; Pulmonary and Respiratory Medicine)","186","No"
"American Journal of Physiology - Regulatory, Integrative and Comparative Physiology","Physiology","American Physiological Society","Non-profit","Hybrid","American Physiological Society","Society","USA","https://journals.physiology.org/journal/ajpregu","2722","0.945","Q2 (Physiology)","198","No"
"American Journal of Physiology - Renal Physiology","Physiology","American Physiological Society","Non-profit","","American Physiological Society","Society","","https://journals.physiology.org/journal/ajprenal?cookieSet=1","","","","5","No"
"American Journal of Psychiatry","Neurology and Psychiatry","American Psychiatric Association","Non-profit","Hybrid","American Psychiatric Association","Society","","https://psychiatryonline.org/journal/ajp","2812","5.27","Q1 (Psychiatry and Mental Health)","405","No"
"Amyloid","Neurology and Psychiatry","Taylor & Francis Group","For-profit associated with a society","Hybrid","International Society of Amyloidosis","Society","UK","https://www.tandfonline.com/journals/iamy20","3493","2.146","Q1","76","No"
"Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration","Neurology and Psychiatry","Taylor & Francis Group","For-profit associated with a society","Hybrid","World Federation of Neurology Research Group","","UK","https://www.tandfonline.com/journals/iafd20","2077","0.957","Q1 (Medicine)","89","No"
"Annales Médico-Psychologiques","Neurology and Psychiatry","Elsevier","For-profit associated with a society","","Société médico-psychologique","Society","Netherlands","https://www.em-consulte.com/revue/AMEPSY/presentation/annales-medico-psychologiques","","0.23","Q2 (Arts and Humanities)","27","No"
"Annales de Biologie Clinique","Clinical/Medicine","John Libbey Eurotext","For-profit associated with a society","OA","Société Française de Biologie Clinique (SFBC)","Society","France","https://www.jle.com/fr/revues/abc/revue.phtml","","0.151","Q4 (Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine)","32","No"
"Annals of Clinical and Translational Neurology","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","OA","American Neurological Association","Society","USA","https://onlinelibrary.wiley.com/journal/23289503","1953","1.681","Q1 (Neurology; Neuroscience)","77","No"
"Annals of General Psychiatry","Neurology and Psychiatry","Springer Nature (BioMed Central)","For-profit associated with a society","OA","International Society of Neurobiology and Psychopharmacology http://www.psychiatry.gr/","Society","UK","https://annals-general-psychiatry.biomedcentral.com/","2037","1.465","Q1 (Psychiatry and Mental Health)","62","No"
"Annals of Medicine","Clinical/Medicine","Taylor & Francis Group","For-profit","OA","","","UK","https://www.tandfonline.com/journals/iann20","2769","1.204","Q1 (Medicine)","133","No"
"Annals of Neurology","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","Hybrid","American Neurological Association and the Child Neurology Society","Society","USA","https://onlinelibrary.wiley.com/journal/15318249","2738","3.736","Q1 (Neurology)","340","No"
"Annals of Nutrition and Metabolism","Nutrition","Karger Publishers","For-profit","Hybrid","","","Switzerland","https://karger.com/ANM","2408","0.829","Q2 (Medicine; Nutrition and Dietetics)","106","No"
"Annual Review of Clinical Psychology","Neurology and Psychiatry","Annual Reviews","Non-profit","","Annual Reviews","","USA","https://www.annualreviews.org/content/journals/clinpsy","","8.021","Q1 (Clinical Psychology; Medicine; Psychiatry and Mental Health)","158","No"
"Annual Review of Nutrition","Nutrition","Annual Reviews","Non-profit","","","","","https://www.annualreviews.org/content/journals/nutr","","4.435","Q1 (Medicine; Nutrition and Dietetics)","184","No"
"Annual Review of Physiology","Physiology","Annual Reviews","Non-profit","","","","","https://www.annualreviews.org/content/journals/physiol","","7.82","Q1 (Physiology)","246","No"
"Aphasiology","Neurology and Psychiatry","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/paph20","1346","0.809","Q1 (Linguistics and Language; LPN and LVN; Otorhinolaryngology)","85","No"
"Appetite","Nutrition","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/appetite","2916","1.184","Q1 (Nutrition and Dietetics; Psychology)","190","No"
"Applied Physiology, Nutrition, and Metabolism","Physiology","Canadian Science Publishing","For-profit","Hybrid","","","Canada","https://cdnsciencepub.com/journal/apnm","1308","0.774","Q2 (Endocrinology, Diabetes and Metabolism; Medicine; Nutrition and Dietetics; Physiology; Sports Science)","114","No"
"Archives of Physiology and Biochemistry","Physiology","Taylor & Francis Group","For-profit","","","","UK","https://www.tandfonline.com/journals/iarp20","","0.687","Q2 (Medicine; Physiology)","62","No"
"Asian Journal of Psychiatry","Neurology and Psychiatry","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/asian-journal-of-psychiatry","2164","1.126","Q1 (Medicine; Psychology)","70","No"
"Australasian Journal on Ageing","Aging","John Wiley & Sons","For-profit","","","","USA","https://onlinelibrary.wiley.com/journal/17416612","","0.706","Q1 (Community and Home Care)","50","No"
"Australasian Psychiatry","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","","The Royal Australasian and New Zealand College of Psychiatrists","","USA","https://journals.sagepub.com/home/apya","","0.514","Q3 (Psychiatry and Mental Health)","49","No"
"Australian and New Zealand Journal of Psychiatry","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","Hybrid","The Royal Australasian and New Zealand College of Psychiatrists","","USA","https://journals.sagepub.com/home/anpa","367","1.713","Q1 (Medicine; Psychiatry and Mental Health)","140","No"
"Autism","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","Hybrid","National Autistic Society","Society","USA","https://journals.sagepub.com/home/aut","567","2.031","Q1 (Developmental and Educational Psychology)","132","No"
"Autism Research","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","Hybrid","International Society for Autism Research","Society","USA","https://onlinelibrary.wiley.com/journal/19393806","2651","1.616","Q1 (Genetics; Neurology; Neuroscience)","103","No"
"BJPsych Open","Neurology and Psychiatry","Cambridge University Press (CUP)","University Press associated with a society","OA","Royal College of Psychiatrists","","UK","https://www.cambridge.org/core/journals/bjpsych-open","","1.302","Q1 (Psychiatry and Mental Health)","50","No"
"BMC Neurology","Neurology and Psychiatry","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://bmcneurol.biomedcentral.com/","1973","0.774","Q2 (Medicine; Neurology)","100","No"
"BMC Psychiatry","Neurology and Psychiatry","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://bmcpsychiatry.biomedcentral.com/","2112","1.375","Q1 (Psychiatry and Mental Health)","151","No"
"BMC sports science, medicine and rehabilitation","Sport Science","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://bmcsportsscimedrehabil.biomedcentral.com/","1844","0.875","Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Rehabilitation)","39","No"
"BMJ Mental Health","Neurology and Psychiatry","BMJ Group","Non-profit","OA","","","UK","https://mentalhealth.bmj.com/","3790","3.005","Q1 (Psychiatry and Mental Health)","53","No"
"BMJ Open","Clinical/Medicine","BMJ Group","Non-profit","OA","","","UK","https://bmjopen.bmj.com/","2189","1.016","Q1 (Medicine)","176","No"
"BMJ Open Sport and Exercise Medicine","Sport Science","BMJ Group","Non-profit","OA","British Association of Sport & Exercise Medicine","Society","UK","https://bmjopensem.bmj.com/","2103","1.33","Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation)","51","No"
"BMJ Open respiratory research","Physiology","BMJ Group","Non-profit","OA","British Thoracic Society","Society","UK","https://bmjopenrespres.bmj.com/","2168","1.106","Q1 (Pulmonary and Respiratory Medicine)","45","No"
"Behavioural and Cognitive Psychotherapy","Neurology and Psychiatry","Cambridge University Press (CUP)","University Press associated with a society","Hybrid","The British Association for Behavioural and Cognitive Psychotherapies","Society","UK","https://www.cambridge.org/core/journals/behavioural-and-cognitive-psychotherapy","2516","0.926","Q1 (Medicine)","81","No"
"Biogerontology","Aging","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/10522","3589","1.152","Q1 (Gerontology)","95","No"
"Biological Psychiatry","Neurology and Psychiatry","Elsevier","For-profit associated with a society","Hybrid","Society of Biological Psychiatry","Society","Germany","https://www.biologicalpsychiatryjournal.com/","3082","4.684","Q1 (Biological Psychiatry)","367","No"
"Bipolar Disorders","Neurology and Psychiatry","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/13995618","2120","1.312","Q1 (Psychiatry and Mental Health)","145","No"
"Borderline Personality Disorder and Emotion Dysregulation","Neurology and Psychiatry","Springer Nature (BioMed Central)","For-profit","OA","National Education Alliance for Personality Disorder","","UK","https://bpded.biomedcentral.com/","1822","1.257","Q1 (Clinical Psychology; Psychiatry and Mental Health)","37","No"
"Brain","Neurology and Psychiatry","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/brain","4007","4.72","Q1 (Medicine; Neurology)","391","No"
"Brain Communications","Neurology and Psychiatry","Oxford University Press (OUP)","University Press","OA","The Guarantors of Brain","","UK","https://academic.oup.com/braincomms","3289","1.86","Q1 (Biological Psychiatry; Cellular and Molecular Neuroscience; Neurology; Psychiatry and Mental Health)","42","No"
"Brain Disorders","Neurology and Psychiatry","Elsevier","For-profit","OA","","","Netherlands","https://www.sciencedirect.com/journal/brain-disorders","1700","0.415","Q3 (Neurology)","11","No"
"Brain Hemorrhages","Neurology and Psychiatry","Elsevier","For-profit associated with a society","OA","International Hemorrhagic Stroke Association","Society","Netherlands","https://www.sciencedirect.com/journal/brain-hemorrhages","980","0.356","Q3 (Neurology; Surgery)","11","No"
"Brain Impairment","Neurology and Psychiatry","Commonwealth Scientific and Industrial Research Organisation (CSIRO) Publishing","Non-profit","","","","Australia","https://connectsci.au/ib","","0.353","Q3 (Neurology; Neuropsychology and Physiological Psychology; Speech and Hearing)","30","No"
"Brain Injury","Neurology and Psychiatry","Taylor & Francis Group","For-profit associated with a society","Hybrid","International Brain Injury Association (IBIA)","Society","UK","https://www.tandfonline.com/journals/ibij20","1744","0.572","Q3 (Developmental and Educational Psychology; Neurology; Neuroscience)","122","No"
"Brain Network Disorders","Neurology and Psychiatry","Elsevier","For-profit associated with a society","","Chinese Medical Association","Society","Netherlands/China","https://www.sciencedirect.com/journal/brain-network-disorders","","","","","No"
"Brain Pathology","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","OA","International Society of Neuropathology","Society","UK","https://onlinelibrary.wiley.com/journal/17503639","3258","1.958","Q1 (Neurology; Neuroscience; Pathology and Forensic Medicine)","154","No"
"Brain Tumor Pathology","Neurology and Psychiatry","Springer Nature","For-profit associated with a society","Hybrid","The Japan Society of Brain Tumor Pathology","Society","Germany / UK","https://link.springer.com/journal/10014","","0.611","Q2 (Medicine)","47","No"
"Brazilian Journal of Psychiatry","Neurology and Psychiatry","Brazilian Psychiatric Association","Non-profit","","Brazilian Psychiatric Association","Society","Brazil","https://www.bjp.org.br/","","","","","No"
"Breathe","Physiology","European Respiratory Society (ERS)","Non-profit","OA","","","","https://publications.ersnet.org/content/breathe","","0.751","Q2 (Pulmonary and Respiratory Medicine)","44","No"
"British Journal of Nutrition","Nutrition","Cambridge University Press (CUP)","University Press","Hybrid","","","UK","https://www.cambridge.org/core/journals/british-journal-of-nutrition","2429","0.896","Q2 (Medicine; Nutrition and Dietetics)","230","No"
"British Journal of Sports Medicine","Sport Science","BMJ Group","Non-profit","Hybrid","","","UK","https://bjsm.bmj.com/","4443","4.724","Q1 (Medicine; Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Sports Science)","241","No"
"CNS Drugs","Neurology and Psychiatry","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/40263","2200","1.884","Q1 (Neurology; Pharmacology; Psychiatry and Mental Health)","132","No"
"CNS Neuroscience and Therapeutics","Neurology and Psychiatry","John Wiley & Sons","For-profit","OA","","","China","https://onlinelibrary.wiley.com/journal/17555949","2234","1.676","Q1 (Pharmacology; Physiology; Psychiatry and Mental Health)","99","No"
"CNS Spectrums","Neurology and Psychiatry","Cambridge University Press (CUP)","University Press associated with a society","OA","Neuroscience Education Institute","","UK","https://www.neiglobal.com/CNSSpectrums/tabid/58/Default.aspx","2641","1.095","Q2 (Neurology; Psychiatry and Mental Health)","94","No"
"CPT: Pharmacometrics and Systems pharmacology","Physiology","John Wiley & Sons","For-profit associated with a society","OA","American Society for Clinical Pharmacology and Therapeutics (ASCPT)","Society","USA","https://ascpt.onlinelibrary.wiley.com/journal/21638306","2966","1.249","Q1 (Cardiology and Cardiovascular Medicine; Modeling and Simulation; Pharmacology)","60","No"
"Cahiers de Nutrition et de Diététique","Nutrition","Elsevier","For-profit associated with a society","Hybrid","Société Française de Nutrition","Society","Netherlands","https://www.sciencedirect.com/journal/cahiers-de-nutrition-et-de-dietetique","1125","0.144","Q4 (Medicine; Nutrition and Dietetics)","16","No"
"Canadian Journal of Neurological Sciences","Neurology and Psychiatry","Cambridge University Press (CUP)","University Press associated with a society","","Canadian Neurological Sciences Federation (CNSF); the Canadian Neurological Society (CNS); the Canadian Neurosurgical Society (CNSS); the Canadian Society of Clinical Neurophysiologists (CSCN); the Canadian Association of Child Neurology (CACN); the Canadian Society of Neuroradiology (CSNR); the Canadian Stroke Consortium (CSC)","Society","UK","https://www.cambridge.org/core/journals/canadian-journal-of-neurological-sciences","","0.686","Q2 (Medicine; Neurology)","81","No"
"Canadian Journal of Physiology and Pharmacology","Physiology","Canadian Science Publishing","For-profit","","","","Canada","https://cdnsciencepub.com/journal/cjpp","","0.45","Q3 (Medicine; Pharmacology; Physiology)","99","No"
"Cephalalgia Reports","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","OA","International Headache Society","Society","USA","https://journals.sagepub.com/home/repa","967","0.294","Q3 (Neurology)","9","No"
"Clinical EEG and Neuroscience","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","","EEG and Clinical Neuroscience Society","Society","USA","https://journals.sagepub.com/home/eegb","","0.627","Q2 (Medicine)","67","No"
"Clinical Gerontologist","Aging","Taylor & Francis Group","For-profit","","","","UK","https://www.tandfonline.com/journals/wcli20","","1.046","Q1 (Clinical Psychology; Gerontology; Health)","46","No"
"Clinical Journal of Sport Medicine","Sport Science","Wolters Kluwer (Lippincott)","For-profit","","","","Netherlands / USA","https://journals.lww.com/cjsportsmed/pages/currenttoc.aspx","","0.72","Q2 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation)","121","No"
"Clinical Neuropharmacology","Neurology and Psychiatry","Wolters Kluwer (Lippincott)","For-profit","","","","Netherlands / USA","https://journals.lww.com/clinicalneuropharm/pages/default.aspx","","0.326","Q3 (Neurology; Pharmacology)","87","No"
"Clinical Neurophysiology","Neurology and Psychiatry","Elsevier","For-profit associated with a society","Hybrid","International Federation of Clinical Neurophysiology; Brazilian Society of Clinical Neurophysiology; Czech Society of Clinical Neurophysiology; International Society of Intraoperative Neurophysiology","Society","Netherlands","https://www.sciencedirect.com/journal/clinical-neurophysiology","2441","1.329","Q1 (Neurology; Physiology; Sensory Systems)","230","No"
"Clinical Physiology and Functional Imaging","Physiology","John Wiley & Sons","For-profit associated with a society","Hybrid","Scandinavian Society of Clinical Physiology and Nuclear Medicine","Society","USA","https://onlinelibrary.wiley.com/journal/1475097X","3685","0.451","Q3 (Medicine; Physiology)","78","No"
"Clinical Psychological Science","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","Hybrid","The Association for Psychological Science","Society","USA","https://journals.sagepub.com/home/cpx","391","2.513","Q1 (Clinical Psychology)","79","PCI friendly"
"Cochrane Database of Systematic Reviews","Clinical/Medicine","John Wiley & Sons","For-profit associated with a society","Hybrid","Cochrane Library","","USA","https://www.cochranelibrary.com/cdsr/about-cdsr","2833","1.623","Q1 (Medicine; Pharmacology)","341","No"
"Cognitive Neuropsychiatry","Neurology and Psychiatry","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/pcnp20","1591","0.652","Q2 (Psychiatry and Mental Health)","70","No"
"Cognitive and Behavioral Neurology","Neurology and Psychiatry","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/cogbehavneurol/pages/default.aspx","2672","0.436","Q3 (Medicine; Neuropsychology and Physiological Psychology; Psychiatry and Mental Health)","74","No"
"Comprehensive Physiology","Physiology","John Wiley & Sons","For-profit associated with a society","","American Physiological Society (APS)","Society","USA","https://onlinelibrary.wiley.com/journal/20404603","","1.759","Q1 (Medicine; Physiology)","130","No"
"Comprehensive Psychiatry","Neurology and Psychiatry","Elsevier","For-profit","OA","","","USA","https://www.sciencedirect.com/journal/comprehensive-psychiatry","2065","1.718","Q1 (Clinical Psychology; Psychiatry and Mental Health)","128","No"
"Computational Psychiatry","Neurology and Psychiatry","The Society for Computational Psychiatry Ltd.","Non-profit","OA","The Society for Computational Psychiatry Ltd.","Society","UK","https://cpsyjournal.org/","2607","1.041","Q1 (Psychology)","11","No"
"Cranio","Neurology and Psychiatry","Taylor & Francis Group","For-profit associated with a society","","American Academy of Orofacial Pain (AAOP)","","UK","https://www.tandfonline.com/journals/ycra20","","0.678","Q1","54","No"
"Cryobiology","Physiology","Elsevier","For-profit associated with a society","Hybrid","Society for Cryobiology","Society","Netherlands","https://www.sciencedirect.com/journal/cryobiology","1867","0.519","Q2 (Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology)","98","No"
"Current Directions in Psychological Science","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","","Association for Psychological Science","Society","USA","https://journals.sagepub.com/home/cdpa","","3.211","Q1 (Developmental and Educational Psychology; Psychology)","223","No"
"Current Opinion in Gastroenterology","Physiology","Wolters Kluwer (Lippincott)","For-profit","","","","Netherlands / USA","https://journals.lww.com/co-gastroenterology/Pages/currenttoc.aspx","","1.068","Q1 (Gastroenterology)","98","No"
"Current Opinion in Neurology","Neurology and Psychiatry","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/co-neurology/pages/default.aspx","3377","1.606","Q1 (Neurology)","140","No"
"Current Opinion in Psychiatry","Neurology and Psychiatry","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/co-psychiatry/pages/default.aspx","3923","2.411","Q1 (Psychiatry and Mental Health)","117","No"
"Current Research in Translational Medicine","Clinical/Medicine","Elsevier","For-profit","","","","Netherlands","https://www.sciencedirect.com/journal/current-research-in-translational-medicine","","0.76","Q2 (Biochemistry, Genetics and Molecular Biology; Hematology; Infectious Diseases; Medicine; Oncology; Transplantation)","70","No"
"Dementia","Neurology and Psychiatry","Sage Publishing","For-profit","Hybrid","","","USA","https://journals.sagepub.com/home/dema","2488","1.113","Q1 (History; Medicine; Social Sciences; Sociology and Political Science)","70","No"
"Dementia and Geriatric Cognitive Disorders","Neurology and Psychiatry","Karger Publishers","For-profit","Hybrid","","","Switzerland","https://karger.com/dem","2512","0.781","Q2 (Cognitive Neuroscience; Geriatrics and Gerontology; Psychiatry and Mental Health)","127","No"
"Depression and Anxiety","Neurology and Psychiatry","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/da","1899","2.007","Q1 (Clinical Psychology; Psychiatry and Mental Health)","168","No"
"Digestion","Physiology","Karger Publishers","For-profit","","","","Switzerland","https://karger.com/dig","","1.111","Q1 (Gastroenterology)","92","No"
"Drug and Alcohol Review","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","Hybrid","Australasian Professional Society on Alcohol and other Drugs (APSAD)","Society","USA","https://onlinelibrary.wiley.com/journal/14653362","2254","1.033","Q1 (Health; Medicine)","92","No"
