Journal,Publisher,Business model,APC 2019 (€),APC 2020 (€),APC 2021 (€),APC 2022 (€),APC 2023 (€),APC (€)
Advances in Applied Energy,Elsevier,OA,,,3150,3150,3280,3280
Advances in Applied Mathematics,Elsevier,Hybrid,1339,1446,1830,2270,2440,2440
Advances in Bamboo Science,Elsevier,OA,,,,,1090,1090
Advances in Biological Regulation,Elsevier,Hybrid,2276,2235,3130,3570,3540,3540
Advances in Cancer Biology - Metastasis,Elsevier,OA,,,2450,2450,2550,2550
Advances in Chronic Kidney Disease,Elsevier,Hybrid,2232,2192,2540,2540,,2540
Advances in Climate Change Research,Elsevier,OA,1339,1315,,,,1315
Advances in Clinical Radiology,Elsevier,Hybrid,,,2590,,,2590
Advances in Colloid and Interface Science,Elsevier,Hybrid,3125,3068,3830,4250,4420,4420
Advances in Cosmetic Surgery,Elsevier,Hybrid,,,2590,,,2590
Advances in Engineering Software,Elsevier,Hybrid,2455,2411,3370,3670,3820,3820
Advances in Family Practice Nursing,Elsevier,Hybrid,,,2590,,,2590
Advances in Industrial and Manufacturing Engineering,Elsevier,OA,,,1530,1530,1600,1600
Advances in Integrative Medicine,Elsevier,Hybrid,2410,2367,2010,1680,1810,1810
Advances in Kidney Disease and Health,Elsevier,Hybrid,,,,,2920,2920
Advances in Life Course Research,Elsevier,Hybrid,1160,1139,2100,2490,3230,3230
Advances in Mathematics,Elsevier,Hybrid,1428,1402,2270,2690,3170,3170
Advances in Medical Sciences,Elsevier,Hybrid,1071,1052,1490,1490,1550,1550
Advances in Molecular Pathology,Elsevier,Hybrid,,,2590,,,2590
Advances in Nutrition,Elsevier,OA,,,,,4560,4560
Advances in Oncology,Elsevier,OA,,,2630,,,2630
Advances in Ophthalmology Practice and Research,Elsevier,OA,,,1400,1400,1460,1460
Advances in Ophthalmology and Optometry,Elsevier,Hybrid,,,2440,,,2440
Advances in Oral and Maxillofacial Surgery,Elsevier,OA,,,1440,1440,1500,1500
Advances in Pediatrics,Elsevier,Hybrid,2678,2630,3030,,,3030
Advances in Radiation Oncology,Elsevier,OA,1785,1753,1740,1740,1820,1820
Advances in Redox Research,Elsevier,OA,,,1310,1310,1370,1370
Advances in Sample Preparation,Elsevier,OA,,,,1090,1140,1140
Advances in Small Animal Care,Elsevier,OA,,,2630,,,2630
Advances in Small Animal Medicine and Surgery,Elsevier,Hybrid,2678,2630,,,,2630
Advances in Space Research,Elsevier,Hybrid,2321,2279,2280,2280,2370,2370
Advances in Surgery,Elsevier,Hybrid,2678,2630,2540,,,2540
Advances in Water Resources,Elsevier,Hybrid,3482,3419,3070,3170,3400,3400
Aeolian Research,Elsevier,Hybrid,2232,1630,2280,2430,2820,2820
Aerospace Science and Technology,Elsevier,Hybrid,2455,2411,2890,3270,3860,3860
African Journal of Emergency Medicine,Elsevier,OA,,,1040,1040,1230,1230
Ageing Research Reviews,Elsevier,Hybrid,2946,2893,3840,4220,4400,4400
Aggression and Violent Behavior,Elsevier,Hybrid,1607,2367,2730,2810,3300,3300
Aging Brain,Elsevier,OA,,,1750,1750,1820,1820
Aging and Health Research,Elsevier,OA,,,1750,1750,1820,1820
Agri Gene,Elsevier,Hybrid,1339,1394,,,,1394
Agricultural Systems,Elsevier,Hybrid,3482,3419,3250,3340,3480,3480
Agricultural Water Management,Elsevier,Hybrid,2544,2498,3140,3250,,3250
Agricultural Water Management,Elsevier,OA,,,,,2370,2370
Agricultural and Forest Meteorology,Elsevier,Hybrid,3705,3638,3280,3280,3420,3420
Agriculture Communications,Elsevier,OA,,,,,1460,1460
"Agriculture, Ecosystems & Environment",Elsevier,Hybrid,,,3130,3230,3370,3370
"Agriculture, Ecosystems and Environment",Elsevier,Hybrid,3571,3507,,,,3507
Ain Shams Engineering Journal,Elsevier,OA,580,569,750,750,780,780
Air Medical Journal,Elsevier,Hybrid,2678,2630,2060,2060,2330,2330
Alcohol,Elsevier,Hybrid,2232,2542,2440,2520,3060,3060
Alexandria Engineering Journal,Elsevier,OA,,,750,870,1090,1090
Algal Research,Elsevier,Hybrid,2455,2411,3080,3190,3320,3320
Allergologia et Immunopathologia,Elsevier,Hybrid,2678,2630,,,,2630
Allergology International,Elsevier,OA,,,,,2080,2080
Alter,Elsevier,Hybrid,,,880,,,880
"Alter - European Journal of Disability research, Revue europ�enne de recherche sur le handicap",Elsevier,Hybrid,2678,2630,,,,2630
"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",Elsevier,OA,,1753,,,,1753
"Alzheimer's & Dementia: Diagnosis, Assessment & DiseaseMonitoring",Elsevier,OA,1785,,,,,1785
Alzheimer's & Dementia: The Journal of the Alzheimer's Association,Elsevier,Hybrid,2812,2761,,,,2761
Alzheimer's & Dementia: Translational Research & Clinical Interventions,Elsevier,OA,1785,,,,,1785
American Heart Journal,Elsevier,Hybrid,3035,,2850,2930,3470,3470
American Heart Journal Plus: Cardiology Research and Practice,Elsevier,OA,,,2320,2320,2420,2420
American Heart Journal: X,Elsevier,OA,2857,2805,,,,2805
American Journal of Emergency Medicine,Elsevier,Hybrid,2276,1674,2340,2410,2960,2960
American Journal of Infection Control,Elsevier,Hybrid,,,2420,2420,2520,2520
American Journal of Kidney Diseases,Elsevier,Hybrid,2857,2805,2800,2800,3370,3370
American Journal of Medicine Open,Elsevier,OA,,,2100,2100,2190,2190
American Journal of Obstetrics & Gynecology,Elsevier,Hybrid,3482,3419,3710,4060,4610,4610
American Journal of Obstetrics & Gynecology MFM,Elsevier,Hybrid,,,1550,1550,2120,2120
American Journal of Ophthalmology,Elsevier,Hybrid,3214,3156,3150,3730,4000,4000
American Journal of Ophthalmology Case Reports,Elsevier,OA,669,789,790,900,1060,1060
American Journal of Orthodontics & Dentofacial Orthopedics,Elsevier,Hybrid,2678,2630,,,,2630
American Journal of Orthodontics and Dentofacial Orthopedics,Elsevier,Hybrid,,,2890,3320,3710,3710
American Journal of Otolaryngology,Elsevier,Hybrid,,,2600,2600,3180,3180
American Journal of Otolaryngology--Head and Neck Medicine and Surgery,Elsevier,Hybrid,2232,1972,,,,1972
American Journal of Pharmaceutical Education,Elsevier,Hybrid,,,,,2190,2190
American Journal of Preventive Cardiology,Elsevier,OA,,,1400,1400,1460,1460
American Journal of Preventive Medicine,Elsevier,Hybrid,2321,2279,2280,2360,2740,2740
American Journal of Transplantation,Elsevier,Hybrid,,,,,3920,3920
Ampersand,Elsevier,OA,892,876,880,970,1190,1190
Anaerobe,Elsevier,Hybrid,1651,1622,2620,2700,2890,2890
Anaesthesia & Intensive Care Medicine,Elsevier,Hybrid,2678,2630,2440,,,2440
Anaesthesia Critical Care & Pain Medicine,Elsevier,Hybrid,2321,2600,1670,1840,1840,1840
Anais Brasileiros de Dermatologia,Elsevier,OA,,1490,1490,1490,1550,1550
Anales de Pediatria,Elsevier,OA,2678,3000,,,,3000
Analytic Methods in Accident Research,Elsevier,Hybrid,1607,1578,2980,3530,4160,4160
Analytica Chimica Acta,Elsevier,Hybrid,,,3060,3330,3570,3570
Analytica Chimica Acta: X,Elsevier,OA,1651,1622,1650,,,1650
Analytical Biochemistry,Elsevier,Hybrid,3080,3025,2520,2590,3030,3030
Anesthesiology Clinics,Elsevier,Hybrid,2678,2630,2890,,,2890
Anesth�sie & R�animation,Elsevier,Hybrid,1785,2000,1500,1500,1910,1910
Animal,Elsevier,OA,,,1400,,,1400
Animal Behaviour,Elsevier,Hybrid,2321,2279,2280,2280,2500,2500
Animal Feed Science and Technology,Elsevier,Hybrid,2455,2411,3060,3060,3190,3190
Animal Gene,Elsevier,Hybrid,,,1910,1910,1590,1590
Animal Reproduction Science,Elsevier,Hybrid,2232,2542,2540,2870,3340,3340
Annales M�dico-psychologiques,Elsevier,Hybrid,,,1660,1800,2140,2140
Annales Pharmaceutiques Fran�aises,Elsevier,Hybrid,2678,2630,,,,2630
Annales d'Endocrinologie,Elsevier,Hybrid,1339,2330,2430,2430,2650,2650
Annales de Chirurgie Plastique Esth�tique,Elsevier,Hybrid,,,2650,2650,2650,2650
Annales de Dermatologie et de V�n�r�ologie,Elsevier,Hybrid,1339,1500,2000,2070,2280,2280
Annales de Pal�ontologie,Elsevier,Hybrid,2634,2586,2440,,,2440
Annales de Pathologie,Elsevier,Hybrid,1785,2000,1680,1740,1740,1740
Annales de cardiologie et d'ang�iologie,Elsevier,Hybrid,1339,1500,,,,1500
Annales de chirurgie plastique esth�tique,Elsevier,Hybrid,1785,2510,,,,2510
"Annales de l'Institut Henri Poincare C, Analyse Non Lineaire",Elsevier,Hybrid,625,613,610,,,610
Annales francaises d'oto-rhino-laryngologie et de pathologie cervico-faciale,Elsevier,Hybrid,1785,2000,1740,1800,1940,1940
Annales m�dico-psychologiques,Elsevier,Hybrid,1339,1500,,,,1500
Annals of 3D Printed Medicine,Elsevier,OA,,,1490,1490,1550,1550
"Annals of Allergy, Asthma & Immunology",Elsevier,Hybrid,2678,2630,2630,2630,2740,2740
Annals of Anatomy,Elsevier,Hybrid,1696,1665,2890,2980,3510,3510
Annals of Diagnostic Pathology,Elsevier,Hybrid,2321,2279,2530,2610,2990,2990
Annals of Emergency Medicine,Elsevier,Hybrid,2678,2630,2630,2630,3510,3510
Annals of Epidemiology,Elsevier,Hybrid,2678,2630,2630,2710,3340,3340
Annals of Global Health,Elsevier,Hybrid,1071,,,,,1071
Annals of Hepatology,Elsevier,OA,1339,263,1310,1310,1370,1370
Annals of Medicine and Surgery,Elsevier,OA,848,832,1230,1620,1690,1690
Annals of Nuclear Energy,Elsevier,Hybrid,1875,1841,2150,2210,2580,2580
Annals of Oncology,Elsevier,Hybrid,2008,2250,,3700,3700,3700
Annals of Physical and Rehabilitation Medicine,Elsevier,Hybrid,2321,2600,2610,2890,3420,3420
Annals of Physics,Elsevier,Hybrid,1964,1929,2270,2270,2430,2430
Annals of Pure and Applied Logic,Elsevier,Hybrid,1339,1622,2360,2630,3090,3090
Annals of Thoracic Surgery Short Reports,Elsevier,OA,,,,,890,890
Annals of Tourism Research,Elsevier,Hybrid,1607,2288,2520,2600,2960,2960
Annals of Tourism Research Empirical Insights,Elsevier,OA,,,1490,1490,1550,1550
Annals of Vascular Surgery,Elsevier,Hybrid,1607,1578,2290,2360,2900,2900
Annals of Vascular Surgery - Brief Reports and Innovations,Elsevier,OA,,,,1310,1370,1370
Annual Reviews in Control,Elsevier,Hybrid,2767,2323,2190,2260,2910,2910
Anthropocene,Elsevier,Hybrid,2232,2446,2440,2740,2850,2850
Antiviral Research,Elsevier,Hybrid,2634,2586,2580,2880,3400,3400
Appetite,Elsevier,Hybrid,2678,2963,2960,3050,3490,3490
Applications in Energy and Combustion Science,Elsevier,OA,,876,1750,1750,1820,1820
Applications in Engineering Science,Elsevier,OA,,1096,2190,2190,2280,2280
Applied Acoustics,Elsevier,Hybrid,2232,2192,2890,3210,3350,3350
Applied Animal Behaviour Science,Elsevier,Hybrid,2901,2849,2630,2710,2820,2820
Applied Animal Science,Elsevier,Hybrid,,2192,2160,2160,2280,2280
Applied Catalysis A: General,Elsevier,Hybrid,2366,2323,2610,2690,3160,3160
Applied Catalysis B: Environmental,Elsevier,Hybrid,2812,2761,3940,4510,4830,4830
Applied Clay Science,Elsevier,Hybrid,2232,2192,2580,2890,3240,3240
Applied Computing and Geosciences,Elsevier,OA,669,657,670,1310,1370,1370
Applied Corpus Linguistics,Elsevier,OA,,,1230,,,1230
Applied Corpus Linguistics,Elsevier,Hybrid,,,,1230,1280,1280
Applied Energy,Elsevier,Hybrid,3259,3200,3520,3520,3780,3780
Applied Ergonomics,Elsevier,Hybrid,2946,2893,2890,2980,3100,3100
Applied Food Research,Elsevier,OA,,,1580,1580,1640,1640
Applied Geochemistry,Elsevier,Hybrid,2455,2411,2410,2850,3060,3060
Applied Geography,Elsevier,Hybrid,2366,2323,2320,2470,2650,2650
Applied Materials Today,Elsevier,Hybrid,2098,2060,2440,2710,3190,3190
Applied Mathematical Modelling,Elsevier,Hybrid,1428,1402,2270,2690,3170,3170
Applied Mathematics Letters,Elsevier,Hybrid,1339,,2360,2620,3230,3230
Applied Mathematics Letters: X,Elsevier,OA,1339,1315,,,,1315
Applied Mathematics and Computation,Elsevier,Hybrid,1562,1534,2580,2870,3240,3240
Applied Numerical Mathematics,Elsevier,Hybrid,1160,1139,1140,1140,1190,1190
Applied Nursing Research,Elsevier,Hybrid,1785,2577,2850,2940,3630,3630
Applied Ocean Research,Elsevier,Hybrid,2232,2192,2780,3030,3580,3580
Applied Radiation and Isotopes,Elsevier,Hybrid,2232,2192,2500,2750,2860,2860
Applied Soft Computing,Elsevier,Hybrid,2142,1893,2410,2850,3060,3060
Applied Soil Ecology,Elsevier,Hybrid,2321,2279,2730,3050,3490,3490
Applied Surface Science,Elsevier,Hybrid,2544,2498,2860,3120,3350,3350
Applied Surface Science Advances,Elsevier,OA,,657,1310,1310,1370,1370
Applied Thermal Engineering,Elsevier,Hybrid,2678,2709,2930,3020,3460,3460
Applied and Computational Harmonic Analysis,Elsevier,Hybrid,1339,1622,2410,2480,2580,2580
Apunts Sports Medicine,Elsevier,OA,,,,2000,2000,2000
Apunts. Medicina de l'Esport,Elsevier,Hybrid,2678,2630,,,,2630
Aquacultural Engineering,Elsevier,Hybrid,3348,3288,3280,3550,3330,3330
Aquaculture,Elsevier,Hybrid,3571,3507,3500,3500,3650,3650
Aquaculture Reports,Elsevier,OA,1071,1052,1390,1530,1640,1640
Aquatic Botany,Elsevier,Hybrid,2946,2428,2430,2500,2680,2680
Aquatic Toxicology,Elsevier,Hybrid,3303,2946,2940,2940,3160,3160
Arab Journal of Gastroenterology,Elsevier,Hybrid,2678,2630,2360,,2460,2460
Arabian Journal of Chemistry,Elsevier,OA,,,1080,1180,1230,1230
Archaeological Research in Asia,Elsevier,Hybrid,982,1446,1950,2010,2440,2440
Archives de P�diatrie,Elsevier,Hybrid,,,1500,1830,2380,2380
Archives de p�diatrie,Elsevier,Hybrid,2678,3000,,,,3000
Archives des Maladies Professionnelles et de L'Environnement,Elsevier,Hybrid,,,1440,1490,,1490
Archives des Maladies Professionnelles et de l'Environnement,Elsevier,Hybrid,1785,2000,,,1690,1690
Archives des Maladies du Coeur et des Vaisseaux - Pratique,Elsevier,Hybrid,1785,2000,1500,1570,1610,1610
Archives of Biochemistry and Biophysics,Elsevier,Hybrid,2901,2849,2700,2700,2820,2820
Archives of Cardiovascular Diseases,Elsevier,Hybrid,2321,2500,2490,2570,2820,2820
Archives of Civil and Mechanical Engineering,Elsevier,Hybrid,2678,3000,,,,3000
Archives of Gerontology and Geriatrics,Elsevier,Hybrid,2321,2279,2730,2730,2930,2930
Archives of Medical Research,Elsevier,Hybrid,2455,2411,2410,2410,2510,2510
Archives of Oral Biology,Elsevier,Hybrid,2410,2367,2630,3070,3580,3580
Archives of Physical Medicine and Rehabilitation,Elsevier,Hybrid,3125,3068,3060,3500,3650,3650
Archives of Psychiatric Nursing,Elsevier,Hybrid,2232,2192,2670,2750,3340,3340
Archives of Rehabilitation Research and Clinical Translation,Elsevier,OA,1785,1753,1780,2190,2280,2280
Archivos de Bronconeumologia,Elsevier,Hybrid,2678,3000,3000,3000,3000,3000
Archivos de Bronconeumologia (English Edition),Elsevier,Hybrid,2678,2630,,,,2630
Archivos de la Sociedad Espanola de Oftalmologia,Elsevier,Hybrid,2678,2630,2150,2150,2140,2140
Archivos de la Sociedad Espanola de Oftalmologia (English Edition),Elsevier,Hybrid,2678,2630,,2150,,2150
Array,Elsevier,OA,1205,1183,1180,1180,1300,1300
Arthroplasty Today,Elsevier,OA,1781,1749,2190,2190,2280,2280
Arthropod Structure & Development,Elsevier,Hybrid,2232,2192,2740,2820,3030,3030
Arthroscopy,Elsevier,Hybrid,,,2190,2630,2740,2740
Arthroscopy Techniques,Elsevier,OA,803,789,850,850,890,890
"Arthroscopy, Sports Medicine, and Rehabilitation",Elsevier,OA,,1753,1740,1740,1820,1820
Arthroscopy: The Journal of Arthroscopic and Related Surgery,Elsevier,Hybrid,2232,2192,,,,2192
Artificial Intelligence,Elsevier,Hybrid,2455,2411,2590,2840,3350,3350
Artificial Intelligence Chemistry,Elsevier,OA,,,,,1280,1280
Artificial Intelligence In Medicine,Elsevier,Hybrid,2232,2323,,,,2323
Artificial Intelligence in Medicine,Elsevier,Hybrid,,,2320,2750,2950,2950
Artificial Intelligence in the Life Sciences,Elsevier,OA,,,1270,1270,1320,1320
Asia Pacific Management Review,Elsevier,OA,,,1310,1310,1460,1460
Asia and the Global Economy,Elsevier,OA,,,1310,1310,1370,1370
Asia-Pacific Journal of Oncology Nursing,Elsevier,OA,,,,1730,1810,1810
Asian Journal of Psychiatry,Elsevier,Hybrid,2232,1990,1990,2260,2910,2910
Asian Journal of Social Science,Elsevier,Hybrid,,,1640,1640,1875,1875
Asian Nursing Research,Elsevier,OA,892,876,,880,910,910
Asian Transport Studies,Elsevier,OA,,,960,960,1000,1000
Aspects of Molecular Medicine,Elsevier,OA,,,,,2420,2420
Assessing Writing,Elsevier,Hybrid,1607,2139,2580,2830,2950,2950
Astronomy and Computing,Elsevier,Hybrid,1964,1402,1770,2010,2560,2560
Astroparticle Physics,Elsevier,Hybrid,1964,2148,2150,2520,2170,2170
Atencion Primaria,Elsevier,OA,625,810,810,940,1180,1180
Atenci�n Primaria Pr�ctica,Elsevier,OA,1339,1500,1500,1500,1420,1420
Atherosclerosis,Elsevier,Hybrid,2857,,2760,3080,3210,3210
Atherosclerosis (Supplements) (Component),Elsevier,Hybrid,2678,2630,,,,2630
Atherosclerosis Plus,Elsevier,OA,,,,1790,1870,1870
Atherosclerosis: X,Elsevier,OA,1875,1841,,,,1841
Atlas of The Oral and Maxillofacial Surgery Clinics of North America,Elsevier,Hybrid,,,2630,,,2630
Atlas of the Oral & Maxillofacial Surgery Clinics of North A,Elsevier,Hybrid,2678,2630,,,,2630
Atmospheric Environment,Elsevier,Hybrid,,,1740,2160,2480,2480
Atmospheric Environment: X,Elsevier,OA,1250,1227,1230,1230,1340,1340
Atmospheric Pollution Research,Elsevier,Hybrid,1339,1315,2010,2250,2340,2340
Atmospheric Research,Elsevier,Hybrid,2678,2437,2330,2390,2820,2820
Atomic Data and Nuclear Data Tables,Elsevier,Hybrid,1964,2823,2820,2630,2820,2820
Auris Nasus Larynx,Elsevier,Hybrid,2678,2630,2850,3080,3210,3210
Australasian Emergency Care,Elsevier,Hybrid,1517,1490,1490,1890,1970,1970
Australasian Marketing Journal (AMJ),Elsevier,Hybrid,982,964,,,,964
Australian Critical Care,Elsevier,Hybrid,1517,1490,1490,2540,2650,2650
Australian and New Zealand Journal of Public Health,Elsevier,OA,,,,,2370,2370
Autoimmunity Reviews,Elsevier,Hybrid,3571,3507,3730,4060,4790,4790
Automatica,Elsevier,Hybrid,2946,2639,2640,2710,3190,3190
Automation in Construction,Elsevier,Hybrid,2410,2367,3130,3540,4060,4060
Autonomic Neuroscience: Basic and Clinical,Elsevier,Hybrid,2232,2542,2950,2950,2890,2890
BBA - Bioenergetics,Elsevier,Hybrid,3593,3375,,,,3375
BBA - Biomembranes,Elsevier,Hybrid,3214,3156,,,,3156
BBA - Gene Regulatory Mechanisms,Elsevier,Hybrid,3794,3726,,,,3726
BBA - General Subjects,Elsevier,Hybrid,3593,3529,,,,3529
BBA - Molecular Basis of Disease,Elsevier,Hybrid,3259,3200,,,,3200
BBA - Molecular Cell Research,Elsevier,Hybrid,3593,3288,,,,3288
BBA - Molecular and Cell Biology of Lipids,Elsevier,Hybrid,3794,3726,,,,3726
BBA - Proteins and Proteomics,Elsevier,Hybrid,3169,3112,,,,3112
BBA - Reviews on Cancer,Elsevier,Hybrid,3482,3419,,,,3419
BBA Advances,Elsevier,OA,,,2010,2010,2100,2100
BJA Education,Elsevier,Hybrid,2857,2805,2800,2800,2920,2920
BJA Open,Elsevier,OA,,,,1670,1710,1710
BONE,Elsevier,Hybrid,,,2890,2890,3010,3010
Basic and Applied Ecology,Elsevier,Hybrid,2678,1753,2100,,,2100
Basic and Applied Ecology,Elsevier,OA,,,,1580,1640,1640
Behavior Therapy,Elsevier,Hybrid,2678,2630,2630,2630,2920,2920
Behaviour Research and Therapy,Elsevier,Hybrid,3169,3112,3110,3200,3170,3170
Behavioural Brain Research,Elsevier,Hybrid,2544,2498,2650,2730,2930,2930
Behavioural Processes,Elsevier,Hybrid,2053,2016,2420,2780,2890,2890
Best Practice & Research: Clinical Anaesthesiology,Elsevier,Hybrid,2232,2192,2190,2190,2280,2280
Best Practice & Research: Clinical Endocrinology & Metabolism,Elsevier,Hybrid,2232,2192,2920,3010,3680,3680
Best Practice & Research: Clinical Gastroenterology,Elsevier,Hybrid,2232,2192,2880,2970,3090,3090
Best Practice & Research: Clinical Haematology,Elsevier,Hybrid,1785,1753,3070,3170,3300,3300
Best Practice & Research: Clinical Obstetrics & Gynaecology,Elsevier,Hybrid,2232,2192,3430,3540,3790,3790
Best Practice & Research: Clinical Rheumatology,Elsevier,Hybrid,2232,2192,3060,3160,3390,3390
Big Data Research,Elsevier,Hybrid,2142,2455,2360,2190,2280,2280
BioSystems,Elsevier,Hybrid,1875,1841,1840,2000,2460,2460
Bioactive Carbohydrates and Dietary Fibre,Elsevier,Hybrid,2678,2858,2630,2630,2740,2740
Bioactive Materials,Elsevier,OA,562,552,,,,552
Biocatalysis and Agricultural Biotechnology,Elsevier,Hybrid,1964,2349,2350,2820,3290,3290
Biochemical Engineering Journal,Elsevier,Hybrid,3080,3025,3020,3110,3340,3340
Biochemical Pharmacology,Elsevier,Hybrid,3794,3726,3240,3240,3370,3370
Biochemical Systematics and Ecology,Elsevier,Hybrid,2321,2279,2440,2440,2860,2860
Biochemical and Biophysical Research Communications,Elsevier,Hybrid,2187,2148,2360,2430,2530,2530
Biochemistry and Biophysics Reports,Elsevier,OA,1517,1490,1610,1740,2020,2020
Biochimica et Biophysica Acta - Bioenergetics,Elsevier,Hybrid,,,3370,3480,3850,3850
Biochimica et Biophysica Acta - Biomembranes,Elsevier,Hybrid,,,3410,3480,3630,3630
Biochimica et Biophysica Acta - Gene Regulatory Mechanisms,Elsevier,Hybrid,,,3370,3370,3510,3510
Biochimica et Biophysica Acta - General Subjects,Elsevier,Hybrid,,,3280,3280,3150,3150
Biochimica et Biophysica Acta - Molecular Basis of Disease,Elsevier,Hybrid,,,2880,2970,3340,3340
Biochimica et Biophysica Acta - Molecular Cell Research,Elsevier,Hybrid,,,3280,3280,3080,3080
Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids,Elsevier,Hybrid,,,3350,3350,3150,3150
Biochimica et Biophysica Acta - Proteins and Proteomics,Elsevier,Hybrid,,,3270,3270,3400,3400
Biochimica et Biophysica Acta - Reviews on Cancer,Elsevier,Hybrid,,,3740,4150,4320,4320
Biochimie,Elsevier,Hybrid,,,2520,2520,2630,2630
Biochimie Open,Elsevier,OA,1071,,,,,1071
Biocybernetics and Biomedical Engineering,Elsevier,Hybrid,1339,1315,2000,2000,2510,2510
Bioelectrochemistry,Elsevier,Hybrid,2321,2279,2860,2950,3070,3070
Biofilm,Elsevier,OA,1696,1665,1960,1960,2200,2200
Biological Conservation,Elsevier,Hybrid,3035,2761,2760,2760,3260,3260
Biological Control,Elsevier,Hybrid,2678,2875,3330,3420,3990,3990
Biological Psychiatry,Elsevier,Hybrid,2946,2893,3490,3960,4550,4550
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,Elsevier,Hybrid,2678,2630,2780,2780,3170,3170
Biological Psychiatry: Global Open Science,Elsevier,OA,,,2800,2800,3190,3190
Biological Psychology,Elsevier,Hybrid,2723,2674,2500,2570,2960,2960
Biologically Inspired Cognitive Architectures,Elsevier,Hybrid,2142,,,,,2142
Biologicals,Elsevier,Hybrid,2678,2630,2630,2630,2740,2740
Biology of Blood and Marrow Transplantation,Elsevier,Hybrid,3259,3200,,,,3200
Biomarkers in Neuropsychiatry,Elsevier,OA,,1534,,1550,1680,1680
Biomarkers in Neuropsychiatry,Elsevier,"",,,1550,,,1550
Biomass & Bioenergy,Elsevier,Hybrid,3303,3244,3080,3180,3410,3410
Biomaterials,Elsevier,Hybrid,3482,3419,3840,4150,4320,4320
Biomaterials Advances,Elsevier,Hybrid,,,,3420,3570,3570
