"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"Current Fungal Infection Reports","Immunopathology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/12281","2564","0.735","Q2 (Infectious Diseases)","39","No","1936-377X","1936-3761"
"Current HIV/AIDS Reports","Virology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/11904","3315","1.569","Q1 (Infectious Diseases; Virology)","83","No","1548-3576","1548-3568"
"Current Opinion in Allergy and Clinical Immunology","Allergy and Hypersensitivity","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/co-allergy/pages/default.aspx","2842","0.798","Q2 (Immunology and Allergy)","104","No","1473-6322","1528-4050"
"Current Opinion in HIV AIDS","Virology","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/co-hivandaids/pages/default.aspx","3663","1.331","Q1 (Hematology; Infectious Diseases; Oncology; Virology)","87","No","1746-6318","1746-630X"
"Current Opinion in Immunology","Generalist/Classical Immunology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/current-opinion-in-immunology","3523","3.01","Q1 (Immunology; Immunology and Allergy)","218","No","1879-0372","0952-7915"
"Current Opinion in Infectious Diseases","Immunopathology","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/co-infectiousdiseases/pages/default.aspx","3632","1.309","Q1 (Infectious Diseases; Microbiology)","127","No","1473-6527","0951-7375"
"Current Opinion in Microbiology","Immunopathology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/current-opinion-in-microbiology","2176","2.802","Q1 (Infectious Diseases; Microbiology)","217","No","1879-0364","1369-5274"
"Current Opinion in Organ Transplantation","Transplant Immunology","Wolters Kluwer (Lippincott)","For-profit","","","","Netherlands / USA","https://journals.lww.com/co-transplantation/pages/default.aspx","","0.857","Q2 (Immunology and Allergy; Transplantation)","66","No","1531-7013","1087-2418"
"Current Opinion in Virology","Virology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/current-opinion-in-virology","2819","2.217","Q1 (Virology)","109","No","1879-6265","1879-6257"
"Current Topics in Microbiology and Immunology","Immunogenetics, Molecular and Cellular Immunology","Springer Nature","For-profit","","","","Germany / UK","https://link.springer.com/series/82","","","","","No","2196-9965","0070-217X"
"Cytokine","Immunogenetics, Molecular and Cellular Immunology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.journals.elsevier.com/cytokine","3081","1.083","Q1 (Hematology)","147","No","1096-0023","1043-4666"
"Cytokine & Growth Factor Reviews","Immunogenetics, Molecular and Cellular Immunology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.journals.elsevier.com/cytokine-and-growth-factor-reviews","2600","3.297","Q1 (Biochemistry, Genetics and Molecular Biology; Endocrinology, Diabetes and Metabolism; Immunology; Immunology and Allergy)","193","No","1879-0305","1359-6101"
"Developmental & Comparative Immunology","Generalist/Classical Immunology","Elsevier","For-profit associated with a society","Hybrid","International Society of Developmental and Comparative Immunology","Society/Association","Netherlands","https://www.sciencedirect.com/journal/developmental-and-comparative-immunology","3859","0.545","Q2 (Aquatic Science)","141","No","1879-0089","0145-305X"
"Diagnostic Microbiology and Infectious Disease","Immunopathology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/diagnostic-microbiology-and-infectious-disease","2833","0.553","Q2 (Medicine)","111","No","1879-0070","0732-8893"
"Disease Models and Mechanisms","Immunopathology","The Company of Biologists","Non-profit","OA","","","UK","https://journals.biologists.com/dmm","3555","1.306","Q1 (Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience)","120","No","1754-8411","1754-8403"
"Drug Resistance Updates","Immunopathology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.journals.elsevier.com/drug-resistance-updates","3755","5.279","Q1 (Cancer Research; Infectious Diseases; Oncology; Pharmacology)","148","No","1532-2084","1368-7646"
"Emerging Infectious Diseases","Immunopathology","Centers for Disease Control and Prevention","Non-profit","OA diamond","","","USA","https://wwwnc.cdc.gov/eid/","0","2.034","Q1 (Epidemiology; Infectious Diseases; Microbiology)","287","No","1080-6059","1080-6040"
"Emerging Microbes and Infections","Immunopathology","Taylor & Francis Group","For-profit","OA","Shanghai Shangyixun Cultural Communication Co","","UK","https://www.tandfonline.com/journals/temi20","2853","2.269","Q1 (Drug Discovery; Epidemiology; Immunology; Infectious Diseases; Medicine; Microbiology; Parasitology; Virology)","115","No","2222-1751",""
"Epidemics","Epidemiology","Elsevier","For-profit","OA","","","Netherlands","https://www.sciencedirect.com/journal/epidemics","1903","1.006","Q1 (Infectious Diseases; Parasitology; Public Health, Environmental and Occupational Health)","60","No","1878-0067","1755-4365"
"Epidemiologic Reviews","Epidemiology","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/epirev?login=false","2412","1.866","Q1 (Epidemiology; Medicine)","126","No","1478-6729","0193-936X"
"Epidemiology","Epidemiology","Wolters Kluwer","For-profit","Hybrid","","","Netherlands","https://journals.lww.com/epidem/Pages/default.aspx","4303","1.406","Q1 (Epidemiology)","209","No","1531-5487","1044-3983"
"Epidemiology and Infection","Epidemiology","Cambridge University Press (CUP)","University Press","OA","","","UK","https://www.cambridge.org/core/journals/epidemiology-and-infection","2715","0.821","Q2 (Epidemiology; Infectious Diseases)","133","No","1469-4409","0950-2688"
"Epidemiology and Psychiatric Sciences","Epidemiology","Cambridge University Press (CUP)","University Press","OA","","","UK","https://www.cambridge.org/core/journals/epidemiology-and-psychiatric-sciences","2465","2.051","Q1 (Epidemiology; Psychiatry and Mental Health; Public Health, Environmental and Occupational Health)","89","No","2045-7979","2045-7960"
"European Cytokine Network","Immunogenetics, Molecular and Cellular Immunology","John Libbey Eurotext","For-profit","","","","France","https://www.jle.com/en/revues/ecn/revue.phtml","","0.491","Q3 (Clinical Biochemistry; Immunology; Immunology and Allergy)","73","No","1952-4005","1148-5493"
"European Journal of Clinical Microbiology and Infectious Diseases","Immunopathology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/10096","4446","0.998","Q1 (Infectious Diseases; Medicine)","133","No","1435-4373","0934-9723"
"European Journal of Epidemiology","Epidemiology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/10654","4234","2.522","Q1 (Epidemiology)","153","No","1573-7284","0393-2990"
"European Journal of Immunology","Generalist/Classical Immunology","John Wiley & Sons","For-profit associated with a society","Hybrid","European Federation of Immunological Societies","Society/Association","USA","https://onlinelibrary.wiley.com/journal/15214141","3920","1.666","Q1 (Immunology; Immunology and Allergy)","235","No","1521-4141","0014-2980"
"European Journal of Inflammation","Inflammation","Sage Publishing","For-profit","OA","","","USA","https://journals.sagepub.com/home/ejia","1444","0.3","Q4 (Immunology; Immunology and Allergy)","27","No","2058-7392","1721-727X"
"Eurosurveillance","Epidemiology","European Union","Non-profit","OA diamond","European Union","University/Government","EU","https://www.eurosurveillance.org/","0","2.81","Q1 (Epidemiology; Infectious Diseases; Medicine; Microbiology; Public Health, Environmental and Occupational Health; Virology)","143","No","1560-7917","1025-496X"
"Exercise Immunology Review","Generalist/Classical Immunology","International Society of Exercise and Immunology (ISEI)","Non-profit","OA","International Society of Exercise and Immunology (ISEI)","Society/Association","Germany","https://exerciseimmunology.com/eir","","1.22","Q1 (Medicine; Sports Science)","65","No","","1077-5552"
"Experimental Parasitology","Parasitology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/experimental-parasitology","2188","0.449","Q2 (Parasitology)","90","No","1090-2449","0014-4894"
"Experimental and Clinical Transplantation","Transplant Immunology","Middle East Society for Organ Transplantation; Baskent University","Non-profit","","","","Turkey","https://ectrx.org/","","0.25","Q3 (Transplantation)","38","No","2146-8427","1304-0855"
"Expert Review of Anti Infective Therapy","Virology","Taylor & Francis Group","For-profit","","","","UK","https://www.tandfonline.com/journals/ierz20","","1.024","Q1 (Infectious Diseases)","110","No","1744-8336","1478-7210"
"Expert Review of Vaccines","Vaccinology","Taylor & Francis Group","For-profit","Hybrid","","","USA","https://www.tandfonline.com/journals/ierv20","4060","1.28","Q1 (Drug Discovery; Pharmacology)","117","No","1744-8395","1476-0584"
"FEBS Letters","Immunogenetics, Molecular and Cellular Immunology","John Wiley & Sons","For-profit associated with a society","Hybrid","Federation of European Biochemical Societies (FEBS)","Society/Association","USA","https://febs.onlinelibrary.wiley.com/journal/18733468","3199","1.181","Q1 (Biochemistry; Biophysics)","295","No","1873-3468","0014-5793"
"FEMS Infectious Diseases","Immunopathology","Oxford University Press (OUP)","University Press associated with a society","Hybrid","Federation of European Microbiological Societies (FEMS)","Society/Association","UK","https://academic.oup.com/femspd","2528","0.895","Q2 (Immunology and Allergy; Immunology and Microbiology; Infectious Diseases; Medicine; Microbiology)","129","No","2049-632X",""
"Folia Parasitologica","Parasitology","Institute of Parasitology of the Czech Academy of Sciences","Non-profit","OA","Czech Academy of Sciences","University/Government","Czech Republic","https://folia.paru.cas.cz/","164","0.46","Q2 (Parasitology)","53","No","1803-6465","0015-5683"
"Food and Chemical Toxicology","Immunotoxicology","Elsevier","For-profit associated with a society","Hybrid","Chinese Society of Toxicology","Society/Association","Netherlands","https://www.sciencedirect.com/journal/food-and-chemical-toxicology","4081","0.75","Q1 (Food Science)","223","No","1873-6351","0278-6915"
"Food and Environmental Virology","Virology","Springer Nature","For-profit associated with a society","Hybrid","International Society for Food and Environmental Virology","Society/Association","Germany / UK","https://link.springer.com/journal/12560","2840","0.57","Q2 (Food Science)","52","No","1867-0342","1867-0334"
"Frontiers in Bacteriology","Immunopathology","Frontiers Media SA","For-profit","OA","","","Switzerland","https://www.frontiersin.org/journals/bacteriology","1963","","","","No","2813-6144",""
"Frontiers in Cellular and Infection Microbiology","Immunopathology","Frontiers Media SA","For-profit","OA","","","Switzerland","https://www.frontiersin.org/journals/cellular-and-infection-microbiology","2818","1.403","Q1 (Immunology; Infectious Diseases; Medicine; Microbiology)","156","No","2235-2988",""
"Frontiers in Epidemiology","Epidemiology","Frontiers Media SA","For-profit","OA","","","Switzerland","https://www.frontiersin.org/journals/epidemiology","963","0.821","Q1 (Health)","13","No","2674-1199",""
"Frontiers in Immunology","Generalist/Classical Immunology","Frontiers Media SA","For-profit","OA","","","Switzerland","https://www.frontiersin.org/journals/immunology","2974","1.964","Q1 (Immunology; Immunology and Allergy)","294","No","1664-3224",""
"Frontiers in Parasitology","Parasitology","Frontiers Media SA","For-profit","OA","","","Switzerland","https://www.frontiersin.org/journals/parasitology","1889","0.609","Q1 (Veterinary)","8","No","2813-2424",""
"Frontiers in Tropical Diseases","Immunopathology","Frontiers Media SA","For-profit","OA","","","Switzerland","https://www.frontiersin.org/journals/tropical-diseases","2081","0.635","Q2 (Infectious Diseases; Microbiology; Public Health, Environmental and Occupational Health)","17","No","2673-7515",""
"Frontiers in Virology","Virology","Frontiers Media SA","For-profit","OA","","","Switzerland","https://www.frontiersin.org/journals/virology","2016","0.559","Q2 (Infectious Diseases)","15","No","2673-818X",""
