Journal,Publisher,Business model,APC 2019 (€),APC 2020 (€),APC 2021 (€),APC 2022 (€),APC 2023 (€),APC (€)
Annals of Solid and Structural Mechanics,Springer Nature,Hybrid,2040,2570,,,,2570
Annals of Surgical Oncology,Springer Nature,Hybrid,2990,3060,3060,3190,3190,3190
Annals of Telecommunications,Springer Nature,Hybrid,2040,2170,2190,2090,2190,2190
Anthropocene Coasts,Springer Nature,OA,,,,1190,,1190
Anthropocene Science,Springer Nature,Hybrid,,,,2190,2290,2290
Antimicrobial Resistance & Infection Control,Springer Nature,OA,2170,2290,2290,2390,2490,2490
Antonie van Leeuwenhoek,Springer Nature,Hybrid,2480,2570,2590,2690,2690,2690
An�sthesie Nachrichten,Springer Nature,Hybrid,,,,2380,2490,2490
Apidologie,Springer Nature,Hybrid,2480,2480,2480,1690,2265,2265
Apoptosis,Springer Nature,Hybrid,2990,3060,3060,3190,3390,3390
"Applicable Algebra in Engineering, Communication and Computing",Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Applications of Mathematics,Springer Nature,Hybrid,,,2190,2290,2190,2190
Applied Adhesion Science,Springer Nature,OA,1180,1180,1390,,,1390
Applied Biochemistry and Biotechnology,Springer Nature,Hybrid,2480,2570,2590,2690,2790,2790
Applied Biological Chemistry,Springer Nature,OA,,750,750,1225,1235,1235
Applied Biological Chemistry,Springer Nature,Hybrid,2480,,,,,2480
Applied Categorical Structures,Springer Nature,Hybrid,2040,2170,2190,2190,2390,2390
Applied Composite Materials,Springer Nature,Hybrid,2990,2240,3060,2890,2790,2790
Applied Entomology and Zoology,Springer Nature,Hybrid,2480,2480,2480,2590,2790,2790
Applied Geomatics,Springer Nature,Hybrid,2040,2170,2190,2190,2390,2390
Applied Geophysics,Springer Nature,Hybrid,,2170,2170,2090,2090,2090
Applied Health Economics and Health Policy,Springer Nature,Hybrid,2990,3060,3060,3190,3390,3390
Applied Intelligence,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Applied Magnetic Resonance,Springer Nature,Hybrid,2480,2170,2190,2190,2190,2190
Applied Mathematics & Optimization,Springer Nature,Hybrid,2040,2570,2590,2690,2790,2790
Applied Mathematics and Mechanics,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Applied Mathematics-A Journal of Chinese Universities,Springer Nature,Hybrid,,,2190,2190,2190,2190
Applied Microbiology and Biotechnology,Springer Nature,Hybrid,2480,3060,3060,3190,3390,3390
Applied Nanoscience,Springer Nature,Hybrid,2990,2570,2590,2690,2690,2690
Applied Network Science,Springer Nature,OA,1050,1050,990,1090,1190,1190
Applied Physics A,Springer Nature,Hybrid,2480,2570,2590,2690,2890,2890
Applied Physics B,Springer Nature,Hybrid,2480,2570,2590,2590,2790,2790
Applied Psychophysiology and Biofeedback,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Applied Research in Quality of Life,Springer Nature,Hybrid,2040,2170,2190,2390,2390,2390
Applied Spatial Analysis and Policy,Springer Nature,Hybrid,2040,2170,2190,2190,2190,2190
Applied Water Science,Springer Nature,OA,,,,1570,1690,1690
Aquaculture International,Springer Nature,Hybrid,2480,2570,2590,2690,2790,2790
Aquatic Ecology,Springer Nature,Hybrid,2480,2570,2590,2690,2690,2690
Aquatic Geochemistry,Springer Nature,Hybrid,2480,2570,2590,2790,2890,2890
Aquatic Sciences,Springer Nature,Hybrid,2480,2570,2590,2690,2790,2790
Arabian Journal for Science and Engineering,Springer Nature,Hybrid,2040,2170,2190,2290,2490,2490
Arabian Journal of Geosciences,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Archaeological and Anthropological Sciences,Springer Nature,Hybrid,2480,2570,2590,2590,2690,2690
Archaeologies,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Architectural Intelligence,Springer Nature,OA,,,,1190,,1190
"Architecture, Structures and Construction",Springer Nature,Hybrid,,,,2190,2290,2290
Archiv der Mathematik,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Archival Science,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Archive for History of Exact Sciences,Springer Nature,Hybrid,2040,2170,2190,2090,2190,2190
Archive for Mathematical Logic,Springer Nature,Hybrid,2040,2170,2190,2190,2390,2390
Archive for Rational Mechanics and Analysis,Springer Nature,Hybrid,2040,2040,2040,2040,2190,2190
Archive of Applied Mechanics,Springer Nature,Hybrid,2040,2570,2590,2690,2890,2890
Archives of Civil and Mechanical Engineering,Springer Nature,Hybrid,,2040,2190,2190,2290,2290
Archives of Computational Methods in Engineering,Springer Nature,Hybrid,2990,3060,3060,3060,3290,3290
Archives of Dermatological Research,Springer Nature,Hybrid,2990,3060,3060,3190,3390,3390
Archives of Environmental Contamination and Toxicology,Springer Nature,Hybrid,2480,2570,2590,2690,2790,2790
Archives of Gynecology and Obstetrics,Springer Nature,Hybrid,2480,3060,3060,3190,3190,3190
Archives of Microbiology,Springer Nature,Hybrid,2480,2570,2590,2590,2690,2690
Archives of Orthopaedic and Trauma Surgery,Springer Nature,Hybrid,2990,3060,3060,3190,3190,3190
Archives of Osteoporosis,Springer Nature,Hybrid,2480,2570,2590,2690,2790,2790
Archives of Pharmacal Research,Springer Nature,Hybrid,2990,3060,3060,3190,3490,3490
Archives of Public Health,Springer Nature,OA,1790,1870,2090,2190,2190,2190
Archives of Sexual Behavior,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Archives of Toxicology,Springer Nature,Hybrid,3490,3580,3580,3690,3990,3990
Archives of Virology,Springer Nature,Hybrid,2990,3060,3060,3190,3390,3390
Archives of Women's Mental Health,Springer Nature,Hybrid,2990,2570,2590,2690,2790,2790
Archivum Immunologiae et Therapiae Experimentalis,Springer Nature,Hybrid,2990,3060,3060,3060,3060,3060
Argumentation,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Arnold Mathematical Journal,Springer Nature,Hybrid,2040,2170,2190,2090,2090,2090
Artery Research,Springer Nature,OA,,,,1230,1290,1290
Arthritis Research & Therapy,Springer Nature,OA,2170,2290,2490,2690,2790,2790
Arthroplasty,Springer Nature,OA,1625,,,,,1625
Arthropod-Plant Interactions,Springer Nature,Hybrid,2480,2170,2190,2290,2390,2390
Arthroskopie,Springer Nature,Hybrid,2240,2240,2380,2490,2590,2590
Artificial Intelligence Review,Springer Nature,Hybrid,2040,2170,2190,2290,2490,2490
Artificial Intelligence and Law,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Artificial Life and Robotics,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Asia Europe Journal,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Asia Pacific Education Review,Springer Nature,Hybrid,2040,2170,2190,2290,2490,2490
Asia Pacific Family Medicine,Springer Nature,OA,1745,,,,,1745
Asia Pacific Journal of Management,Springer Nature,Hybrid,2040,2170,2190,2390,2490,2490
Asia-Pacific Financial Markets,Springer Nature,Hybrid,2040,2170,2190,2190,2390,2390
Asia-Pacific Journal of Atmospheric Sciences,Springer Nature,Hybrid,2480,2170,2190,2290,2490,2490
Asia-Pacific Journal of Regional Science,Springer Nature,Hybrid,2040,2170,2190,2290,2490,2490
Asia-Pacific Science Education,Springer Nature,OA,960,,,,,960
Asian Archaeology,Springer Nature,Hybrid,2040,2170,2190,2290,2490,2490
Asian Bioethics Review,Springer Nature,Hybrid,2040,2170,2190,2390,2490,2490
Asian Business & Management,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Asian Journal of Business Ethics,Springer Nature,Hybrid,2040,2170,2190,2190,2390,2390
Asian Journal of Civil Engineering,Springer Nature,Hybrid,1790,1790,2190,2190,2290,2290
Asian Journal of Criminology,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Asian Journal of Philosophy,Springer Nature,Hybrid,,,,2190,2290,2290
Asian-Pacific Journal of Second and Foreign Language Education,Springer Nature,OA,,960,1060,1140,1190,1190
Asthma Research and Practice,Springer Nature,OA,1790,1870,1990,1990,2090,2090
Astrodynamics,Springer Nature,Hybrid,1790,1790,2590,2590,2690,2690
Astrophysics and Space Science,Springer Nature,Hybrid,2480,2170,2190,2390,2490,2490
Atlantic Economic Journal,Springer Nature,Hybrid,2040,2170,2190,2090,2290,2290
"Attention, Perception, & Psychophysics",Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Augmented Human Research,Springer Nature,Hybrid,2040,2570,2590,2690,2790,2790
Australasian Physical & Engineering Sciences in Medicine,Springer Nature,Hybrid,2480,,,,,2480
Australasian Plant Pathology,Springer Nature,Hybrid,2480,2570,2590,2690,2790,2790
Autoimmunity Highlights,Springer Nature,OA,1690,1480,1570,,,1570
Automated Software Engineering,Springer Nature,Hybrid,2040,2170,2190,2190,2290,2290
Automotive Innovation,Springer Nature,Hybrid,1790,1790,2190,2090,2290,2290
Automotive and Engine Technology,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Autonomous Agents and Multi-Agent Systems,Springer Nature,Hybrid,2040,2170,2190,2190,2390,2390
Autonomous Robots,Springer Nature,Hybrid,2040,2570,2590,2490,2590,2590
Axiomathes,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
BDJ Open,Springer Nature,OA,1685,2170,2390,2490,2590,2590
BHM Berg- und H�ttenm�nnische Monatshefte,Springer Nature,Hybrid,2240,2240,2380,2490,2590,2590
BIOspektrum,Springer Nature,Hybrid,2240,2240,2380,2490,2490,2490
BIT Numerical Mathematics,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
BJC Reports,Springer Nature,OA,,,,,1990,1990
BMC Anesthesiology,Springer Nature,OA,1870,1990,1990,2190,2390,2390
BMC Biochemistry,Springer Nature,OA,1690,1790,,,,1790
BMC Bioinformatics,Springer Nature,OA,1690,1790,1990,2190,2290,2290
BMC Biology,Springer Nature,OA,2270,2490,2690,2590,2690,2690
BMC Biomedical Engineering,Springer Nature,OA,1200,1200,1190,1290,1390,1390
BMC Biophysics,Springer Nature,OA,1690,1790,,,,1790
BMC Biotechnology,Springer Nature,OA,1870,1990,1890,2090,2290,2290
BMC Cancer,Springer Nature,OA,1999,1999,2170,2390,2590,2590
BMC Cardiovascular Disorders,Springer Nature,OA,1870,1990,1990,2190,2190,2190
BMC Chemical Engineering,Springer Nature,OA,1200,1200,,,,1200
BMC Chemistry,Springer Nature,OA,,1790,1890,2090,2290,2290
BMC Clinical Pathology,Springer Nature,OA,1790,1870,,,,1870
BMC Complementary Medicine and Therapies,Springer Nature,OA,,,2040,2040,2290,2290
BMC Complementary and Alternative Medicine,Springer Nature,OA,1990,2040,,,,2040
BMC Dermatology,Springer Nature,OA,1390,1180,,,,1180
BMC Developmental Biology,Springer Nature,OA,1745,1870,1890,,,1890
BMC Digital Health,Springer Nature,OA,,,,,1490,1490
"BMC Ear, Nose and Throat Disorders",Springer Nature,OA,1790,1870,,,,1870
BMC Ecology,Springer Nature,OA,1790,1870,,,,1870
BMC Ecology and Evolution,Springer Nature,OA,,,1890,2090,2190,2190
BMC Emergency Medicine,Springer Nature,OA,1390,1480,1690,1890,1990,1990
BMC Endocrine Disorders,Springer Nature,OA,1745,1790,1990,2190,2390,2390
BMC Energy,Springer Nature,OA,,1200,,,,1200
BMC Evolutionary Biology,Springer Nature,OA,1790,1870,,,,1870
BMC Family Practice,Springer Nature,OA,1745,1790,1990,2190,,2190
BMC Gastroenterology,Springer Nature,OA,1790,1870,1990,2190,2290,2290
BMC Genetics,Springer Nature,OA,1690,1790,,,,1790
BMC Genomic Data,Springer Nature,OA,,,1330,1390,1590,1590
BMC Genomics,Springer Nature,OA,1745,1870,1990,1990,2290,2290
BMC Geriatrics,Springer Nature,OA,1990,2040,2090,2290,2390,2390
BMC Health Services Research,Springer Nature,OA,1990,2040,2170,2390,2590,2590
BMC Hematology,Springer Nature,OA,1690,1790,,,,1790
BMC Immunology,Springer Nature,OA,1745,1990,2190,2390,2390,2390
BMC Infectious Diseases,Springer Nature,OA,1790,1870,1990,2090,2290,2290
BMC International Health and Human Rights,Springer Nature,OA,1870,1790,,,,1790
BMC Materials,Springer Nature,OA,1200,1200,,,,1200
BMC Mechanical Engineering,Springer Nature,OA,1200,,,,,1200
BMC Medical Education,Springer Nature,OA,1745,1790,1790,1990,2190,2190
BMC Medical Ethics,Springer Nature,OA,1180,1290,1390,1590,1690,1690
BMC Medical Genetics,Springer Nature,OA,1870,1990,,,,1990
BMC Medical Genomics,Springer Nature,OA,1745,1990,2190,2390,2590,2590
BMC Medical Imaging,Springer Nature,OA,1870,1990,1990,2190,2390,2390
BMC Medical Informatics and Decision Making,Springer Nature,OA,1870,1990,1890,2090,2290,2290
BMC Medical Research Methodology,Springer Nature,OA,1990,2040,2190,2390,2490,2490
BMC Medicine,Springer Nature,OA,2570,2890,2890,2990,3090,3090
BMC Microbiology,Springer Nature,OA,1790,1870,1870,2090,2290,2290
BMC Molecular Biology,Springer Nature,OA,1790,1870,,,,1870
BMC Molecular and Cell Biology,Springer Nature,OA,,1870,1890,1690,1790,1790
BMC Musculoskeletal Disorders,Springer Nature,OA,1990,2040,1990,2190,2290,2290
BMC Nephrology,Springer Nature,OA,1790,1870,1990,2190,2290,2290
BMC Neurology,Springer Nature,OA,1990,2040,1990,2190,2290,2290
BMC Neuroscience,Springer Nature,OA,1745,2170,2190,2190,2290,2290
BMC Nursing,Springer Nature,OA,1690,1790,1990,2190,2290,2290
BMC Nutrition,Springer Nature,OA,1180,1290,1490,1590,1790,1790
BMC Obesity,Springer Nature,OA,1180,1290,,,,1290
BMC Ophthalmology,Springer Nature,OA,1690,1790,1890,2090,2190,2190
BMC Oral Health,Springer Nature,OA,1790,1870,1990,2190,2390,2390
BMC Palliative Care,Springer Nature,OA,1870,1990,2190,2390,2390,2390
BMC Pediatrics,Springer Nature,OA,1870,1990,1990,2190,2290,2290
BMC Pharmacology and Toxicology,Springer Nature,OA,1870,1990,1990,2090,2190,2190
BMC Physiology,Springer Nature,OA,1790,1790,,,,1790
BMC Plant Biology,Springer Nature,OA,1745,1990,1990,2190,2390,2390
BMC Pregnancy and Childbirth,Springer Nature,OA,1790,1870,1990,2190,2390,2390
BMC Primary Care,Springer Nature,OA,,,,,2290,2290
BMC Proceedings,Springer Nature,OA,1570,1690,1890,1890,,1890
BMC Psychiatry,Springer Nature,OA,1870,1990,2190,2390,2490,2490
BMC Psychology,Springer Nature,OA,1060,1180,1060,1190,1290,1290
BMC Public Health,Springer Nature,OA,1990,2170,2290,2490,2690,2690
BMC Pulmonary Medicine,Springer Nature,OA,1870,1990,1990,2190,2290,2290
BMC Research Notes,Springer Nature,OA,1180,1270,1330,1390,1390,1390
BMC Rheumatology,Springer Nature,OA,1180,1290,1290,1490,1690,1690
"BMC Sports Science, Medicine and Rehabilitation",Springer Nature,OA,1790,1690,1890,2090,2190,2190
BMC Structural Biology,Springer Nature,OA,1790,1690,,,,1690
BMC Surgery,Springer Nature,OA,1990,2040,2090,2290,2390,2390
BMC Systems Biology,Springer Nature,OA,1790,1870,,,,1870
BMC Urology,Springer Nature,OA,1690,1790,1990,2190,2290,2290
BMC Veterinary Research,Springer Nature,OA,1790,1990,2190,2390,2590,2590
BMC Women's Health,Springer Nature,OA,1745,1790,1990,2190,2290,2290
BMC Zoology,Springer Nature,OA,990,1060,1290,1490,1390,1390
Banach Journal of Mathematical Analysis,Springer Nature,Hybrid,,2170,2190,2290,2390,2390
Basic Research in Cardiology,Springer Nature,Hybrid,3490,3490,3490,3590,3590,3590
Basic and Clinical Andrology,Springer Nature,OA,1870,1990,2190,2190,2390,2390
