ISSN,Type
0002-7812,p;l
0002-7820,p;l
0002-7863,p;l
0002-8177,p;l
0002-8282,p;l
0002-8312,p;l
0002-8320,p;l
0002-838X,p;l
0002-8444,p;l
0002-8487,p;l
0002-8541,p;l
0002-8614,p;l
0002-8703,p;l
0002-8711,p;l
0002-8762,p;l
0002-9092,p;l
0002-9114,p;l
0002-9122,p;l
0002-9149,p;l
0002-9157,p;l
0002-9165,p;l
0002-9173,p;l
0002-919X,p;l
0002-9246,p;l
0002-9254,p;l
0002-9262,p;l
0002-9270,p;l
0002-9297,p;l
0002-9300,p;l
0002-9319,p;l
0002-9327,p;l
0002-9343,p;l
0002-936X,p;l
0002-9378,p;l
0002-9394,p;l
0002-9432,p;l
0002-9440,p;l
0002-9459,p;l
0002-9475,p;l
0002-9505,p;l
0002-953X,p;l
0002-9548,p;l
0002-9556,p;l
0002-9564,p;l
0002-9599,p;l
0002-9602,p;l
0002-9610,p;l
0002-9629,p;l
0002-9637,p;l
0002-9645,p;l
0002-9726,p;l
0002-9823,p;l
0002-9831,p;l
0002-9890,p;l
0002-9920,p;l
0002-9939,p;l
0002-9947,p;l
0003-0007,p;l
0003-0031,p;l
0003-004X,p;l
0003-0082,p;l
0003-0090,p;l
0003-0139,p;l
0003-0147,p;l
0003-018X,p;l
0003-021X,p;l
0003-0279,p;l
0003-0481,p;l
0003-0554,p;l
0003-0627,p;l
0003-0651,p;l
0003-066X,p;l
0003-0678,p;l
0003-0937,p;l
0003-1062,p;l
0003-1186,p;l
0003-1224,p;l
0003-1232,p;l
0003-1283,p;l
0003-1305,p;l
0003-1348,p;l
0003-1488,p;l
0003-150X,p;l
0003-1615,p;l
0003-2409,p;l
0003-2565,p;l
0003-2573,p;l
0003-2638,p;l
0003-2654,p;l
0003-2670,p;l
0003-2697,p;l
0003-2700,p;l
0003-2719,p;l
0003-2778,p;l
0003-2999,p;l
0003-3006,p;l
0003-3022,p;l
0003-3170,p;l
0003-3197,p;l
0003-3219,p;l
0003-3472,p;l
0003-3790,p;l
0003-3804,p;l
0003-3847,p;l
0003-3898,p;l
0003-3901,p;l
0003-3928,p;l
0003-4010,p;l
0003-4266,p;l
0003-4347,p;l
0003-4452,p;l
0003-4487,p;l
0003-4509,p;l
0003-4541,p;l
0003-455X,p;l
0003-469X,p;l
0003-4746,p;l
0003-4800,p;l
0003-4819,p;l
0003-486X,p;l
0003-4894,p;l
0003-4916,p;l
0003-4932,p;l
0003-4967,p;l
0003-4975,p;l
0003-5033,p;l
0003-5459,p;l
0003-5483,p;l
0003-5491,p;l
0003-5521,p;l
0003-5548,p;l
0003-5599,p;l
0003-5661,p;l
0003-567X,p;l
0003-5688,p;l
0003-5696,p;l
0003-5815,p;l
0003-598X,p;l
0003-603X,p;l
0003-6072,p;l
0003-6390,p;l
0003-6420,p;l
0003-6811,p;l
0003-682X,p;l
0003-6838,p;l
0003-6846,p;l
0003-6862,p;l
0003-6870,p;l
0003-6900,p;l
0003-6951,p;l
0003-701X,p;l
0003-7028,p;l
0003-7877,p;l
0003-7982,p;l
0003-8008,p;l
0003-8032,p;l
0003-813X,p;l
0003-8180,p;l
0003-8504,p;l
0003-8520,p;l
0003-8628,p;l
0003-8695,p;l
0003-889X,p;l
0003-9101,p;l
0003-9233,p;l
0003-925X,p;l
0003-9292,p;l
0003-9381,p;l
0003-9438,p;l
0003-9519,p;l
0003-9527,p;l
0003-9535,p;l
0003-9632,p;l
0003-9756,p;l
0003-9829,p;l
0003-9837,p;l
0003-9853,p;l
0003-9861,p;l
0003-9888,p;l
0003-9969,p;l
0003-9985,p;l
0003-9993,p;l
0004-0002,p;l
0004-0088,p;l
0004-0177,p;l
0004-0304,p;l
0004-0428,p;l
0004-0592,p;l
0004-0614,p;l
0004-0622,p;l
0004-0665,p;l
0004-069X,p;l
0004-0738,p;l
0004-0843,p;l
0004-0894,p;l
0004-0975,p;l
0004-1157,p;l
0004-1254,p;l
0004-1327,p;l
0004-1610,p;l
0004-1955,p;l
0004-2080,p;l
0004-2749,p;l
0004-2803,p;l
0004-282X,p;l
0004-3079,p;l
0004-3125,p;l
0004-3214,p;l
0004-3249,p;l
0004-3273,p;l
0004-3389,p;l
0004-3400,p;l
0004-3648,p;l
0004-3702,p;l
0004-4687,p;l
0004-4822,p;l
0004-4881,p;l
0004-5411,p;l
0004-5632,p;l
0004-5772,p;l
0004-6256,p;l
0004-6264,p;l
0004-6280,p;l
0004-6337,p;l
0004-6361,p;l
0004-637X,p;l
0004-640X,p;l
0004-6574,p;l
0004-8003,p;l
0004-8038,p;l
0004-8380,p;l
0004-8402,p;l
0004-8666,p;l
0004-8674,p;l
0004-900X,p;l
0004-9018,p;l
0004-9158,p;l
0004-9182,p;l
0004-9425,p;l
0004-9441,p;l
0004-9468,p;l
0004-9522,p;l
0004-9530,p;l
0004-959X,p;l
0004-9697,p;l
0004-9727,p;l
0005-0067,p;l
0005-0423,p;l
0005-0601,p;l
0005-1098,p;l
0005-1144,p;l
0005-1179,p;l
0005-2086,p;l
0005-2523,p;l
0005-2531,p;l
0005-2728,p;l
0005-2736,p;l
0005-3600,p;l
0005-5506,p;l
0005-576X,p;l
0005-6650,p;l
0005-7894,p;l
0005-7916,p;l
0005-7959,p;l
0005-7967,p;l
0005-805X,p;l
0005-8076,p;l
0005-9080,p
0005-9366,p;l
0005-9900,p;l
0006-0623,p;l
0006-0887,p;l
0006-128X,p;l
0006-1646,p;l
0006-176X,p;l
0006-2006,p;l
0006-2014,p;l
0006-2294,p;l
0006-291X,p;l
0006-2928,p;l
0006-2952,p;l
0006-2960,p;l
0006-2979,p;l
0006-3088,p;l
0006-3134,p;l
0006-3185,p;l
0006-3207,p;l
0006-3223,p;l
0006-324X,p;l
0006-3347,p;l
0006-3363,p;l
0006-3398,p;l
0006-341X,p;l
0006-3444,p;l
0006-3495,p;l
0006-3509,p;l
0006-3525,p;l
0006-355X,p;l
0006-3568,p;l
0006-3592,p;l
0006-3606,p;l
0006-3657,p;l
0006-3835,p;l
0006-4246,p;l
0006-4971,p;l
0006-5196,p;l
0006-5471,p;l
0006-5722,p;l
0006-579X,p;l
0006-6761,p;l
0006-6982,p;l
0006-7377,p;l
0006-8047,p;l
0006-8055,p;l
0006-8101,p;l
0006-8136,p;l
0006-8144,p;l
0006-8241,p;l
0006-8314,p;l
0006-8705,p;l
0006-8950,p;l
0006-8977,p;l
0006-8993,p;l
0006-9248,p;l
0007-0556,p;l
0007-0610,p;l
0007-070X,p;l
0007-084X,p;l
0007-0874,p;l
0007-0882,p;l
0007-0904,p;l
0007-0912,p;l
0007-0920,p;l
0007-0955,p;l
0007-0963,p;l
0007-0998,p;l
0007-1005,p;l
0007-1013,p;l
0007-1048,p;l
0007-1080,p;l
0007-1102,p;l
0007-1145,p;l
0007-1161,p;l
0007-1188,p;l
0007-1234,p;l
0007-1250,p;l
0007-1269,p;l
0007-1285,p;l
0007-1315,p;l
0007-1323,p;l
0007-1420,p;l
0007-1595,p;l
0007-1668,p;l
0007-1773,p;l
0007-1870,p;l
0007-196X,p;l
0007-215X,p;l
0007-2303,p;l
0007-2745,p;l
0007-4322,p;l
0007-4497,p;l
0007-4551,p;l
0007-4640,p;l
0007-4853,p;l
0007-4861,p;l
0007-4888,p;l
0007-4918,p;l
0007-4977,p;l
0007-5027,p;l
0007-5108,p;l
0007-5140,p;l
0007-5922,p;l
0007-6287,p;l
0007-6503,p;l
0007-666X,p;l
0007-6791,p;l
0007-6805,p;l
0007-6813,p;l
0007-6899,p;l
0007-7704,p;l
0007-7712,p;l
0007-7720,p;l
0007-8069,p;l
0007-8506,p;l
0007-9235,p;l
0007-9723,p;l
0007-9731,p;l
0007-9766,p;l
0007-9871,p;l
0007-9960,p;l
0008-0055,p;l
0008-0624,p;l
0008-0683,p;l
0008-0845,p;l
0008-1078,p;l
0008-1221,p;l
0008-1256,p;l
0008-1795,p;l
0008-1973,p;l
0008-199X,p;l
0008-3194,p;l
0008-347X,p;l
0008-3496,p;l
0008-350X,p;l
0008-3550,p;l
0008-3658,p;l
0008-3674,p;l
0008-3755,p;l
0008-3968,p;l
0008-3976,p;l
0008-3984,p;l
0008-400X,p;l
0008-4034,p;l
0008-4042,p;l
0008-4077,p;l
0008-4085,p;l
0008-4107,p;l
0008-4123,p;l
0008-4131,p;l
0008-414X,p;l
0008-4166,p;l
0008-4174,p;l
0008-4182,p;l
0008-4204,p;l
0008-4212,p;l
0008-4220,p;l
0008-4239,p;l
0008-4263,p;l
0008-4271,p;l
0008-428X,p;l
0008-4298,p;l
0008-4301,p;l
0008-4395,p;l
0008-4433,p;l
0008-4492,p;l
0008-4506,p;l
0008-4654,p;l
0008-4840,p;l
0008-5006,p;l
0008-5030,p;l
0008-5111,p;l
0008-5286,p;l
0008-543X,p;l
0008-5472,p;l
0008-6215,p;l
0008-6223,p;l
0008-6312,p;l
0008-6363,p;l
0008-6495,p;l
0008-6568,p;l
0008-7041,p;l
0008-7114,p;l
0008-7335,p;l
0008-7386,p;l
0008-7475,p;l
0008-7750,p;l
0008-8080,p;l
0008-8390,p;l
0008-8501,p;l
0008-8749,p;l
0008-8846,p;l
0008-8994,p;l
0008-9389,p;l
0008-9583,p;l
0009-0352,p;l
0009-0468,p;l
0009-0514,p;l
0009-0611,p;l
0009-062X,p;l
0009-0794,p;l
0009-1774,p;l
0009-2002,p;l
0009-2355,p;l
0009-2363,p;l
0009-2479,p;l
0009-2509,p;l
0009-2541,p;l
0009-2614,p;l
0009-2630,p;l
0009-2665,p;l
0009-2673,p;l
0009-2770,p;l
0009-2797,p;l
0009-2819,p;l
0009-2851,p;l
0009-286X,p;l
0009-3025,p;l
0009-3068,p;l
0009-3084,p;l
0009-3092,p;l
0009-3122,p;l
0009-3130,p;l
0009-3157,p;l
0009-3696,p;l
0009-3920,p;l
0009-398X,p;l
0009-4056,p;l
0009-4293,p;l
0009-4455,p;l
0009-4536,p;l
0009-4609,p;l
0009-4633,p;l
0009-479X,p;l
0009-4846,p;l
0009-5028,p;l
0009-5893,p;l
0009-5915,p;l
0009-6067,p;l
0009-6407,p;l
0009-7039,p;l
0009-725X,p;l
0009-7322,p;l
0009-7330,p;l
0009-739X,p;l
0009-7411,p;l
0009-7527,p;l
0009-8078,p;l
0009-8353,p;l
0009-837X,p;l
0009-8388,p;l
0009-8418,p;l
0009-8558,p;l
0009-8604,p;l
0009-8876,p;l
0009-8981,p;l
0009-9074,p
0009-9104,p;l
0009-9120,p;l
0009-9147,p;l
0009-9163,p;l
0009-918X,p;l
0009-9201,p;l
0009-921X,p;l
0009-9228,p;l
0009-9236,p;l
0009-9260,p;l
0010-0161,p;l
0010-0277,p;l
0010-0285,p;l
0010-065X,p;l
0010-0730,p;l
0010-0757,p;l
0010-0870,p;l
0010-096X,p;l
0010-0994,p;l
0010-1338,p;l
0010-1354,p;l
0010-1451,p;l
0010-1923,p;l
0010-1931,p;l
0010-1958,p;l
0010-2180,p;l
0010-2202,p;l
0010-2571,p;l
0010-2628,p;l
0010-3616,p;l
0010-3624,p;l
0010-3640,p;l
0010-3713,p;l
0010-3802,p;l
0010-3853,p;l
0010-4078,p;l
0010-4086,p;l
0010-4124,p;l
0010-4132,p;l
0010-4140,p;l
0010-4159,p;l
0010-4175,p;l
0010-437X,p;l
0010-440X,p;l
0010-4485,p;l
0010-4620,p;l
0010-4655,p;l
0010-4825,p;l
0010-485X,p;l
0010-5082,p;l
0010-6178,p;l
0010-6356,p;l
0010-7069,p;l
0010-7484,p;l
0010-7514,p;l
0010-7530,p;l
0010-7824,p;l
0010-7999,p;l
0010-8049,p;l
0010-8235,p;l
0010-8367,p;l
0010-8545,p;l
0010-8650,p;l
0010-8812,p;l
0010-8847,p;l
0010-9312,p;l
0010-938X,p;l
0010-9452,p;l
0010-9525,p;l
0010-9894,p;l
0011-0000,p;l
0011-0035,p;l
0011-1287,p;l
0011-135X,p;l
0011-1384,p;l
0011-1503,p;l
0011-1562,p;l
0011-1570,p;l
0011-1589,p;l
0011-1600,p;l
0011-1619,p;l
0011-1643,p;l
0011-183X,p;l
0011-1848,p;l
0011-216X,p;l
0011-2240,p;l
0011-2275,p;l
0011-3204,p;l
0011-3530,p;l
0011-3840,p;l
0011-3891,p;l
0011-3921,p;l
0011-393X,p;l
0011-4162,p;l
0011-4189,p;l
0011-4545,p;l
0011-4553,p;l
0011-4642,p;l
0011-5029,p;l
0011-5258,p;l
0011-5266,p;l
0011-5827,p;l
0011-6009,p;l
0011-605X,p;l
0011-6297,p;l
0011-6793,p;l
0011-7315,p;l
0011-748X,p;l
0011-8265,p;l
0011-8524,p;l
0011-8532,p;l
0011-9059,p;l
0011-9164,p;l
0011-9342,p;l
0011-9636,p;l
0011-9741,p;l
0011-9857,p;l
0012-0413,p;l
0012-0456,p;l
0012-0472,p;l
0012-0936,p;l
0012-1045,p;l
0012-1169,p;l
0012-1533,p;l
0012-155X,p;l
0012-1592,p;l
0012-1606,p;l
0012-1622,p;l
0012-1630,p;l
0012-1649,p;l
0012-1797,p;l
0012-186X,p;l
0012-1924,p;l
0012-2033,p;l
0012-2173,p;l
0012-2440,p;l
0012-2661,p;l
0012-2823,p;l
0012-365X,p;l
0012-3692,p;l
0012-3706,p;l
0012-3846,p;l
0012-3862,p;l
0012-4273,p;l
0012-4486,p;l
0012-4966,p;l
0012-5008,p;l
0012-5016,p;l
0012-6543,p;l
0012-6616,p;l
0012-6667,p;l
0012-6772,p;l
0012-6837,p;l
0012-7086,p;l
0012-7094,p;l
0012-7353,p;l
0012-7361,p;l
0012-7825,p;l
0012-8163,p;l
0012-821X,p;l
0012-8252,p;l
0012-8775,p;l
0012-9593,p;l
0012-9615,p;l
0012-9658,p;l
0012-9682,p;l
0012-9976,p;l
0012-9984,p;l
0013-0001,p;l
0013-0079,p;l
0013-0095,p;l
0013-0117,p;l
0013-0133,p;l
0013-0249,p;l
0013-0427,p;l
0013-063X,p;l
0013-0796,p;l
0013-0915,p;l
0013-1245,p;l
0013-1350,p;l
0013-161X,p;l
0013-1644,p;l
0013-1725,p;l
0013-1857,p;l
0013-1881,p;l
0013-189X,p;l
0013-1911,p;l
0013-1946,p;l
0013-1954,p;l
0013-2004,p;l
0013-2446,p;l
0013-2586,p;l
0013-2683,p;l
0013-3035,p;l
0013-3183,p;l
0013-3264,p;l
0013-4651,p;l
0013-4686,p;l
0013-4953,p;l
0013-5194,p;l
0013-5437,p;l
0013-5585,p;l
0013-5852,p;l
0013-5984,p;l
0013-6662,p;l
0013-7006,p;l
0013-7227,p;l
0013-726X,p;l
0013-7308,p;l
0013-7545,p;l
0013-7758,p;l
0013-7782,p;l
0013-791X,p;l
0013-7944,p;l
0013-7952,p;l
0013-8029,p;l
0013-8215,p;l
0013-8266,p;l
0013-8282,p;l
0013-8304,p;l
0013-8312,p;l
0013-838X,p;l
0013-8398,p;l
0013-8703,p;l
0013-872X,p;l
0013-8738,p;l
0013-8746,p;l
0013-8797,p;l
0013-9157,p;l
0013-9165,p;l
0013-9351,p;l
0013-936X,p;l
0013-9505,p;l
0013-9513,p;l
0013-9572,p;l
0013-9580,p;l
0013-9661,p;l
0013-9696,p;l
0013-9998,p;l
0014-0015,p;l
0014-0139,p;l
0014-0309,p;l
0014-0481,p;l
0014-0716,p;l
0014-0759,p;l
0014-0767,p;l
0014-0856,p;l
0014-1291,p;l
0014-1437,p;l
0014-1496,p;l
0014-1704,p;l
0014-1755,p;l
0014-1798,p;l
0014-1801,p;l
0014-1836,p;l
0014-1844,p;l
0014-195X,p;l
0014-200X,p;l
0014-2085,p;l
0014-2115,p;l
0014-2166,p;l
0014-2182,p;l
0014-2239,p;l
0014-2328,p;l
0014-2336,p;l
0014-2565,p;l
0014-2751,p;l
0014-2921,p;l
0014-2972,p;l
0014-2980,p;l
0014-2999,p;l
0014-3006,p;l
0014-3022,p;l
0014-3057,p;l
0014-3065,p;l
0014-312X,p;l
0014-3138,p;l
0014-3367,p;l
0014-3502,p;l
0014-3820,p;l
0014-3855,p;l
0014-4029,p;l
0014-4797,p;l
0014-4800,p;l
0014-4819,p;l
0014-4827,p;l
0014-4835,p;l
0014-4851,p;l
0014-4886,p;l
0014-4894,p;l
0014-4940,p;l
0014-4983,p;l
0014-5246,p;l
0014-5483,p;l
0014-5793,p;l
0014-5815,p;l
0014-5858,p;l
0014-6242,p;l
0014-6722,p;l
0014-729X,p;l
0014-7370,p;l
0014-7699,p;l
0014-8202,p;l
0014-8237,p;l
0014-8261,p;l
0014-8962,p;l
0014-9128,p;l
0014-9187,p;l
0014-9527,p;l
0015-0010,p
0015-0193,p;l
0015-0282,p;l
0015-0517,p;l
0015-0541,p;l
0015-0630,p;l
0015-1386,p;l
0015-1831,p;l
0015-1882,p;l
0015-1920,p;l
0015-198X,p;l
0015-2218,p;l
0015-2684,p;l
0015-363X,p;l
0015-3826,p;l
0015-4040,p;l
0015-4628,p;l
0015-4725,p;l
0015-542X,p;l
0015-5497,p;l
0015-5500,p;l
0015-5616,p;l
0015-5632,p;l
0015-5659,p;l
0015-5683,p;l
0015-5691,p;l
0015-5713,p;l
0015-587X,p;l
0015-6191,p;l
0015-6426,p;l
0015-6477,p;l
0015-6639,p;l
0015-6914,p;l
0015-704X,p;l
0015-7120,p;l
0015-718X,p;l
0015-7228,p;l
0015-7325,p;l
0015-7473,p;l
0015-749X,p;l
0015-752X,p;l
0015-7546,p;l
0015-7813,p;l
0015-7899,p
0015-8208,p;l
0015-8518,p;l
0015-9018,p;l
0016-0032,p;l
0016-0725,p;l
0016-1071,p;l
0016-111X,p;l
0016-1128,p;l
0016-1136,p;l
0016-2361,p;l
0016-2590,p;l
0016-2663,p;l
0016-2736,p;l
0016-3287,p;l
0016-3651,p;l
0016-3813,p;l
0016-4127,p;l
0016-4232,p;l
0016-5085,p;l
0016-5107,p;l
0016-5301,p;l
0016-5522,p;l
0016-5751,p;l
0016-626X,p;l
0016-6480,p;l
0016-6707,p;l
0016-6723,p;l
0016-6731,p;l
0016-6928,p;l
0016-6987,p;l
0016-6995,p;l
0016-7002,p;l
0016-7029,p;l
0016-7037,p;l
0016-7061,p;l
0016-710X,p;l
0016-7118,p;l
0016-7126,p;l
0016-7169,p;l
0016-7185,p;l
0016-7193,p;l
0016-7223,p;l
0016-7274,p;l
0016-7282,p;l
0016-7312,p;l
0016-7363,p;l
0016-7398,p;l
0016-7428,p;l
0016-7460,p;l
0016-7479,p;l
0016-7487,p;l
0016-7568,p;l
0016-7606,p;l
0016-7622,p;l
0016-7649,p;l
0016-7746,p;l
0016-7789,p;l
0016-7878,p;l
0016-7894,p;l
0016-7932,p;l
0016-8025,p;l
0016-8033,p;l
0016-8076,p;l
0016-8092,p;l
0016-8505,p;l
0016-8521,p;l
0016-8777,p;l
0016-8831,p;l
0016-8874,p;l
0016-8890,p;l
0016-8904,p;l
0016-9013,p;l
0016-920X,p;l
0016-9560,p;l
0016-9862,p;l
0016-9900,p;l
0017-0011,p;l
0017-0089,p;l
0017-0496,p;l
0017-0895,p;l
0017-095X,p;l
0017-1298,p;l
0017-1557,p;l
0017-2278,p;l
0017-2294,p;l
0017-257X,p;l
0017-2715,p;l
0017-3134,p;l
0017-3495,p;l
0017-3835,p;l
0017-3916,p;l
0017-4114,p;l
0017-467X,p;l
0017-4815,p;l
0017-5749,p;l
0017-6192,p;l
0017-8012,p;l
0017-8039,p;l
0017-8063,p;l
0017-808X,p;l
0017-811X,p;l
0017-8160,p;l
0017-8748,p;l
0017-8969,p;l
0017-9078,p;l
0017-9124,p;l
0017-9310,p;l
0017-9973,p;l
0018-019X,p;l
0018-0599,p;l
0018-0661,p;l
0018-067X,p;l
0018-0777,p;l
0018-0831,p;l
0018-084X,p;l
0018-098X,p;l
0018-1005,p;l
0018-1196,p;l
0018-1439,p;l
0018-151X,p;l
0018-1544,p;l
0018-1560,p;l
0018-1994,p;l
0018-2052,p;l
0018-2079,p;l
0018-2133,p;l
0018-2141,p;l
0018-215X,p;l
0018-2168,p;l
0018-2176,p;l
0018-2206,p;l
0018-2257,p;l
0018-2311,p;l
0018-2362,p;l
0018-2370,p;l
0018-246X,p;l
0018-2575,p;l
0018-2583,p;l
0018-2613,p;l
0018-2621,p;l
0018-263X,p;l
0018-2648,p;l
0018-2656,p;l
0018-2680,p;l
0018-2702,p;l
0018-2710,p;l
0018-3768,p;l
0018-3830,p;l
0018-4306,p;l
0018-442X,p;l
0018-5043,p;l
0018-506X,p;l
0018-5345,p;l
0018-5787,p;l
0018-5868,p;l
0018-7003,p;l
0018-7070,p;l
0018-7143,p;l
0018-716X,p;l
0018-7208,p;l
0018-7216,p;l
0018-7259,p;l
0018-7267,p;l
0018-7828,p;l
0018-7895,p;l
0018-8158,p;l
0018-8166,p;l
0018-9162,p;l
0018-9197,p;l
0018-9200,p;l
0018-9219,p;l
0018-9235,p;l
0018-9251,p;l
0018-926X,p;l
0018-9286,p;l
0018-9294,p;l
0018-9316,p;l
0018-9340,p;l
0018-9359,p;l
0018-9375,p;l
0018-9383,p;l
0018-9391,p;l
0018-9448,p;l
0018-9456,p;l
0018-9464,p;l
0018-9480,p;l
0018-9499,p;l
0018-9529,p;l
0018-9545,p;l
0018-9855,p
0019-0365,p;l
0019-042X,p;l
0019-0578,p;l
0019-0829,p;l
0019-0993,p;l
0019-1019,p;l
0019-1035,p;l
0019-1442,p;l
0019-2082,p;l
0019-2341,p;l
0019-2805,p;l
0019-3577,p;l
0019-4131,p;l
0019-4506,p;l
0019-4522,p;l
0019-4565,p;l
0019-462X,p;l
0019-4646,p;l
0019-4662,p;l
0019-4670,p;l
0019-4832,p;l
0019-4964,p;l
0019-5014,p;l
0019-5022,p;l
0019-5049,p;l
0019-509X,p;l
0019-5138,p;l
0019-5154,p;l
0019-5200,p;l
0019-5235,p;l
0019-5308,e;l
0019-5324,p;l
0019-5413,p;l
0019-5456,p;l
0019-5464,p;l
0019-5499,p;l
0019-5545,p;l
0019-557X,p;l
0019-5588,p;l
0019-5596,p;l
0019-5634,p;l
0019-5707,p;l
0019-5839,p;l
0019-5847,p;l
0019-6061,p;l
0019-638X,p;l
0019-6479,p;l
0019-6665,p;l
0019-7246,p;l
0019-7262,p;l
0019-7289,p;l
0019-7416,p;l
0019-7858,p;l
0019-7939,p;l
0019-8366,p;l
0019-8501,p;l
0019-8676,p;l
0019-8692,p;l
0019-901X,p;l
0019-9567,p;l
0020-0190,p;l
0020-0204,p;l
0020-0255,p;l
0020-0883,p;l
0020-0956,p;l
0020-1324,p;l
0020-1383,p;l
0020-157X,p;l
0020-1669,p;l
0020-1685,p;l
0020-1693,p;l
0020-174X,p;l
0020-1804,p;l
0020-1812,p;l
0020-2754,p;l
0020-2940,p;l
0020-2967,p;l
0020-3157,p;l
0020-4277,p;l
0020-4412,p;l
0020-4536,p;l
0020-5214,p;l
0020-5346,p;l
0020-577X,p;l
0020-5850,p;l
0020-5893,p;l
0020-5907,p;l
0020-6067,p;l
0020-6539,p;l
0020-658X,p;l
0020-6598,p;l
0020-6814,p;l
0020-7020,p;l
0020-7047,p;l
0020-7071,p;l
0020-7128,p;l
0020-7136,p;l
0020-7144,p;l
0020-7152,p;l
0020-7160,p;l
0020-7179,p;l
0020-7187,p;l
0020-7209,p;l
0020-7217,p;l
0020-7225,p;l
0020-7233,p;l
0020-7276,p;l
0020-7284,p;l
0020-7292,p;l
0020-739X,p;l
0020-7403,p;l
0020-7411,p;l
0020-7438,p;l
0020-7454,p;l
0020-7462,p;l
0020-7489,p;l
0020-7519,p;l
0020-7543,p;l
0020-7578,p;l
0020-7594,p;l
0020-7608,p;l
0020-7640,p;l
0020-7683,p;l
0020-7721,p;l
0020-7748,p
0020-7780,p;l
0020-7810,p;l
0020-7985,p;l
0020-8132,p;l
0020-8167,e;l
0020-8183,p;l
0020-8345,p;l
0020-8523,p;l
0020-8566,p;l
0020-8582,p;l
0020-8590,p;l
0020-868X,p;l
0020-8701,p;l
0020-871X,p;l
0020-8728,p;l
0020-8817,p;l
0020-8825,p;l
0020-8833,p;l
0020-8868,p;l
0020-9252,p;l
0020-9570,p;l
0020-9643,p;l
0020-9910,p;l
0020-9996,p;l
0021-0552,p;l
0021-0862,p;l
0021-0870,p;l
0021-0889,p;l
0021-1214,p;l
0021-1265,p;l
0021-1273,p;l
0021-1400,p;l
0021-1427,p;l
0021-1575,p;l
0021-1699,p;l
0021-1753,p;l
0021-1818,p;l
0021-1842,p;l
0021-2059,p;l
0021-2148,p;l
0021-2172,p;l
0021-2237,p;l
0021-2571,p;l
0021-3020,p;l
0021-325X,p;l
0021-3497,p;l
0021-3551,p;l
0021-3624,p;l
0021-3640,p;l
0021-3667,p;l
0021-4019,p;l
0021-4027,p;l
0021-4183,p;l
0021-437X,p;l
0021-4787,p;l
0021-485X,p;l
0021-4876,p;l
0021-4884,p;l
0021-4914,p;l
0021-4922,p;l
0021-5007,p;l
0021-5015,p;l
0021-5082,p;l
0021-5104,p;l
0021-5155,p;l
0021-5236,p;l
0021-5287,p;l
0021-5368,p;l
0021-5392,p;l
0021-5597,p;l
0021-6682,p;l
0021-6704,p;l
