Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Molecular & Cellular Biology,Microbiology and Infectious Diseases,Advances in Applied Microbiology,https://www.sciencedirect.com/bookseries/advances-in-applied-microbiology,For-profit,Elsevier,,,Netherlands,Subscription,,,Yes,No,No,0.339,Q3 (Applied Microbiology and Biotechnology),99,No,,0065-2164,0065-2164
Molecular & Cellular Biology,Structural Biology and Biophysics,Advances in Protein Chemistry and Structural Biology,https://www.sciencedirect.com/bookseries/advances-in-protein-chemistry-and-structural-biology,For-profit,Elsevier,,,Netherlands,,,,Yes,No,No,0.462,Q3 (Biochemistry),90,No,1876-1631,1876-1623,1876-1623
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Aging Cell,https://onlinelibrary.wiley.com/journal/14749726,For-profit Society-Run,John Wiley & Sons,The Anatomical Society,Society/Association,UK,OA,2435,,Yes,Yes,Yes,2.881,Q1 (Aging; Cell Biology),191,No,1474-9726,1474-9718,1474-9718
Molecular & Cellular Biology,Cell Biology and Developmental Biology,American Journal of Physiology - Cell Physiology,https://journals.physiology.org/journal/ajpcell,Non-profit,American Physiological Society (APS),American Physiological Society,Society/Association,USA,Hybrid,780,,Yes,No,Yes,1.822,Q1 (Cell Biology; Physiology),211,No,1522-1563,0363-6143,0363-6143
Molecular & Cellular Biology,Biochemistry and Molecular Biology,American Journal of Physiology - Endocrinology and Metabolism,https://journals.physiology.org/journal/ajpendo,Non-profit,American Physiological Society (APS),American Physiological Society,Society/Association,USA,Hybrid,823,AJP: Endocrinology and Metabolism,Yes,No,With alternative journal name,1.505,"Q1 (Endocrinology, Diabetes and Metabolism; Physiology)",237,No,1522-1555,0193-1849,0193-1849
Molecular & Cellular Biology,Biochemistry and Molecular Biology,American Journal of Physiology - Lung Cellular and Molecular Physiology,https://journals.physiology.org/journal/ajplung,Non-profit,American Physiological Society (APS),American Physiological Society,Society/Association,USA,Hybrid,1549,,Yes,No,Yes,1.407,Q1 (Physiology; Pulmonary and Respiratory Medicine),190,No,1522-1504,1040-0605,1040-0605
Molecular & Cellular Biology,Biochemistry and Molecular Biology,American Journal of Respiratory Cell and Molecular Biology,https://www.atsjournals.org/journal/ajrcmb,Non-profit,American Thoracic Society,American Thoracic Society,Society/Association,USA,Hybrid,1083,,Yes,No,Yes,1.863,Q1 (Cell Biology; Clinical Biochemistry; Molecular Biology; Pulmonary and Respiratory Medicine),187,No,1535-4989,1044-1549,1044-1549
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Amino Acids,https://link.springer.com/journal/726,For-profit,Springer Nature,,,Austria,OA,2253,,Yes,Yes,Yes,0.821,Q1 (Organic Chemistry),153,No,1438-2199,0939-4451,0939-4451
Molecular & Cellular Biology,Microbiology and Infectious Diseases,Anaerobe,https://www.sciencedirect.com/journal/anaerobe,For-profit Society-Run,Elsevier,Anaerobe Society of the Americas,Society/Association,Netherlands,Hybrid,2210,,Yes,No,No,0.858,Q2 (Infectious Diseases; Microbiology),106,No,1095-8274,1075-9964,1075-9964
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Analytical Biochemistry,https://www.sciencedirect.com/journal/analytical-biochemistry,For-profit,Elsevier,,,Netherlands,Hybrid,3227,,Yes,No,Yes,0.487,Q3 (Biochemistry; Biophysics; Molecular Biology),212,No,1096-0309,0003-2697,0003-2697
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Analytical Cellular Pathology,https://onlinelibrary.wiley.com/journal/2641,For-profit,John Wiley & Sons,,,UK,OA,1343,,Yes,e-ISSN match,No,0.709,Q2 (Medicine; Pathology and Forensic Medicine),41,No,2210-7185,2210-7177,2210-7177
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Analytical Chemistry,https://pubs.acs.org/journal/ancham,Non-profit,American Chemical Society (ACS),American Chemical Society (ACS),Society/Association,USA,Hybrid,3448,,Yes,No,Yes,1.358,Q1 (Analytical Chemistry),390,No,1520-6882,0003-2700,0003-2700
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Annals of Clinical Biochemistry,https://journals.sagepub.com/home/acb,For-profit Society-Run,Sage Publishing,Association for Laboratory Medicine,Society/Association,USA,,,,Yes,No,No,0.53,Q2 (Medicine),97,No,1758-1001,0004-5632,0004-5632
Molecular & Cellular Biology,Pharmacology and Toxicology,Annals of Pharmacotherapy,https://journals.sagepub.com/home/aop,For-profit,Sage Publishing,,,USA,,,,Yes,No,No,0.815,Q2 (Medicine; Pharmacology),129,No,1542-6270,1060-0280,1060-0280
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Annual Review of Biochemistry,https://www.annualreviews.org/content/journals/biochem,Non-profit,Annual Reviews,,,USA,Subscription,,,Yes,No,No,11.213,Q1 (Biochemistry),342,No,1545-4509,0066-4154,0066-4154
Molecular & Cellular Biology,Microbiology and Infectious Diseases,Annual Review of Cell and Developmental Biology,https://www.annualreviews.org/journal/cellbio,Non-profit,Annual Reviews,,,USA,,,,Yes,No,No,7.701,Q1 (Cell Biology; Developmental Biology),255,No,1530-8995,1081-0706,1081-0706
Molecular & Cellular Biology,Microbiology and Infectious Diseases,Annual Review of Microbiology,https://www.annualreviews.org/content/journals/micro,Non-profit,Annual Reviews,,,USA,,,,Yes,No,No,5.052,Q1 (Medicine; Microbiology),229,No,1545-3251,0066-4227,0066-4227
Molecular & Cellular Biology,Pharmacology and Toxicology,Annual Review of Pharmacology and Toxicology,https://www.annualreviews.org/content/journals/pharmtox,Non-profit,Annual Reviews,,,USA,Hybrid,4247,,Yes,No,No,4.927,Q1 (Pharmacology; Toxicology),240,No,1545-4304,0362-1642,0362-1642
Molecular & Cellular Biology,Microbiology and Infectious Diseases,Antimicrobial Agents and Chemotherapy,https://journals.asm.org/journal/aac,Non-profit,American Society for Microbiology (ASM),American Society for Microbiology (ASM),Society/Association,USA,Hybrid,3154,,Yes,No,Yes,1.473,Q1 (Infectious Diseases; Pharmacology),309,No,1098-6596,0066-4804,0066-4804
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Antioxidants and Redox Signaling,https://home.liebertpub.com/publications/antioxidants-and-redox-signaling/4/overview,For-profit,Sage Publishing (Mary Ann Liebert),,,USA,Hybrid,3600,,Yes,No,Yes,1.82,Q1 (Biochemistry; Cell Biology; Clinical Biochemistry; Medicine; Molecular Biology; Physiology),252,No,1557-7716,1523-0864,1523-0864
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Apoptosis,https://link.springer.com/journal/10495,For-profit,Springer Nature,,,Germany / UK,Hybrid,4220,,Yes,No,Yes,2.242,Q1 (Biochemistry; Cancer Research; Cell Biology; Clinical Biochemistry; Pharmaceutical Science; Pharmacology),138,No,1573-675X,1360-8185,1360-8185
Molecular & Cellular Biology,Microbiology and Infectious Diseases,Applied and Environmental Microbiology,https://journals.asm.org/journal/aem,Non-profit,American Society for Microbiology (ASM),American Society for Microbiology (ASM),Society/Association,USA,Hybrid,1744,,Yes,Yes,Yes,1.203,Q1 (Applied Microbiology and Biotechnology; Biotechnology; Ecology; Food Science),392,No,1098-5336,0099-2240,0099-2240
Molecular & Cellular Biology,Pharmacology and Toxicology,Aquatic Toxicology,https://www.sciencedirect.com/journal/aquatic-toxicology,For-profit,Elsevier,,,Netherlands,Hybrid,3539,,Yes,No,No,1.297,"Q1 (Aquatic Science; Health, Toxicology and Mutagenesis)",179,No,1879-1514,0166-445X,0166-445X
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Archives of Biochemistry and Biophysics,https://www.sciencedirect.com/journal/archives-of-biochemistry-and-biophysics,For-profit,Elsevier,,,Netherlands,Hybrid,1584,,Yes,No,Yes,0.909,Q1 (Biophysics),205,No,1096-0384,0003-9861,0003-9861
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Archives of Physiology and Biochemistry,https://www.tandfonline.com/journals/iarp20,For-profit,Taylor & Francis Group,,,UK,,,,Yes,No,No,0.764,Q2 (Medicine; Physiology),64,No,1744-4160,1381-3455,1381-3455
Molecular & Cellular Biology,Pharmacology and Toxicology,Archives of Toxicology,https://link.springer.com/journal/204,For-profit,Springer Nature,,,Germany / UK,Hybrid,2519,,Yes,No,No,1.922,"Q1 (Health, Toxicology and Mutagenesis; Medicine; Toxicology)",159,No,1432-0738,0340-5761,0340-5761
Molecular & Cellular Biology,Pharmacology and Toxicology,Asian Journal of Pharmaceutical Sciences,https://www.sciencedirect.com/journal/asian-journal-of-pharmaceutical-sciences,For-profit Society-Run,Elsevier,Asian Federation for Pharmaceutical Sciences (AFPS); Shenyang Pharmaceutical University,,Netherlands,OA diamond,0,,Yes,Yes,No,2.196,Q1 (Pharmaceutical Science; Pharmacology),87,No,2221-285X,1818-0876,1818-0876
Molecular & Cellular Biology,Microbiology and Infectious Diseases,ASM Animal Microbiology,https://journals.asm.org/journal/asm-animal-microbiology,Non-profit,American Society for Microbiology (ASM),American Society for Microbiology (ASM),Society/Association,USA,,,,No,No,No,,,,No,3068-5265,,3068-5265
Molecular & Cellular Biology,Neuroscience and Neurobiology,ASN Neuro,https://www.tandfonline.com/journals/tasn20,For-profit Society-Run,Taylor & Francis Group,American Society for Neurochemistry,Society/Association,UK,OA,1276,,Yes,Yes,Yes,1.322,Q1 (Neurology; Neuroscience),62,No,1759-0914,1759-0914,1759-0914
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Autophagy,https://www.tandfonline.com/journals/kaup20,For-profit,Taylor & Francis Group,,,USA,Hybrid,4882,,Yes,No,Yes,4.505,Q1 (Cell Biology; Molecular Biology),216,No,1554-8635,1554-8627,1554-8627
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Basic Research in Cardiology,https://link.springer.com/journal/395,For-profit,Springer Nature,,,Germany / UK,Hybrid,3645,,Yes,No,Yes,2.891,Q1 (Cardiology and Cardiovascular Medicine; Physiology),118,No,1435-1803,0300-8428,0300-8428
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biochemical Journal,https://portlandpress.com/biochemj,Non-profit,Portland Press Ltd,The Biochemical Society,Society/Association,UK,Hybrid,2264,,Yes,No,No,1.583,Q1 (Biochemistry; Molecular Biology),304,No,1470-8728,0264-6021,0264-6021
Molecular & Cellular Biology,Pharmacology and Toxicology,Biochemical Pharmacology,https://www.sciencedirect.com/journal/biochemical-pharmacology,For-profit,Elsevier,,,Netherlands,Hybrid,3799,,Yes,No,Yes,1.687,Q1 (Biochemistry; Pharmacology),234,No,1873-2968,0006-2952,0006-2952
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biochemical Society Transactions,https://portlandpress.com/biochemsoctrans,Non-profit,Portland Press Ltd,The Biochemical Society,Society/Association,UK,Hybrid,3057,,Yes,No,Yes,1.818,Q1 (Biochemistry),171,No,1470-8752,0300-5127,0300-5127
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biochemistry,https://pubs.acs.org/journal/bichaw?ref=breadcrumb,Non-profit,American Chemical Society (ACS),American Chemical Society (ACS),Society/Association,USA,Hybrid,4286,,ISSN-L match,No,Yes,1.065,Q2 (Biochemistry),289,No,1520-4995,0006-2960,0006-2960
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biochemistry and Cell Biology,https://www.sciencedirect.com/org/journal/biochemistry-and-cell-biology,Non-profit,Canadian Science Publishing,Canadian Science Publishing,Non-profit,Canada,,,,Yes,No,No,0.676,Q2 (Biochemistry),107,No,1208-6002,0829-8211,0829-8211
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biochimica et Biophysica Acta - Bioenergetics,https://www.sciencedirect.com/journal/biochimica-et-biophysica-acta-bba-bioenergetics,For-profit,Elsevier,,,Netherlands,Hybrid,3080,,Yes,No,No,0.943,Q1 (Biophysics),203,No,1879-2650,0005-2728,0005-2728
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biochimica et Biophysica Acta - Biomembranes,https://www.sciencedirect.com/journal/biochimica-et-biophysica-acta-bba-biomembranes,For-profit,Elsevier,,,Netherlands,Hybrid,3630,,Yes,No,Yes,0.744,Q2 (Biochemistry; Biophysics),228,No,1879-2642,0005-2736,0005-2736
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biochimica et Biophysica Acta - Gene Regulatory Mechanisms,https://www.sciencedirect.com/journal/biochimica-et-biophysica-acta-bba-gene-regulatory-mechanisms,For-profit,Elsevier,,,Netherlands,Hybrid,2733,,Yes,No,No,1.069,Q1 (Biophysics),152,No,1876-4320,1874-9399,1874-9399
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids,https://www.sciencedirect.com/journal/biochimica-et-biophysica-acta-bba-molecular-and-cell-biology-of-lipids,For-profit,Elsevier,,,Netherlands,Hybrid,1950,,Yes,No,Yes,1.245,Q2 (Cell Biology; Molecular Biology),191,No,1879-2618,1388-1981,1388-1981
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biochimica et Biophysica Acta - Molecular Basis of Disease,https://www.sciencedirect.com/journal/biochimica-et-biophysica-acta-bba-molecular-basis-of-disease,For-profit,Elsevier,,,Netherlands,Hybrid,3974,,Yes,No,Yes,1.454,Q1 (Molecular Medicine),200,No,1879-260X,0925-4439,0925-4439
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biochimica et Biophysica Acta - Molecular Cell Research,https://www.sciencedirect.com/journal/biochimica-et-biophysica-acta-bba-molecular-cell-research,For-profit,Elsevier,,,Netherlands,Hybrid,3665,,Yes,No,Yes,1.495,Q1 (Molecular Biology),216,No,1879-2596,0167-4889,0167-4889
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biochimie,https://www.sciencedirect.com/journal/biochimie,For-profit Society-Run,Elsevier,Société Française de Biochimie et Biologie Moléculaire,Society/Association,Netherlands,Hybrid,1913,,Yes,No,Yes,0.978,Q1 (Medicine),168,No,,0300-9084,0300-9084
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Bioconjugate Chemistry,https://pubs.acs.org/journal/bcches,Non-profit,American Chemical Society (ACS),American Chemical Society (ACS),Society/Association,USA,Hybrid,2721,,Yes,No,No,0.947,Q1 (Organic Chemistry; Pharmaceutical Science),204,No,1520-4812,1043-1802,1043-1802
Molecular & Cellular Biology,Pharmacology and Toxicology,BioDrugs,https://link.springer.com/journal/40259,For-profit,Springer Nature,,,Germany / UK,Hybrid,2663,,Yes,No,No,2.628,Q1 (Biotechnology; Medicine; Pharmacology),90,No,1179-190X,1173-8804,1173-8804
Molecular & Cellular Biology,Miscellaneous / Interdisciplinary,BioEssays,https://onlinelibrary.wiley.com/journal/15211878,For-profit,John Wiley & Sons,,,USA,Hybrid,2798,,Yes,No,No,1.151,"Q1 (Biochemistry, Genetics and Molecular Biology)",213,No,1521-1878,0265-9247,0265-9247
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biofactors,https://iubmb.onlinelibrary.wiley.com/journal/18728081,For-profit Society-Run,John Wiley & Sons,International Union of Biochemistry and Molecular Biology (IUBMB),,USA,Hybrid,3050,,Yes,No,No,1.361,Q1 (Biochemistry; Clinical Biochemistry; Medicine; Molecular Medicine),125,No,1872-8081,0951-6433,0951-6433
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Bioinorganic Chemistry and Applications,https://onlinelibrary.wiley.com/journal/4036,For-profit,John Wiley & Sons,,,UK,OA,1091,,Yes,Yes,No,0.816,Q1 (Inorganic Chemistry; Organic Chemistry),57,No,1687-479X,1565-3633,1687-479X
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biological Chemistry,https://www.degruyterbrill.com/journal/key/bchm/html,For-profit,De Gruyter Brill,,,Germany,Hybrid,2737,,Yes,No,Yes,1.052,Q1 (Clinical Biochemistry),137,No,1437-4315,1431-6730,1431-6730
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biological Chemistry and Chemical Biology,https://pubs.acs.org/biological-chemistry-chemical-biology,Non-profit,American Chemical Society (ACS),American Chemical Society (ACS),Society/Association,USA,,,,No,No,No,,,,No,,,
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Biology of the Cell,https://onlinelibrary.wiley.com/journal/1768322x,For-profit Society-Run,John Wiley & Sons,Société Française des Microscopies; Société de Biologie Cellulaire de France,Society/Association,USA,Hybrid,2720,,Yes,No,No,0.931,Q1 (Medicine),99,No,1768-322X,0248-4900,0248-4900
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biometals,https://link.springer.com/journal/10534,For-profit Society-Run,Springer Nature,International Biometals Society,Society/Association,Germany / UK,Hybrid,2618,,Yes,No,No,0.783,Q1 (Agricultural and Biological Sciences; Inorganic Chemistry; Metals and Alloys),127,No,1572-8773,0966-0844,0966-0844
Molecular & Cellular Biology,Structural Biology and Biophysics,Biomicrofluidics,https://pubs.aip.org/aip/bmf,Non-profit,American Institute of Physics (AIP) Publishing,,,USA,Hybrid,2618,,Yes,No,No,0.499,Q2 (Condensed Matter Physics; Fluid Flow and Transfer Processes; Materials Science; Physical and Theoretical Chemistry),86,No,1932-1058,,1932-1058
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Biomolecules and Therapeutics,https://koreascience.kr/journal/OOOMB4/v13n1.do,Non-profit,The Korean Society of Applied Pharmacology,The Korean Society of Applied Pharmacology,Society/Association,Republic of Korea (South Korea),Hybrid,619,,Yes,No,No,0.969,Q2 (Biochemistry; Drug Discovery; Molecular Medicine; Pharmacology),66,No,2005-4483,1976-9148,1976-9148
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Bioorganic and Medicinal Chemistry,https://www.sciencedirect.com/journal/bioorganic-and-medicinal-chemistry,For-profit,Elsevier,,,Netherlands,Hybrid,2342,,Yes,No,No,0.582,Q2 (Drug Discovery; Organic Chemistry; Pharmaceutical Science),198,No,1464-3391,0968-0896,0968-0896
Molecular & Cellular Biology,Pharmacology and Toxicology,Biopharmaceutics & Drug Disposition,https://onlinelibrary.wiley.com/journal/1099081X,For-profit,John Wiley & Sons,,,USA,Hybrid,2709,,Yes,No,No,0.54,Q2 (Medicine; Pharmaceutical Science),72,No,1099-081X,0142-2782,0142-2782
Molecular & Cellular Biology,Structural Biology and Biophysics,Biopolymers,https://onlinelibrary.wiley.com/journal/10970282,For-profit,John Wiley & Sons,,,USA,Hybrid,2434,,Yes,No,No,0.444,Q2 (Organic Chemistry),147,No,1097-0282,0006-3525,0006-3525
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Biorheology,https://journals.sagepub.com/home/brha,For-profit,Sage Publishing (IOS Press),,,Germany / UK,,,,Yes,No,No,0.319,Q3 (Physiology),76,No,1878-5034,0006-355X,0006-355X
Molecular & Cellular Biology,Cell Biology and Developmental Biology,"Blood Cells, Molecules, and Diseases",https://www.sciencedirect.com/journal/blood-cells-molecules-and-diseases,For-profit,Elsevier,,,Netherlands,Hybrid,3257,,Yes,No,No,0.852,Q2 (Hematology; Molecular Biology; Molecular Medicine),105,No,1096-0961,1079-9796,1079-9796
Molecular & Cellular Biology,Biochemistry and Molecular Biology,BMB Reports,https://koreascience.kr/journal/E1MBB7/v45n6.do,Non-profit,Korean Society for Microbiology and Biotechnology (KSBMB),Korean Society for Biochemistry and Molecular Biology (KSBMB),Society/Association,Republic of Korea (South Korea),OA,1234,,Yes,Yes,Yes,1.256,Q1 (Biochemistry; Medicine),104,No,1976-670X,1976-6696,1976-6696
Molecular & Cellular Biology,Microbiology and Infectious Diseases,BMC Microbiology,https://bmcmicrobiol.biomedcentral.com/,For-profit,Springer Nature (BioMed Central),,,UK,OA,2475,,Yes,Yes,Yes,1.141,Q1 (Microbiology),157,No,1471-2180,,1471-2180
Molecular & Cellular Biology,Cell Biology and Developmental Biology,BMC Molecular and Cell Biology,https://bmcmolcellbiol.biomedcentral.com/,For-profit,Springer Nature (BioMed Central),,,UK,OA,1833,,Yes,Yes,No,0.812,Q3 (Cell Biology; Molecular Biology),28,No,2661-8850,,2661-8850
Molecular & Cellular Biology,Pharmacology and Toxicology,British Journal of Pharmacology,https://bpspubs.onlinelibrary.wiley.com/journal/14765381,For-profit Society-Run,John Wiley & Sons,British Pharmacological Society,Society/Association,USA,Hybrid,4619,,Yes,No,Yes,2.515,Q1 (Pharmacology),262,No,1476-5381,0007-1188,0007-1188
Molecular & Cellular Biology,Pharmacology and Toxicology,Canadian Journal of Physiology and Pharmacology,https://cdnsciencepub.com/journal/cjpp,Non-profit,Canadian Science Publishing,Canadian Science Publishing,Non-profit,Canada,,,,Yes,No,No,0.468,Q3 (Medicine; Pharmacology; Physiology),101,No,1205-7541,0008-4212,0008-4212
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Cell,https://www.cell.com/cell,For-profit,Elsevier (Cell Press),,,USA,Hybrid,8900,,Yes,No,Yes,24.592,"Q1 (Biochemistry, Genetics and Molecular Biology)",956,No,1097-4172,0092-8674,0092-8674
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Cell Adhesion and Migration,https://www.tandfonline.com/journals/kcam20,For-profit,Taylor & Francis Group,,,USA,OA,2361,,Yes,Yes,Yes,1.187,Q2 (Cell Biology; Cellular and Molecular Neuroscience),84,No,1933-6926,1933-6918,1933-6918
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Cell and Bioscience,https://cellandbioscience.biomedcentral.com/,For-profit Society-Run,Springer Nature (BioMed Central),Society of Chinese Bioscientists in America (SCBA),Society/Association,UK,OA,2364,,Yes,Yes,Yes,2.068,"Q1 (Biochemistry, Genetics and Molecular Biology)",89,No,2045-3701,,2045-3701
Molecular & Cellular Biology,Methodology and Experimental Techniques,Cell and Tissue Banking,https://link.springer.com/journal/10561,For-profit,Springer Nature,,,Germany / UK,Hybrid,3375,,Yes,No,Yes,0.554,Q2 (Transplantation),58,No,1573-6814,1389-9333,1389-9333
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Cell and Tissue Research,https://link.springer.com/journal/441,For-profit,Springer Nature,,,Germany / UK,Hybrid,2870,,Yes,No,No,1.105,Q1 (Histology; Pathology and Forensic Medicine),170,No,1432-0878,0302-766X,0302-766X
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Cell Biochemistry and Function,https://analyticalsciencejournals.onlinelibrary.wiley.com/journal/10990844,For-profit,John Wiley & Sons,,,USA,Hybrid,2332,,Yes,No,No,0.831,Q2 (Biochemistry; Clinical Biochemistry; Medicine),79,No,1099-0844,0263-6484,0263-6484
Molecular & Cellular Biology,Miscellaneous / Interdisciplinary,Cell Biology and Toxicology,https://link.springer.com/journal/10565,For-profit,Springer Nature,,,Germany / UK,OA,2770,,Yes,No,No,1.658,"Q1 (Cell Biology; Health, Toxicology and Mutagenesis; Toxicology)",80,No,1573-6822,0742-2091,0742-2091
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Cell Biology International,https://onlinelibrary.wiley.com/journal/10958355,For-profit Society-Run,John Wiley & Sons,International Federation for Cell Biology,,USA,Hybrid,2463,,Yes,No,No,0.913,Q1 (Medicine),97,No,1095-8355,1065-6995,1065-6995
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Cell Calcium,https://www.sciencedirect.com/journal/cell-calcium,For-profit,Elsevier,,,Netherlands,Hybrid,2946,,Yes,No,No,1.545,Q1 (Molecular Biology; Physiology),135,No,1532-1991,0143-4160,0143-4160
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Cell Chemical Biology,https://www.cell.com/cell-chemical-biology/home,For-profit,Elsevier (Cell Press),,,USA,Hybrid,8133,,Yes,No,Yes,3.427,Q1 (Biochemistry; Clinical Biochemistry; Drug Discovery; Molecular Biology; Molecular Medicine; Pharmacology),223,No,2451-9448,2451-9456,2451-9448
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Cell Communication and Signaling,https://biosignaling.biomedcentral.com/,For-profit,Springer Nature (BioMed Central),,,UK,OA,3301,,Yes,Yes,Yes,2.898,Q1 (Biochemistry; Cell Biology; Molecular Biology),113,No,1478-811X,,1478-811X
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Cell Cycle,https://www.tandfonline.com/journals/kccy20,For-profit,Taylor & Francis Group,,,USA,Hybrid,4480,,Yes,No,Yes,0.943,Q1 (Medicine),182,No,1551-4005,1538-4101,1551-4005
