Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Cancer Biology,Thoracic and Respiratory Cancer,Clinical Lung Cancer,https://www.journals.elsevier.com/clinical-lung-cancer,For-profit,Elsevier,,,Netherlands,Hybrid,3379,,Yes,No,Yes,1.362,Q1 (Oncology; Pulmonary and Respiratory Medicine),83,No,1938-0690,1525-7304,1525-7304
Cancer Biology,Hematopoietic and Cardiovascular Cancer,"Clinical Lymphoma, Myeloma & Leukemia",https://www.clinical-lymphoma-myeloma-leukemia.com/,For-profit Society-Run,Elsevier,Society of Hematologic Oncology; European Society for Medical Oncology (ESMO); International Myeloma Society,Society/Association,Netherlands,Hybrid,2390,,Yes,No,No,0.615,Q2 (Hematology),71,No,2152-2669,2152-2650,2152-2669
Cancer Biology,Generalist,Critical Reviews in Oncology/Hematology,https://www.journals.elsevier.com/critical-reviews-in-oncology-hematology,For-profit,Elsevier,,,Netherlands,Hybrid,4077,,Yes,No,Yes,1.977,Q1 (Geriatrics and Gerontology; Hematology; Oncology),160,No,1879-0461,1040-8428,1040-8428
Cancer Biology,Breast Cancer,Current Breast Cancer Reports,https://link.springer.com/journal/12609,For-profit,Springer Nature,,,Germany / UK,Hybrid,2584,,Yes,No,No,0.402,Q3 (Oncology),28,No,1943-4596,1943-4588,1943-4588
Cancer Biology,Generalist,Discover Oncology,https://link.springer.com/journal/12672,For-profit,Springer Nature,,,Switzerland,OA,1391,,Yes,Yes,Yes,0.731,Q2 (Oncology),50,No,2730-6011,,2730-6011
Cancer Biology,Treatment,Drug Resistance Updates,https://www.journals.elsevier.com/drug-resistance-updates,For-profit,Elsevier,,,Netherlands,Hybrid,3755,,Yes,No,No,5.279,Q1 (Cancer Research; Infectious Diseases; Oncology; Pharmacology),148,No,1532-2084,1368-7646,1368-7646
Cancer Biology,Endocrine System Cancer,Endocrine Related Cancer,https://erc.bioscientifica.com/,Non-profit,Bioscientifica Ltd,Society for Endocrinology,Society/Association,UK,Hybrid,2090,,Yes,No,Yes,1.544,"Q1 (Endocrinology; Endocrinology, Diabetes and Metabolism; Oncology)",154,No,1479-6821,1351-0088,1351-0088
Cancer Biology,Generalist,ESMO Open,https://esmoopen.bmj.com/,For-profit Society-Run,Elsevier,European Society for Medical Oncology,Society/Association,Netherlands,OA,2440,,Yes,Yes,Yes,3.455,Q1 (Cancer Research; Oncology),81,No,2059-7029,2059-7029,2059-7029
Cancer Biology,Generalist,European Journal of Cancer,https://www.ejcancer.com/,For-profit,Elsevier,,,Netherlands,Hybrid,3470,,Yes,No,Yes,2.692,Q1 (Cancer Research; Oncology),263,No,1879-0852,0959-8049,0959-8049
Cancer Biology,Hematopoietic and Cardiovascular Cancer,Experimental Hematology and Oncology,https://ehoonline.biomedcentral.com/,For-profit,Springer Nature (BioMed Central),,,UK,OA,2955,,Yes,Yes,Yes,4.126,Q1 (Cancer Research; Hematology; Oncology),58,No,2162-3619,,2162-3619
Cancer Biology,Genetics,Familial Cancer,https://link.springer.com/journal/10689,For-profit Society-Run,Springer Nature,International Society for Gastrointestinal Hereditary Tumours (InSIGHT); Breast Cancer Linkage Consortium (BCLC),Society/Association,Germany / UK,Hybrid,2121,,Yes,No,No,0.849,Q2 (Genetics; Oncology),72,No,1573-7292,1389-9600,1389-9600
Cancer Biology,Generalist,FEBS Letters,https://febs.onlinelibrary.wiley.com/journal/18733468,For-profit Society-Run,John Wiley & Sons,Federation of European Biochemical Societies (FEBS),Society/Association,USA,Hybrid,3199,,Yes,No,Yes,1.181,Q1 (Biochemistry; Biophysics),295,No,1873-3468,0014-5793,0014-5793
Cancer Biology,Generalist,Frontiers in Oncology,https://www.frontiersin.org/journals/oncology,Predatory For-profit,Frontiers Media SA,,,Switzerland,OA,2476,,Yes,Yes,Yes,1.02,Q2 (Cancer Research; Oncology),173,No,2234-943X,,2234-943X
Cancer Biology,Gastrointestinal cancer,Gastric Cancer,https://link.springer.com/journal/10120,For-profit Society-Run,Springer Nature,Japanese Gastric Cancer Association; International Gastric Cancer Association,Society/Association,Germany / UK,Hybrid,3745,,Yes,No,Yes,2.489,Q1 (Cancer Research; Gastroenterology; Medicine; Oncology),114,No,1436-3305,1436-3291,1436-3291
Cancer Biology,Genetics,Genes and Cancer,https://www.genesandcancer.com/,For-profit,Rapamycin Press LLC (Impact Journals),,,USA,,,,Yes,No,No,1.517,Q1 (Genetics),88,No,1947-6027,1947-6019,1947-6019
Cancer Biology,Genetics,"Genes, Chromosomes and Cancer",https://onlinelibrary.wiley.com/journal/10982264,For-profit,John Wiley & Sons,,,USA,Hybrid,2453,,Yes,No,No,1.31,Q1 (Genetics),137,No,1098-2264,1045-2257,1045-2257
Cancer Biology,Gastrointestinal cancer,Gut Microbes,https://www.tandfonline.com/journals/kgmi20,For-profit,Taylor & Francis Group,,,USA,OA,3760,,Yes,Yes,Yes,4.109,Q1 (Gastroenterology; Infectious Diseases; Microbiology),147,No,1949-0984,1949-0976,1949-0976
Cancer Biology,Gastrointestinal cancer,Gut Microbes Reports,https://www.tandfonline.com/journals/kgmr20,For-profit,Taylor & Francis Group,,,UK,Hybrid,1615,,No,Yes,No,,,,No,2993-3935,,
Cancer Biology,Generalist,Gynecologic Oncology,https://www.sciencedirect.com/journal/gynecologic-oncology,For-profit Society-Run,Elsevier,Society of Gynecologic Oncology (SGO),Society/Association,Netherlands,Hybrid,3239,,Yes,No,No,1.81,Q1 (Obstetrics and Gynecology; Oncology),198,No,1095-6859,0090-8258,0090-8258
Cancer Biology,Hematopoietic and Cardiovascular Cancer,HemaSphere,https://onlinelibrary.wiley.com/journal/25729241,For-profit Society-Run,John Wiley & Sons,European Hematology Association (EHA),Society/Association,USA,OA,1943,,Yes,Yes,Yes,2.001,Q1 (Hematology),42,No,2572-9241,2572-9241,2572-9241
Cancer Biology,Hematopoietic and Cardiovascular Cancer,Hematological Oncology,https://onlinelibrary.wiley.com/journal/10991069,For-profit,John Wiley & Sons,,,USA,Hybrid,2959,,Yes,No,No,1.073,Q1 (Hematology; Medicine),59,No,1099-1069,0278-0232,0278-0232
Cancer Biology,Gastrointestinal cancer,Hépato-Gastro et Oncologie Digestive,https://www.jle.com/fr/revues/hpg/revue.phtml,For-profit,John Libbey Eurotext,,,France,,,,Yes,No,No,0.107,Q4 (Gastroenterology; Hepatology; Oncology),7,No,2115-5631,2115-3310,2115-3310
Cancer Biology,Treatment,Integrative Cancer Therapies,https://journals.sagepub.com/home/icta,For-profit,Sage Publishing,,,USA,OA,1868,,Yes,Yes,Yes,0.727,Q1 (Complementary and Alternative Medicine),79,No,1552-695X,1534-7354,1534-7354
Cancer Biology,Generalist,International Angiology,https://www.minervamedica.it/en/journals/international-angiology/,For-profit,Edizioni Minerva Medica,International Union of Angiology; International Union of Phlebology,,Italy,Hybrid,1744,,Yes,No,Yes,0.455,Q3 (Cardiology and Cardiovascular Medicine),67,No,1827-1839,0392-9590,0392-9590
Cancer Biology,Treatment,International Journal of Antimicrobial Agents,https://www.sciencedirect.com/journal/international-journal-of-antimicrobial-agents,For-profit Society-Run,Elsevier,International Society of Antimicrobial Chemotherapy,Society/Association,Netherlands,Hybrid,3617,,Yes,No,Yes,1.301,Q1 (Infectious Diseases; Medicine; Microbiology; Pharmacology),167,No,1872-7913,0924-8579,0924-8579
Cancer Biology,Generalist,International Journal of Cancer,https://onlinelibrary.wiley.com/journal/10970215,For-profit,John Wiley & Sons,,,USA,Hybrid,4552,,Yes,No,Yes,1.901,Q1 (Cancer Research; Oncology),275,No,1097-0215,0020-7136,0020-7136
Cancer Biology,Generalist,International Journal of Gynecological Cancer,https://www.sciencedirect.com/journal/international-journal-of-gynecological-cancer,For-profit Society-Run,Elsevier,European Society of Gynaecological Oncology (ESGO); International Gynecologic Cancer Society (IGCS),Society/Association,Netherlands,Hybrid,3292,,Yes,No,Yes,1.401,Q1 (Obstetrics and Gynecology; Oncology),112,No,1525-1438,1048-891X,1048-891X
Cancer Biology,Treatment,International Journal of Hyperthermia,https://www.tandfonline.com/journals/ihyt20,For-profit Society-Run,Taylor & Francis Group,Society for Thermal Medicine; European Society for Hyperthermic Oncology; Japanese Society for Thermal Medicine,Society/Association,UK,OA,2486,,Yes,Yes,Yes,0.902,Q1 (Radiological and Ultrasound Technology),108,No,1464-5157,0265-6736,0265-6736
Cancer Biology,Treatment,International Journal of Radiation Oncology Biology Physics,https://www.redjournal.org/,For-profit,Elsevier,,,Netherlands,Hybrid,3992,,Yes,No,Yes,2.173,"Q1 (Cancer Research; Oncology; Radiation; Radiology, Nuclear Medicine and Imaging)",295,No,1879-355X,0360-3016,0360-3016
Cancer Biology,Hematopoietic and Cardiovascular Cancer,JACC CardioOncology,https://www.jacc.org/journal/cardio-oncology,Non-profit,American College of Cardiology (JACC),American College of Cardiology,,USA,OA,2631,,Yes,Yes,No,3.836,Q1 (Cardiology and Cardiovascular Medicine; Oncology),56,No,2666-0873,,2666-0873
Cancer Biology,Generalist,JAMA Oncology,https://jamanetwork.com/journals/jamaoncology,Non-profit,American Medical Association (AMA),American Medical Association (AMA),Society/Association,USA,Hybrid,5136,,Yes,No,Yes,7.399,Q1 (Cancer Research; Oncology),208,No,2374-2445,2374-2437,2374-2437
Cancer Biology,Generalist,JCO Precision Oncology,https://ascopubs.org/journal/po,Non-profit,American Society of Clinical Oncology (ASCO) Publications,,,USA,Hybrid,2731,,Yes,No,Yes,2.082,Q1 (Cancer Research; Oncology),65,No,2473-4284,,2473-4284
Cancer Biology,Generalist,JNCI Cancer Spectrum,https://academic.oup.com/jncics,University Press,Oxford University Press (OUP),,,UK,OA,2134,,Yes,Yes,Yes,1.72,Q1 (Oncology),46,No,2515-5091,,2515-5091
Cancer Biology,Treatment,Journal for ImmunoTherapy of Cancer,https://jitc.bmj.com/,Non-profit,BMJ Group,Society for Immunotherapy of Cancer (SITC); British Medical Association (BMA),Society/Association,UK,OA,3181,,Yes,Yes,Yes,4.114,Q1 (Cancer Research; Immunology; Immunology and Allergy; Molecular Medicine; Oncology; Pharmacology),155,No,2051-1426,,2051-1426
Cancer Biology,Bone and muscle sarcoma,Journal of Bone Oncology,https://www.sciencedirect.com/journal/journal-of-bone-oncology,For-profit Society-Run,Elsevier,Cancer and Bone Society,Society/Association,Netherlands,OA,1902,,Yes,Yes,Yes,1.087,Q2 (Oncology),46,No,2212-1374,2212-1374,2212-1366
Cancer Biology,Generalist,Journal of Cancer Research & Therapeutics,https://journals.lww.com/cancerjournal/,For-profit Society-Run,Wolters Kluwer,the Association of Radiation Oncologists of India,Society/Association,Netherlands,OA,,,Yes,No,No,0.425,"Q3 (Medicine; Oncology; Radiology, Nuclear Medicine and Imaging)",58,No,1998-4138,0973-1482,1998-4138
Cancer Biology,Generalist,Journal of Carcinogenesis,https://carcinogenesis.com,For-profit,Wolters Kluwer,,,Netherlands,OA,,,No,No,No,0.445,"Q3 (Health, Toxicology and Mutagenesis; Oncology)",45,No,1477-3163,0974-6773,1477-3163
Cancer Biology,Hematopoietic and Cardiovascular Cancer,Journal of Cardio-Oncology,https://journals.lww.com/jcardiooncol/pages/default.aspx,For-profit Society-Run,Wolters Kluwer (Lippincott),Chinese Medical Association,Society/Association,Netherlands / USA,OA,,,No,No,No,,,,No,3066-8735,2097-4728,2097-4728
Cancer Biology,Generalist,Journal of Clinical Oncology,https://ascopubs.org/journal/jco,Non-profit,American Society of Clinical Oncology,American Society of Clinical Oncology,Society/Association,USA,Hybrid,4341,,Yes,No,Yes,4.648,Q1 (Cancer Research; Medicine; Oncology),666,No,1527-7755,0732-183X,0732-183X
Cancer Biology,Generalist,"Journal of Environmental Science and Health, Part C: Toxicology and Carcinogenesis",https://www.tandfonline.com/journals/lesc20,For-profit,Taylor & Francis Group,,,USA,Hybrid,,,Yes,No,No,0.745,"Q2 (Health, Toxicology and Mutagenesis)",64,No,2689-6591,,
Cancer Biology,Generalist,Journal of Experimental & Clinical Cancer Research,https://jeccr.biomedcentral.com/,For-profit,Springer Nature (BioMed Central),Regina Elena National Cancer Institute,University/Government,UK,OA,3631,,Yes,Yes,Yes,3.731,Q1 (Cancer Research; Oncology),152,No,1756-9966,0392-9078,1756-9966
