Journal,Field,Publisher,Publisher type,Business model,Institution,Institution type,Country,Website,APC Euros,Scimago Rank,Scimago Quartile,H index,PCI partner
Conservation Science and Practice,applied_ecology,John Wiley & Sons,For-profit Society-Run,OA,The Society for Conservation Biology,Society,USA,https://conbio.onlinelibrary.wiley.com/journal/25784854,1503,1.069,Q1 (Ecology; Environmental Science; Nature and Landscape Conservation),36,No
Ecography,applied_ecology,John Wiley & Sons,For-profit Society-Run,OA,Nordic Society Oikos,Society,UK,https://onlinelibrary.wiley.com/journal/16000587,2204,2.54,"Q1 (Ecology, Evolution, Behavior and Systematics)",161,No
Ecological Applications,applied_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,Ecological Society of America,Society,USA,https://esajournals.onlinelibrary.wiley.com/journal/19395582,2474,1.778,Q1 (Ecology),246,No
Ecological Solutions & Evidence,applied_ecology,John Wiley & Sons,For-profit Society-Run,OA,British Ecological Society,Society,UK,https://besjournals.onlinelibrary.wiley.com/journal/26888319,1522,0.835,Q1 (Ecology; Nature and Landscape Conservation),21,No
Ecology and Society,applied_ecology,Resilience Alliance/Ecology & Society,Non-profit,OA,Ecology & Society,Society,USA,https://ecologyandsociety.org/,1161,1.069,Q1 (Ecology),182,No
Elementa,applied_ecology,University of California Press,University Press,OA,University of California,Uni/Gov,Italy,https://online.ucpress.edu/elementa/,1787,1.353,Q1 (Atmospheric Science; Ecology; Environmental Engineering; Geology; Geotechnical Engineering and Engineering Geology; Oceanography),61,No
Environmental Science and Pollution Research,applied_ecology,Springer Nature,For-profit Society-Run,Hybrid,European Chemical Society,Society,Germany / UK,https://www.springer.com/journal/11356,2703,1.004,Q1 (Medicine; Pollution),212,No
Environmental Toxicology and Chemistry,applied_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,Society of Environmental Toxicology and Chemistry,Society,USA,https://setac.onlinelibrary.wiley.com/journal/15528618,2237,1.505,"Q1 (Environmental Chemistry; Health, Toxicology and Mutagenesis)",200,No
Frontiers in Ecology and the Environment,applied_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,Ecological Society of America,Society,USA,https://esajournals.onlinelibrary.wiley.com/journal/15409309,2548,3.513,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics)",209,No
Frontiers of Biogeography,applied_ecology,eScholarship,University Press Society-Run,OA,International Biogeography Society,Society,Bulgaria,https://escholarship.org/uc/fb,264,0.893,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics)",19,PCI friendly
Human-Wildlife Interactions,applied_ecology,Jack H Berryman Institute,University Press,OA,Utah State University,Uni/Gov,USA,https://digitalcommons.usu.edu/hwi/,1394,0.273,Q3 (Ecology; Nature and Landscape Conservation),26,No
ICES Journal of Marine Science,applied_ecology,Oxford University Press (OUP),University Press Society-Run,OA,International Council for the Exploration of the See,Society,UK,https://academic.oup.com/icesjms,3184,1.058,"Q1 (Aquatic Science; Ecology; Ecology, Evolution, Behavior and Systematics; Oceanography)",145,No
International Journal of Wildland Fire,applied_ecology,CSIRO publishing,Non-profit,Hybrid,International Association of Wildland Fire,Non-profit,,https://www.publish.csiro.au/wf,1095,0.789,Q1 (Ecology; Forestry),114,No
International Zoo Yearbook,applied_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,Zoological Society of London,Society,USA,https://zslpublications.onlinelibrary.wiley.com/journal/17481090,3000,0.39,,35,No
Invasive Plant Science and Management,applied_ecology,Cambridge University Press (CUP),University Press Society-Run,Hybrid,Weed Science Society of America,Society,UK,https://www.cambridge.org/core/journals/invasive-plant-science-and-management/information,2569,0.388,Q2 (Plant Science),39,No
Journal of Applied Ecology,applied_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,British Ecological Society,Society,USA,https://besjournals.onlinelibrary.wiley.com/journal/13652664,2188,1.898,Q1 (Ecology),216,No
Journal of Coastal Conservation,applied_ecology,Springer Nature,For-profit,Hybrid,Coastal & Marine Union,Non-profit,Germany / UK,https://www.springer.com/journal/11852,2290,0.521,Q2 (Ecology; Nature and Landscape Conservation; Oceanography),55,No
Journal of Economic Entomology,applied_ecology,Oxford University Press (OUP),University Press Society-Run,Hybrid,Entomological Society of America,Society,UK,https://academic.oup.com/jee/pages/About,2885,0.653,Q1 (Insect Science),123,No
Journal of Sustainable Agriculture and Environment,applied_ecology,John Wiley & Sons,For-profit Society-Run,OA,Global Initiative of Crop Microbiome and Sustainable Agriculture,Society,Australia,https://onlinelibrary.wiley.com/journal/2767035x,1698,0.861,Q1 (Agricultural and Biological Sciences; Agronomy and Crop Science; Ecology; Plant Science),11,No
Journal of Threatened Taxa,applied_ecology,Wildlife Information Liaison Development,Non-profit,OA,Wildlife Information Liaison Development,Society,India,https://www.threatenedtaxa.org/index.php/JoTT/aims_scope,196,0.262,"Q3 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics; Management, Monitoring, Policy and Law; Nature and Landscape Conservation)",17,No
Journal of Vegetation Science,applied_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,International Association for Vegetation Science,Society,USA,https://onlinelibrary.wiley.com/journal/16541103,4022,1.068,Q1 (Ecology; Plant Science),139,No
Journal of Wildlife Management,applied_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,The Wildlife Society,Society,USA,https://wildlife.onlinelibrary.wiley.com/journal/19372817?tabActivePane=undefined,2062,0.777,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics; Nature and Landscape Conservation)",128,No
Knowledge and Management of Aquatic Ecosystems,applied_ecology,EDP Science,For-profit,OA diamond,Office Francais de la Biodiversite,Uni/Gov,France,https://www.kmae-journal.org/,0,0.474,Q2 (Aquatic Science; Ecology; Nature and Landscape Conservation; Water Science and Technology),38,No
Landscape Ecology,applied_ecology,Springer Nature,For-profit Society-Run,Hybrid,International Association for Landscape Ecology,Society,Germany / UK,https://www.springer.com/journal/10980,3193,1.329,"Q1 (Ecology; Geography, Planning and Development; Nature and Landscape Conservation)",158,No
Management of Biological Invasions,applied_ecology,Regional Euro-Asian Biological Invasions Center,For-profit,OA,International Association for Open Knowledge on Invasive Alien Species,Non-profit,Finland,https://www.reabic.net/journals/mbi/Default.aspx,1059,0.434,"Q2 (Ecology; Ecology, Evolution, Behavior and Systematics)",34,No
Natural Areas Journal,applied_ecology,Natural Areas Association,Non-profit,Hybrid,Natural Areas Association,Non-profit,,https://naturalareas.org/submissions.php,3673,0.35,Q2 (Nature and Landscape Conservation),49,No
Nature Sciences Societes,applied_ecology,EDP Science,For-profit Society-Run,OA diamond,Association Natures Sciences Societes - Dialogues,Society,,https://www.nss-journal.org/fr/,0,0.17,Q3,23,No
NeoBiota,applied_ecology,Pensoft,For-profit Society-Run,OA,Neobiota - the European Group on Biological Invasions,Society,Bulgaria,https://neobiota.pensoft.net/,1032,1.061,"Q1 (Animal Science and Zoology; Aquatic Science; Ecological Modeling; Ecology; Ecology, Evolution, Behavior and Systematics; Insect Science; Plant Science)",41,No
Peer Community In Ecotoxicology and Environmental Chemistry,applied_ecology,Peer Community In,Non-profit,OA diamond,Peer Community In,Non-profit,France,https://ecotoxenvchem.peercommunityin.org/,0,,,,PCI
People & Nature,applied_ecology,John Wiley & Sons,For-profit Society-Run,OA,British Ecological Society,Society,UK,https://besjournals.onlinelibrary.wiley.com/journal/25758314,1844,1.621,"Q1 (Ecology, Evolution, Behavior and Systematics)",46,No
Perspectives in Ecology and Conservation,applied_ecology,Elsevier,For-profit,OA diamond,Brazilian Association for Ecological Science and Conservation,Non-profit,Netherlands,https://www.sciencedirect.com/journal/perspectives-in-ecology-and-conservation,0,1.446,"Q1 (Ecology; Management, Monitoring, Policy and Law; Nature and Landscape Conservation)",48,No
Phytobiomes Journal,applied_ecology,APS Publications,Non-profit,Hybrid,The American Phytopathological Society,Society,USA,https://apsjournals.apsnet.org/journal/pbiomes,1865,0.841,"Q1 (Agronomy and Crop Science; Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",32,No
Primate Conservation,applied_ecology,Conservation International,Non-profit,OA diamond,Conservation International,Society,,https://www.primate-sg.org/primate_conservation/,0,0.392,Q2 (Animal Science and Zoology; Nature and Landscape Conservation),19,No
Remote Sensing in Ecology and Conservation,applied_ecology,John Wiley & Sons,For-profit Society-Run,OA,Zoological Society of London,Society,UK,https://zslpublications.onlinelibrary.wiley.com/journal/20563485,2099,1.271,"Q1 (Computers in Earth Sciences; Ecology; Ecology, Evolution, Behavior and Systematics; Nature and Landscape Conservation)",45,No
Restoration Ecology,applied_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,Society for Ecological Restoration,Society,USA,https://onlinelibrary.wiley.com/journal/1526100x,3007,1.167,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics; Nature and Landscape Conservation)",123,No
Vegetation Classification and Survey,applied_ecology,Pensoft,For-profit Society-Run,OA,International Association for Vegetation Science,Society,Bulgaria,https://vcs.pensoft.net/,1209,0.911,"Q1 (Agricultural and Biological Sciences; Ecology, Evolution, Behavior and Systematics; Plant Science)",11,No
Weed Research,applied_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,European Weed Research Society,Society,USA,https://onlinelibrary.wiley.com/journal/13653180,3402,0.585,Q1 (Agronomy and Crop Science),89,No
Wildlife Biology,applied_ecology,John Wiley & Sons,For-profit Society-Run,OA,Nordic Society Oikos,Society,UK,https://onlinelibrary.wiley.com/journal/1903220x,1755,0.568,"Q2 (Ecology, Evolution, Behavior and Systematics; Management, Monitoring, Policy and Law; Nature and Landscape Conservation)",66,No
Wildlife Research,applied_ecology,CSIRO publishing,Non-profit,Hybrid,Commonwealth Scientific and Industrial Research Organisation,Uni/Gov,,https://www.publish.csiro.au/wr/AbouttheJournal,2500,0.593,"Q2 (Ecology, Evolution, Behavior and Systematics; Management, Monitoring, Policy and Law)",83,No
Wildlife Society Bulletin,applied_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,The Wildlife Society,Society,USA,https://wildlife.onlinelibrary.wiley.com/journal/23285540?tabActivePane=undefined,2496,0.514,Q2 (Nature and Landscape Conservation),92,No
Acta Amazonica,basic_ecology,Instituto Nacional de Pesquisas da Amazonia,Non-profit,OA diamond,Instituto Nacional de Pesquisas da Amazonia,Uni/Gov,Brazil,https://acta.inpa.gov.br/,0,0.32,Q2 (Agricultural and Biological Sciences),39,No
African Journal of Ecology,basic_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,The East African Wildlife Society,Society,USA,https://onlinelibrary.wiley.com/journal/13652028,2780,0.411,"Q2 (Ecology, Evolution, Behavior and Systematics)",65,No
Animal Behaviour,basic_ecology,Elsevier,For-profit Society-Run,Hybrid,Association for the Study of Animal Behaviour,Society,Netherlands,https://www.journals.elsevier.com/animal-behaviour,1675,0.815,"Q1 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",195,No
Annals of Forest Science,basic_ecology,Springer Nature,For-profit,OA,Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement,Uni/Gov,UK,https://annforsci.biomedcentral.com/,1842,0.698,Q1 (Forestry),95,PCI friendly
Archives of Sexual Behavior,basic_ecology,Springer Nature,For-profit Society-Run,Hybrid,International Academy of Sex Research,Society,Germany / UK,https://www.springer.com/journal/10508,2290,1.051,Q1 (Arts and Humanities; Psychology),140,No
Austral Ecology,basic_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,Ecological Society of Australia,Society,USA,https://onlinelibrary.wiley.com/journal/14429993,2583,0.666,"Q2 (Ecology; Ecology, Evolution, Behavior and Systematics)",101,No
Basic and Applied Ecology,basic_ecology,Elsevier,For-profit Society-Run,OA,Ecological Society of Germany / Austria and Switzerland,Society,Germany,https://www.journals.elsevier.com/basic-and-applied-ecology,1518,1.143,"Q1 (Ecology, Evolution, Behavior and Systematics)",101,No
Behavior Genetics,basic_ecology,Springer Nature,For-profit Society-Run,Hybrid,Behavior Genetics Association,Society,Germany / UK,https://www.springer.com/journal/10519,2282,0.702,"Q1 (Ecology, Evolution, Behavior and Systematics)",106,No
Behavioral Ecology,basic_ecology,Oxford University Press (OUP),University Press Society-Run,Hybrid,International Society for Behavioral Ecology,Society,UK,https://academic.oup.com/beheco,3940,0.925,"Q1 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",136,No
Biota Neotropica,basic_ecology,Scielo,Non-profit,OA,Program BIOTA/FAPESP: The Virtual Institute of Biodiversity,other,Brazil,https://www.biotaneotropica.org.br/,435,0.364,"Q3 (Ecology, Evolution, Behavior and Systematics)",45,No
Biotropica,basic_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,Association for Tropical Biology & Conservation,Society,USA,https://onlinelibrary.wiley.com/journal/17447429,1969,0.722,"Q1 (Ecology, Evolution, Behavior and Systematics)",113,No
Bulletin of Marine Science,basic_ecology,Rosenstiel School of Marine Atmospheric & Earth Science of the University of Miami,Non-profit,Hybrid,Rosenstiel School of Marine Atmospheric & Earth Science of the University of Miami,Uni/Gov,,https://bullmarsci.org/,1063,0.345,Q3 (Aquatic Science; Oceanography),89,No
The Bulletin of the Ecological Society of America,basic_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,Ecological Society of America,Society,USA,https://esajournals.onlinelibrary.wiley.com/journal/23276096,3000,,,,No
Canadian Journal of Forest Research,basic_ecology,Canadian Science Publishing,Non-profit,Hybrid,Canadian Society of Ecology ad Evolution,Society,,https://cdnsciencepub.com/journal/cjfr,3159,0.621,Q1 (Forestry),140,No
Ecologia Mediterranea,basic_ecology,Naturalia Publications,Non-profit,Subscription,Institut Mediterraneen de Biodiversite et d'Ecologie,Uni/Gov,,https://ecologia-mediterranea.univ-avignon.fr/,,0.145,"Q4 (Ecology; Ecology, Evolution, Behavior and Systematics)",5,No
Ecological Monographs,basic_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,Ecological Society of America,Society,USA,https://esajournals.onlinelibrary.wiley.com/journal/15577015,2470,3.383,"Q1 (Ecology, Evolution, Behavior and Systematics)",179,No
Ecological Research,basic_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,The Ecological Society of Japan,Society,USA,https://esj-journals.onlinelibrary.wiley.com/journal/14401703,2500,0.616,"Q2 (Ecology, Evolution, Behavior and Systematics)",87,No
Ecology,basic_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,Ecological Society of America,Society,USA,https://esajournals.onlinelibrary.wiley.com/journal/19399170,2228,2.04,"Q1 (Ecology, Evolution, Behavior and Systematics)",345,No
Ecology Letters,basic_ecology,John Wiley & Sons,For-profit,Hybrid,Centre National de la Recherche Scientifique,Uni/Gov,USA,https://onlinelibrary.wiley.com/journal/14610248,3398,3.905,"Q1 (Ecology, Evolution, Behavior and Systematics)",330,PCI friendly
Ecoscience,basic_ecology,Taylor & Francis Group,For-profit,Hybrid,Universite Laval,Uni/Gov,UK,https://www.tandfonline.com/toc/teco20/current,3170,0.499,"Q2 (Ecology; Ecology, Evolution, Behavior and Systematics)",79,No
Ecosphere,basic_ecology,John Wiley & Sons,For-profit Society-Run,OA,Ecological Society of America,Society,USA,https://esajournals.onlinelibrary.wiley.com/journal/21508925,1498,1.12,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics)",95,No
Estuarine Coastal and Shelf Science,basic_ecology,Elsevier,For-profit Society-Run,Hybrid,Estuarine Coastal Sciences Association,Society,Netherlands,https://www.journals.elsevier.com/estuarine-coastal-and-shelf-science,2391,0.833,Q1 (Aquatic Science; Oceanography),163,No
European Journal of Soil Science,basic_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,British Society of Soil Science,Society,USA,https://bsssjournals.onlinelibrary.wiley.com/journal/13652389,2600,1.31,Q1 (Soil Science),144,No
Folia Amazonica,basic_ecology,Instituto de Investigaciones de la Amazona Peruana,Non-profit,OA diamond,Instituto de Investigaciones de la Amazona Peruana,Uni/Gov,,https://revistas.iiap.gob.pe/index.php/foliaamazonica/,0,0.15,"Q4 (Ecology; Ecology, Evolution, Behavior and Systematics; Forestry; Plant Science)",4,No
Freshwater Science,basic_ecology,The University of Chicago Press Journals,University Press Society-Run,Hybrid,Society of Freshwater Science,Society,,https://www.journals.uchicago.edu/toc/fws/current,352,0.696,"Q1 (Aquatic Science; Ecology, Evolution, Behavior and Systematics)",131,No
Functional Ecology,basic_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,British Ecological Society,Society,USA,https://besjournals.onlinelibrary.wiley.com/journal/13652435,2625,1.936,"Q1 (Ecology, Evolution, Behavior and Systematics)",191,No
Hormones and Behavior,basic_ecology,Elsevier,For-profit Society-Run,Hybrid,Society for Behavioral Neuroendocrinology,Society,Netherlands,https://www.sciencedirect.com/journal/hormones-and-behavior,2654,0.822,Q2 (Endocrinology),166,No
International Journal of Remote Sensing,basic_ecology,Taylor & Francis Group,For-profit Society-Run,Hybrid,Remote Sensing and Photogrammetry Society,Society,UK,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=tres20,2373,0.676,Q2 (Earth and Planetary Sciences),210,No
Journal of Arid Land,basic_ecology,Springer Nature,For-profit,Hybrid,Xinjiang Institute of Ecology and Geography,Uni/Gov,Germany / UK,https://www.springer.com/journal/40333,2190,0.768,Q1 (Earth-Surface Processes; Water Science and Technology),47,No
Journal of Chemical Ecology,basic_ecology,Springer Nature,For-profit Society-Run,Hybrid,International Society of Chemical Ecology / Asia-Pacific Association of Chemical Ecologists / Latin American Association of Chemical Ecology,Society,Germany / UK,https://www.springer.com/journal/10886,2690,0.701,"Q1 (Ecology, Evolution, Behavior and Systematics)",136,No
Journal of Coastal Research,basic_ecology,Coastal Education and Research Foundation,Non-profit,Subscription,Coastal Education and Research Foundation,Society,,https://meridian.allenpress.com/jcr,,0.237,,108,No
Journal of Ecohydraulics,basic_ecology,Taylor & Francis Group,For-profit Society-Run,Hybrid,International Association for Hydro-Environment Engineering and Research,Society,UK,https://www.tandfonline.com/journals/tjoe20,1594,0.459,Q2 (Civil and Structural Engineering; Water Science and Technology),19,No
Journal of Ecology,basic_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,British Ecological Society,Society,USA,https://besjournals.onlinelibrary.wiley.com/journal/13652745,2113,2.422,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",219,No
Journal of Limnology,basic_ecology,PagePress,For-profit,OA,Water Research Institute,Uni/Gov,Italy,https://www.jlimnol.it/index.php/jlimnol,675,0.321,Q3 (Aquatic Science; Ecology; Water Science and Technology),55,No
Journal of Pollination Ecology,basic_ecology,International Commission on Plant Pollinator Relations,Non-profit,OA diamond,International Commission on Plant Pollinator Relations,Society,Canada,https://pollinationecology.org/,0,0.364,Q2 (Animal Science and Zoology; Ecology; Insect Science; Plant Science),8,PCI friendly
Journal of the Marine Biological Association of the United Kingdom,basic_ecology,Cambridge University Press (CUP),For-profit,Hybrid,Marine Biological Association UK,Non-profit,UK,https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom,2836,0.355,Q3 (Aquatic Science),81,No
Marine Ecology Progress Series,basic_ecology,InterResearch,For-profit,Hybrid,International Ecology Institute,Uni/Gov,,https://www.int-res.com/journals/meps/meps-home/,1831,0.804,"Q1 (Aquatic Science; Ecology; Ecology, Evolution, Behavior and Systematics)",223,No
Mediterranean Marine Science,basic_ecology,Hellenic Centre for Marine Research,Non-profit,OA diamond,Hellenic Centre for Marine Research,Uni/Gov,,https://ejournals.epublishing.ekt.gr/index.php/hcmr-med-mar-sc/,0,0.593,"Q2 (Aquatic Science; Ecology, Evolution, Behavior and Systematics; Environmental Engineering; Oceanography)",52,No
New Zealand Journal of Ecology,basic_ecology,New Zealand Ecological Society,Non-profit,OA,New Zealand Ecological Society,Society,,https://newzealandecology.org/nzje,183,0.587,"Q2 (Ecology; Ecology, Evolution, Behavior and Systematics)",58,No
Oikos,basic_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,Nordic Society Oikos,Society,USA,https://onlinelibrary.wiley.com/journal/16000706,2266,1.438,"Q1 (Ecology, Evolution, Behavior and Systematics)",210,PCI friendly
Pedosphere,basic_ecology,Elsevier,For-profit Society-Run,Subscription,Soil Science Society of China and the Institute of Soil Science / Chinese Academy of Sciences,Society,Netherlands,https://www.sciencedirect.com/journal/pedosphere,,1.484,Q1 (Soil Science),95,No
Peer Community In Ecology,basic_ecology,Peer Community In,Non-profit,OA diamond,Peer Community In,Non-profit,France,https://ecology.peercommunityin.org/,0,,,,PCI
Peer Community In Forest and Wood Sciences,basic_ecology,Peer Community In,Non-profit,OA diamond,Peer Community In,Non-profit,France,https://forestwoodsci.peercommunityin.org/,0,,,,PCI
Personality and Individual Differences,basic_ecology,Elsevier,For-profit Society-Run,Hybrid,International Society for the Study of Individual Differences,Society,Netherlands,https://www.journals.elsevier.com/personality-and-individual-differences,2127,1.419,Q1 (Psychology),217,No
Polish Journal of Ecology,basic_ecology,BioOne,Non-profit,Subscription,Museum and Institute of Zoology / Polish Academy of Sciences,Society,USA,https://bioone.org/journals/polish-journal-of-ecology,,0.192,"Q4 (Ecology; Ecology, Evolution, Behavior and Systematics)",34,No
Population Ecology,basic_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,Society of Population Ecology,Society,USA,https://esj-journals.onlinelibrary.wiley.com/journal/1438390x,2500,0.477,"Q2 (Ecology, Evolution, Behavior and Systematics)",69,No
Scientia Marina,basic_ecology,CSIC,Non-profit,OA diamond,Institut de Ciencies del Mar de Barcelona,Uni/Gov,Spain,https://scientiamarina.revistas.csic.es/index.php/scientiamarina,0,0.238,Q3 (Aquatic Science; Oceanography),78,No
Silva Balcanica,basic_ecology,Pensoft,Non-profit,OA diamond,Forest Research Institute ??? Bulgarian Academy of Sciences,Uni/Gov,Bulgaria,https://silvabalcanica.pensoft.net/,0,,,10,No
Sociobiology,basic_ecology,Universidade Estadual de Feira de Santana,Non-profit,OA diamond,Universidade Estadual de Feira de Santana,Uni/Gov,Brazil,https://periodicos.uefs.br/index.php/sociobiology/about,0,0.223,Q4 (Insect Science),44,No
Tropical Ecology,basic_ecology,Springer Nature,For-profit Society-Run,Hybrid,International Society for Tropical Ecology,Society,Germany / UK,https://www.springer.com/journal/42965,2390,0.448,"Q2 (Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",48,No
Urban Ecosystems,basic_ecology,Springer Nature,For-profit Society-Run,Hybrid,Society for Urban Ecology,Society,Germany / UK,https://link.springer.com/journal/11252,2886,0.831,Q1 (Ecology; Urban Studies),85,No
Vie et Milieu,basic_ecology,Arago - Sorbonne Universite Region Languedoc Roussillon,Non-profit,Subscription,Observatoire oceanologique / Laboratoire Arago,Uni/Gov,,https://wwwphp.obs-banyuls.fr/Viemilieu/,,0.14,Q4 (Aquatic Science; Ecology),38,No
Web Ecology,basic_ecology,Copernicus Publications,Non-profit,OA diamond,European Ecological Federation,Society,Germany,https://www.web-ecology.net/,0,0.937,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics)",22,No
Wetland Science and Practice,basic_ecology,BioOne,Non-profit,Subscription,Society of Wetland Scientists,Society,USA,https://complete.bioone.org/journals/wetland-science-and-practice/,,,,,No
Wetlands,basic_ecology,Springer Nature,For-profit Society-Run,Hybrid,Society of Wetland Scientists,Society,Germany / UK,https://www.springer.com/journal/13157/,2341,0.616,Q2 (Ecology; Environmental Chemistry; Environmental Science),104,No
